Client Name:  Marketocracy Capital Management, LLC
Folio Name:  jespey_VOF
Folio Number:  9A1549300501
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,1204478.45266,0.00000,0.00000,0.00000,1.43009,1.43009
03/29/2019,1187496.22487,0.00033,0.00000,0.00000,0.43770,0.43770
03/28/2019,1182254.62546,0.00000,66.56388,0.00000,0.08631,0.08631
03/27/2019,1181235.03388,0.00026,66.56388,0.00000,-0.16902,-0.16902
03/26/2019,1182458.33988,0.00000,843.23262,0.00000,0.01102,0.01102
03/25/2019,1182328.00877,0.00000,843.23262,0.00000,-0.48855,-0.48855
03/22/2019,1188136.82267,0.00000,843.23262,0.00000,-2.22893,-2.22893
03/21/2019,1215242.49269,0.00200,843.23262,0.00000,0.48239,0.48239
03/20/2019,1209404.38502,0.00000,843.23262,0.00000,-0.37958,-0.37958
03/19/2019,1214332.60594,-0.00047,526.31539,0.00000,0.09176,0.09176
03/18/2019,1213678.65378,0.00000,66.56388,0.00000,0.63120,0.63120
03/15/2019,1206065.56251,-0.00002,66.56388,0.00000,0.01297,0.01297
03/14/2019,1205745.32974,0.00000,230.33433,0.00000,0.03705,0.03705
03/13/2019,1205298.67283,0.00031,230.33433,0.00000,-0.41164,-0.41164
03/12/2019,1210281.59914,0.00000,230.33433,0.00000,0.26600,0.26600
03/11/2019,1207070.23026,0.00002,230.33433,0.00000,0.87306,0.87306
03/08/2019,1196397.67463,0.00000,453.70638,0.00000,-0.15829,-0.15829
03/07/2019,1198295.22199,-0.00012,453.70638,0.00000,-1.09032,-1.09032
03/06/2019,1211505.54160,0.00000,457.67544,0.00000,-1.06756,-1.06756
03/05/2019,1224583.64688,0.00082,457.67544,0.00000,0.01865,0.01865
03/04/2019,1224355.24014,0.00000,457.67544,0.00000,-0.18276,-0.18276
03/01/2019,1226597.82024,-0.00030,457.67544,0.00000,0.14563,0.14563
