Client Name:  Marketocracy Capital Management, LLC
Folio Name:  jespey_VOF
Folio Number:  9A1549300501
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1305157.75046,-15.73724,0.00000,0.00000,0.61398,0.61398
07/01/2020,1297208.91911,0.00000,0.00000,0.00000,0.60548,0.60548
06/30/2020,1289401.86513,0.00116,0.00000,0.00000,0.54893,0.54893
06/29/2020,1282362.61014,0.00003,0.00000,0.00000,1.15609,1.15609
06/26/2020,1267706.81984,-0.00062,0.00000,0.00000,-0.61373,-0.61373
06/25/2020,1275535.12339,-0.00635,0.00000,0.00000,0.57485,0.57485
06/24/2020,1268244.61861,0.00360,0.00000,0.00000,-1.94242,-1.94242
06/23/2020,1293367.28960,0.00120,0.00000,0.00000,0.26160,0.26160
06/22/2020,1289992.63969,0.00000,0.00000,0.00000,0.46006,0.46006
06/19/2020,1284085.01533,0.00237,0.00000,0.00000,-0.01793,-0.01793
06/18/2020,1284315.34335,0.00010,0.00000,0.00000,0.30053,0.30053
06/17/2020,1280467.14698,0.00144,0.00000,0.00000,-0.22690,-0.22690
06/16/2020,1283379.07936,0.00000,0.00000,0.00000,1.38942,1.38942
06/15/2020,1265791.86943,0.00362,0.00000,0.00000,1.60616,1.60616
06/12/2020,1245735.56510,0.00144,47.06471,0.00000,1.41098,1.41098
06/11/2020,1228402.37696,-0.00182,47.06471,0.00000,-3.70448,-3.70448
06/10/2020,1275660.78017,0.00136,47.06471,0.00000,-1.07568,-1.07568
06/09/2020,1289532.50087,0.00059,47.06471,0.00000,-0.40972,-0.40972
06/08/2020,1294784.85609,0.00000,100.13168,0.00000,0.44878,0.44878
06/05/2020,1288999.66015,-0.00704,100.13168,0.00000,2.45579,2.45579
06/04/2020,1258100.85997,0.00179,100.13168,0.00000,-1.19138,-1.19138
06/03/2020,1273271.48975,0.00916,100.13168,0.00000,2.49163,2.49163
06/02/2020,1242315.06512,-0.00056,100.13168,0.00000,0.64408,0.64408
06/01/2020,1234364.12992,0.00023,100.13168,0.00000,0.71696,0.71696
