Client Name:  Marketocracy Capital Management, LLC
Folio Name:  erljordan_EMF
Folio Number:  9A1549500P01
Download Date:  12/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/29/2019,2617247.44274,0.00000,0.00000,0.00000,-0.54749,-0.54749
11/27/2019,2631655.43442,0.00000,0.00000,0.00000,-0.02445,-0.02445
11/26/2019,2632299.09942,0.00000,0.00000,0.00000,-0.17510,-0.17510
11/25/2019,2636916.44180,0.00000,0.00000,0.00000,0.32634,0.32634
11/22/2019,2628339.00909,0.00000,0.00000,0.00000,0.19351,0.19351
11/21/2019,2623262.80891,0.00000,0.00000,0.00000,0.03934,0.03934
11/20/2019,2622231.23430,0.00000,0.00000,0.00000,-0.41086,-0.41086
11/19/2019,2633049.48077,0.00000,0.00000,0.00000,-0.13279,-0.13279
11/18/2019,2636550.59361,693.71769,0.00000,0.00000,-0.00355,-0.00355
11/15/2019,2635950.59296,-693.72371,0.00000,0.00000,0.42505,0.42505
11/14/2019,2624792.50234,-0.00015,693.72371,0.00000,-0.10202,-0.10202
11/13/2019,2627470.73393,0.00000,696.87029,0.00000,-0.14711,-0.14711
11/12/2019,2631342.72588,0.00000,696.87029,0.00000,-0.03370,-0.03370
11/11/2019,2632229.98643,0.00000,696.87029,0.00000,-0.35495,-0.35495
11/08/2019,2641608.92645,0.00055,696.87029,0.00000,0.01001,0.01001
11/07/2019,2640769.41932,-0.00065,1271.98768,0.00000,0.31081,0.31081
11/06/2019,2632586.18462,0.00000,1268.84110,0.00000,0.28396,0.28396
11/05/2019,2625128.30802,0.00000,1268.84110,0.00000,0.14071,0.14071
11/04/2019,2621437.99814,0.00014,1268.84110,0.00000,0.40298,0.40298
11/01/2019,2610911.40554,0.00019,1268.84110,0.00000,0.89461,0.89461
10/31/2019,2587749.77460,0.00000,1268.84110,0.00000,-0.13205,-0.13205
10/30/2019,2591172.96895,0.00000,1268.84110,0.00000,0.38558,0.38558
10/29/2019,2581215.47214,0.00000,1268.84110,0.00000,-0.15041,-0.15041
10/28/2019,2585105.52252,0.00000,1268.84110,0.00000,0.25073,0.25073
10/25/2019,2578636.92301,0.00009,1268.84110,0.00000,0.21998,0.21998
10/24/2019,2572974.09182,0.00000,1268.84110,0.00000,0.10904,0.10904
10/23/2019,2570170.26737,-0.00016,1268.84110,0.00000,-0.18541,-0.18541
10/22/2019,2574946.91594,0.00000,1268.84110,0.00000,0.48548,0.48548
10/21/2019,2562500.31060,-0.00017,1268.84110,0.00000,0.42280,0.42280
10/18/2019,2551706.24376,0.00000,1268.84110,0.00000,-0.08713,-0.08713
10/17/2019,2553932.54169,0.00000,1268.84110,0.00000,-0.97324,-0.97324
10/16/2019,2579045.17767,0.00000,1268.84110,0.00000,-0.03156,-0.03156
10/15/2019,2579859.74487,-0.00012,1268.84110,0.00000,0.44848,0.44848
10/14/2019,2567296.24770,0.00000,2308.07520,0.00000,-0.03388,-0.03388
10/11/2019,2568167.00714,0.00000,2308.07520,0.00000,0.90265,0.90265
10/10/2019,2545172.26411,0.00000,2308.07520,0.00000,0.51700,0.51700
10/09/2019,2532763.19233,0.00000,1614.35149,0.00000,0.57611,0.57611
10/08/2019,2518245.99194,0.00000,1614.35149,0.00000,-0.95710,-0.95710
10/07/2019,2542596.56833,0.00000,1614.35149,0.00000,-0.28474,-0.28474
10/04/2019,2549861.75961,0.00000,1614.35149,0.00000,0.62177,0.62177
10/03/2019,2534095.59204,-0.00018,1614.35149,0.00000,0.17660,0.17660
10/02/2019,2530200.57538,-0.00015,1039.23410,0.00000,-1.31045,-1.31045
10/01/2019,2563811.65121,0.00000,1039.23410,0.00000,-1.12611,-1.12611
09/30/2019,2593023.65696,-0.00027,1039.23410,0.00000,0.44096,0.44096
09/27/2019,2580913.94113,0.00000,1760.43851,0.00000,-0.04430,-0.04430
09/26/2019,2583097.87705,0.00388,721.20441,0.00000,-0.08711,-0.08711
09/25/2019,2585350.55234,0.00000,721.20441,0.00000,0.48131,0.48131
09/24/2019,2572963.17097,0.00000,721.20441,0.00000,-0.33865,-0.33865
09/23/2019,2581708.58275,0.00000,721.20441,0.00000,0.01222,0.01222
09/20/2019,2581393.15070,0.00000,721.20441,0.00000,-0.40535,-0.40535
09/19/2019,2591902.47089,0.00000,721.20441,0.00000,-0.16775,-0.16775
09/18/2019,2596258.89977,0.00000,721.20441,0.00000,0.02259,0.02259
09/17/2019,2595672.34341,0.00000,721.20441,0.00000,-0.05168,-0.05168
09/16/2019,2597014.87309,0.00000,721.20441,0.00000,-0.21199,-0.21199
09/13/2019,2602533.47801,-0.00046,721.20441,0.00000,0.34668,0.34668
09/12/2019,2593291.70522,0.00000,969.08078,0.00000,0.12617,0.12617
09/11/2019,2590022.77502,0.00000,969.08078,0.00000,0.32195,0.32195
09/10/2019,2581707.75954,0.00104,969.08078,0.00000,0.31820,0.31820
09/09/2019,2568593.10728,-0.00006,5891.65527,0.00000,0.82337,0.82337
09/06/2019,2547568.74584,0.00000,5891.65527,0.00000,0.04962,0.04962
09/05/2019,2546302.45222,0.00000,5891.65527,0.00000,1.31387,1.31387
09/04/2019,2513204.73213,0.00000,5891.65527,0.00000,0.74001,0.74001
09/03/2019,2494700.19664,0.00000,5891.65527,0.00000,-0.77498,-0.77498
08/30/2019,2514230.74054,0.00000,5891.65527,0.00000,0.27449,0.27449
08/29/2019,2508053.43825,0.00000,5170.45086,0.00000,1.19836,1.19836
