Client Name:  Marketocracy Capital Management, LLC
Folio Name:  erljordan_EMF
Folio Number:  9A1549500P01
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,2441073.27909,0.00000,0.00000,0.00000,0.95646,0.95646
02/14/2019,2417946.65647,0.00205,0.00000,0.00000,-0.38709,-0.38709
02/13/2019,2426757.51827,0.00042,585.11170,0.00000,0.38622,0.38622
02/12/2019,2417418.69305,0.00000,585.11170,0.00000,0.81046,0.81046
02/11/2019,2397979.28023,0.00000,585.11170,0.00000,-0.05128,-0.05128
02/08/2019,2399209.88722,0.00009,585.11170,0.00000,0.05749,0.05749
02/07/2019,2397277.85616,0.00000,1138.35924,0.00000,-0.93242,-0.93242
02/06/2019,2419851.60170,0.00000,1138.35924,0.00000,0.23172,0.23172
02/05/2019,2414254.56506,0.00000,1138.35924,0.00000,0.32583,0.32583
02/04/2019,2406410.02203,0.00000,1138.35924,0.00000,0.54205,0.54205
02/01/2019,2393430.36741,0.00000,1138.35924,0.00000,0.10036,0.10036
01/31/2019,2391029.55010,-0.00087,1138.35924,0.00000,-0.00092,-0.00092
01/30/2019,2390461.84078,0.00000,1727.96748,0.00000,0.49503,0.49503
01/29/2019,2378678.11451,0.00041,1727.96748,0.00000,0.40902,0.40902
01/28/2019,2368981.46087,0.00005,1727.96748,0.00000,-0.15994,-0.15994
01/25/2019,2372779.28784,0.00000,1727.96748,0.00000,0.81359,0.81359
01/24/2019,2353616.48709,0.00000,1727.96748,0.00000,0.02172,0.02172
01/23/2019,2353105.07621,0.00000,1727.96748,0.00000,1.60662,1.60662
01/22/2019,2315870.14986,0.00019,1727.96748,0.00000,-0.85563,-0.85563
01/18/2019,2336461.03059,0.00000,1138.35924,0.00000,1.00307,1.00307
01/17/2019,2313246.08592,0.00000,1138.35924,0.00000,0.71938,0.71938
01/16/2019,2297337.83042,0.00000,516.37754,0.00000,0.33637,0.33637
01/15/2019,2289634.45560,0.00011,516.37754,0.00000,0.38015,0.38015
