Client Name:  Marketocracy Capital Management, LLC
Folio Name:  erljordan_EMF
Folio Number:  9A1549500P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2434261.74564,0.00000,0.00000,0.00000,0.21266,0.21266
07/01/2020,2429095.97496,0.00000,0.00000,0.00000,-0.76586,-0.76586
06/30/2020,2447843.13284,-0.00006,0.00000,0.00000,0.62261,0.62261
06/29/2020,2431364.40974,0.00000,1332.52846,0.00000,1.32204,1.32204
06/26/2020,2399622.82304,0.00000,1332.52846,0.00000,-1.55557,-1.55557
06/25/2020,2437561.63650,0.00000,1332.52846,0.00000,1.20143,1.20143
06/24/2020,2408607.84100,0.00000,1332.52846,0.00000,-2.12231,-2.12231
06/23/2020,2460863.35440,0.00000,1332.52846,0.00000,-0.30452,-0.30452
06/22/2020,2468384.15629,0.00000,1332.52846,0.00000,-0.33070,-0.33070
06/19/2020,2476578.50607,-0.00021,1332.52846,0.00000,-0.12763,-0.12763
06/18/2020,2479740.07041,0.00001,1337.48950,0.00000,-0.14877,-0.14877
06/17/2020,2482968.48552,0.00000,1805.62205,0.00000,-1.03997,-1.03997
06/16/2020,2509080.83841,0.00000,1805.62205,0.00000,1.12070,1.12070
06/15/2020,2481253.20619,0.00000,1805.62205,0.00000,0.85958,0.85958
06/12/2020,2460091.31780,-0.00029,1805.62205,0.00000,1.06833,1.06833
06/11/2020,2434061.88428,0.00079,1811.95145,0.00000,-4.16994,-4.16994
06/10/2020,2540056.37076,-0.00055,1811.95145,0.00000,-1.85294,-1.85294
06/09/2020,2583653.34302,0.00000,6203.52666,0.00000,-1.53086,-1.53086
06/08/2020,2623916.75663,0.00000,6203.52666,0.00000,1.39564,1.39564
06/05/2020,2587715.08104,-0.00019,6203.52666,0.00000,2.17514,2.17514
06/04/2020,2532494.91974,-0.00035,6203.52666,0.00000,1.10831,1.10831
06/03/2020,2504658.03504,0.00000,6212.08573,0.00000,3.15674,3.15674
06/02/2020,2427821.94361,0.00015,6212.08573,0.00000,0.39723,0.39723
06/01/2020,2418191.38038,0.00000,6212.08573,0.00000,0.96636,0.96636
