Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_QGF
Folio Number:  9A1549800101
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,2339060.83928,0.00000,0.00000,0.00000,-0.22965,-0.22965
04/12/2019,2344444.88705,-0.00011,0.00000,0.00000,0.31145,0.31145
04/11/2019,2336327.34610,0.00000,838.37727,0.00000,-0.23232,-0.23232
04/10/2019,2341769.76226,-0.00034,838.37727,0.00000,0.36281,0.36281
04/09/2019,2332860.47938,0.00000,1279.13475,0.00000,-0.59214,-0.59214
04/08/2019,2346764.22073,0.00000,1279.13475,0.00000,0.18778,0.18778
04/05/2019,2342363.22565,0.00020,1279.13475,0.00000,0.42701,0.42701
04/04/2019,2330862.81245,0.00000,2814.62218,0.00000,0.29914,0.29914
04/03/2019,2323902.63969,0.00000,2814.62218,0.00000,0.04416,0.04416
04/02/2019,2322875.72436,-0.00020,2814.62218,0.00000,0.11369,0.11369
04/01/2019,2319775.42971,-0.00050,3273.81277,0.00000,0.57789,0.57789
03/29/2019,2307447.42092,0.00007,2254.33083,0.00000,0.40651,0.40651
03/28/2019,2297046.96811,0.00044,3303.66426,0.00000,0.27140,0.27140
03/27/2019,2291483.47526,0.00000,2640.85316,0.00000,-0.14208,-0.14208
03/26/2019,2294747.52257,-0.00025,2640.85316,0.00000,0.51125,0.51125
03/25/2019,2283360.18987,0.00000,2342.60170,0.00000,0.17388,0.17388
03/22/2019,2279392.79212,0.00000,2342.60170,0.00000,-1.05287,-1.05287
03/21/2019,2303672.07060,0.00000,2342.60170,0.00000,0.65338,0.65338
03/20/2019,2288865.96973,0.00000,2179.39208,0.00000,-0.08131,-0.08131
03/19/2019,2290937.62727,-0.00028,1972.13419,0.00000,-0.00874,-0.00874
03/18/2019,2291241.71418,0.00030,1868.56359,0.00000,0.33360,0.33360
03/15/2019,2283504.74271,0.00025,1981.12202,0.00000,0.39747,0.39747
