Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_HYF
Folio Number:  9A1549800102
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,1806048.84010,0.00000,0.00000,0.00000,-0.16462,-0.16462
08/01/2019,1809026.94146,0.00008,0.00000,0.00000,-0.52663,-0.52663
07/31/2019,1817219.41001,0.00000,1384.91287,0.00000,-0.54211,-0.54211
07/30/2019,1827131.95957,0.00000,1384.91287,0.00000,0.16805,0.16805
07/29/2019,1824064.28664,0.00016,1384.91287,0.00000,-0.01537,-0.01537
07/26/2019,1824072.26263,0.00000,1657.52500,0.00000,-0.03106,-0.03106
07/25/2019,1824639.55480,0.00000,1657.52500,0.00000,-0.17676,-0.17676
07/24/2019,1827873.42067,0.00000,1657.52500,0.00000,-0.10960,-0.10960
07/23/2019,1829880.80770,0.00000,1657.52500,0.00000,0.41222,0.41222
07/22/2019,1822361.86558,0.00000,1657.52500,0.00000,-0.17050,-0.17050
07/19/2019,1825477.21264,0.00000,1657.52500,0.00000,-0.21497,-0.21497
07/18/2019,1829413.42863,0.00000,1657.52500,0.00000,0.22661,0.22661
07/17/2019,1825273.47947,0.00000,1657.52500,0.00000,-0.18097,-0.18097
07/16/2019,1828585.60855,0.00000,1657.52500,0.00000,-0.50864,-0.50864
07/15/2019,1837942.59294,0.00000,1657.52500,0.00000,-0.06899,-0.06899
07/12/2019,1839212.53278,-0.00012,1657.52500,0.00000,0.45413,0.45413
07/11/2019,1830542.40841,0.00000,2005.56301,0.00000,-0.01092,-0.01092
07/10/2019,1830742.56788,0.00000,2005.56301,0.00000,0.06903,0.06903
07/09/2019,1829478.36929,0.00000,2005.56301,0.00000,-0.12597,-0.12597
07/08/2019,1833173.23554,-0.00015,620.65014,0.00000,0.09869,0.09869
07/05/2019,1830147.49411,0.00000,1838.31564,0.00000,-0.21035,-0.21035
07/03/2019,1834009.18588,-0.00015,1838.31564,0.00000,0.56387,0.56387
07/02/2019,1823593.38031,0.00081,1960.37174,0.00000,0.35463,0.35463
07/01/2019,1816274.02045,0.00013,2828.66726,0.00000,-0.49408,-0.49408
06/28/2019,1826226.00060,-0.00002,1909.10274,0.00000,0.61615,0.61615
06/27/2019,1813686.35643,0.00000,3253.70757,0.00000,-0.57630,-0.57630
06/26/2019,1824870.83601,0.00000,2601.01581,0.00000,0.37071,0.37071
06/25/2019,1818121.22520,0.00000,2601.01581,0.00000,-0.38591,-0.38591
06/24/2019,1825174.77027,0.00000,2601.01581,0.00000,0.28927,0.28927
06/21/2019,1821085.39769,0.00000,1418.43687,0.00000,-0.00316,-0.00316
06/20/2019,1821143.05466,0.00046,1418.43687,0.00000,1.11527,1.11527
06/19/2019,1800415.95344,0.00000,2043.23115,0.00000,0.15854,0.15854
06/18/2019,1797562.87779,0.00000,2043.23115,0.00000,0.59427,0.59427
06/17/2019,1786931.46684,0.00000,2043.23115,0.00000,0.41220,0.41220
06/14/2019,1779587.63544,0.00000,2043.23115,0.00000,-0.08766,-0.08766
06/13/2019,1781150.69852,0.00000,2043.23115,0.00000,0.54034,0.54034
06/12/2019,1772092.35828,0.00075,1518.02854,0.00000,-0.03034,-0.03034
06/11/2019,1772299.21872,0.00000,1849.50878,0.00000,0.08210,0.08210
