Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_SMF
Folio Number:  9A1549800103
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1224686.92178,0.00005,0.00000,0.00000,0.52501,0.52501
06/27/2019,1216550.17739,0.00000,1740.60479,0.00000,-0.54056,-0.54056
06/26/2019,1223171.51886,0.00066,1740.60479,0.00000,0.50088,0.50088
06/25/2019,1216331.17929,0.00000,2476.20952,0.00000,-0.29180,-0.29180
06/24/2019,1219898.01947,0.00000,2476.20952,0.00000,0.28457,0.28457
06/21/2019,1217576.60054,0.00030,1328.94291,0.00000,0.04719,0.04719
06/20/2019,1217583.45990,0.00000,747.19545,0.00000,0.75188,0.75188
06/19/2019,1209004.47261,0.00000,234.18454,0.00000,0.26365,0.26365
06/18/2019,1205824.71173,0.00000,234.18454,0.00000,0.25497,0.25497
06/17/2019,1202757.47774,0.00000,234.18454,0.00000,0.35477,0.35477
06/14/2019,1198658.55691,0.00000,80.32727,0.00000,-0.12163,-0.12163
06/13/2019,1200118.34408,0.00000,80.32727,0.00000,0.21168,0.21168
06/12/2019,1197663.50790,0.00000,0.00000,0.00000,0.12865,0.12865
06/11/2019,1196124.68217,0.00000,0.00000,0.00000,0.00880,0.00880
06/10/2019,1196019.48318,0.00000,0.00000,0.00000,0.08386,0.08386
06/07/2019,1195017.34072,-0.00042,0.00000,0.00000,0.48697,0.48697
06/06/2019,1188139.60684,0.00000,1086.61655,0.00000,0.04174,0.04174
06/05/2019,1187643.47804,0.00000,1086.61655,0.00000,0.29996,0.29996
06/04/2019,1184088.40964,0.00000,1086.61655,0.00000,-0.10188,-0.10188
06/03/2019,1185297.12988,-0.00007,1086.61655,0.00000,0.24615,0.24615
05/31/2019,1183237.22175,-0.00014,233.45539,0.00000,-0.20542,-0.20542
05/30/2019,1185083.62002,0.00000,823.13752,0.00000,0.07187,0.07187
05/29/2019,1184231.93861,0.00000,823.13752,0.00000,-0.12472,-0.12472
05/28/2019,1185711.78691,0.00000,823.13752,0.00000,-0.07067,-0.07067
