Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_SMF
Folio Number:  9A1549800103
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1185079.02125,0.00000,0.00000,0.00000,0.09704,0.09704
07/01/2020,1183930.11278,-0.00006,0.00000,0.00000,0.12328,0.12328
06/30/2020,1182206.75723,-0.00003,265.57501,0.00000,0.26726,0.26726
06/29/2020,1178420.14943,0.00000,900.30142,0.00000,0.39820,0.39820
06/26/2020,1173742.70624,-0.00017,900.30142,0.00000,-0.61504,-0.61504
06/25/2020,1179954.70129,0.00015,1957.57378,0.00000,0.24459,0.24459
06/24/2020,1176696.16105,-0.00012,2332.29079,0.00000,-0.96652,-0.96652
06/23/2020,1187827.63125,0.00000,2707.52687,0.00000,0.15251,0.15251
06/22/2020,1187072.03248,0.00000,1650.25451,0.00000,0.25217,0.25217
06/19/2020,1185010.81582,0.00029,721.38452,0.00000,-0.15676,-0.15676
06/18/2020,1187131.14892,-0.00002,462.74755,0.00000,-0.11370,-0.11370
06/17/2020,1188348.50077,0.00000,597.17604,0.00000,-0.36873,-0.36873
06/16/2020,1192748.75310,0.00000,597.17604,0.00000,0.42277,0.42277
06/15/2020,1187724.84326,0.00000,597.17604,0.00000,0.36283,0.36283
06/12/2020,1183760.40727,0.00000,265.57501,0.00000,0.63873,0.63873
06/11/2020,1176511.21731,0.00000,0.00000,0.00000,-2.60266,-2.60266
06/10/2020,1207950.10732,0.00000,0.00000,0.00000,-0.20599,-0.20599
06/09/2020,1210443.54002,0.00000,0.00000,0.00000,-0.48821,-0.48821
06/08/2020,1216382.01362,0.00000,0.00000,0.00000,0.88060,0.88060
06/05/2020,1205764.01471,-0.00034,0.00000,0.00000,0.83623,0.83623
06/04/2020,1195550.95909,0.00000,213.74011,0.00000,-0.05240,-0.05240
06/03/2020,1196177.86279,0.00000,213.74011,0.00000,0.59882,0.59882
06/02/2020,1189056.22013,0.00000,213.74011,0.00000,0.34297,0.34297
06/01/2020,1184991.31458,-0.00002,213.74011,0.00000,0.58876,0.58876
