Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_SMDG
Folio Number:  9A1549800104
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1691031.06766,-0.00027,0.00000,0.00000,0.33067,0.33067
06/27/2019,1683704.24166,-0.00050,1753.45378,0.00000,0.00423,0.00423
06/26/2019,1683141.82244,0.00000,2244.55752,0.00000,0.22332,0.22332
06/25/2019,1679386.34868,0.00000,2244.55752,0.00000,-0.56132,-0.56132
06/24/2019,1688878.95225,0.00000,2244.55752,0.00000,0.07800,0.07800
06/21/2019,1688663.18967,0.00000,1142.21956,0.00000,-0.15748,-0.15748
06/20/2019,1691328.51533,0.00068,1142.21956,0.00000,0.95811,0.95811
06/19/2019,1675042.35158,0.00000,1366.53066,0.00000,0.30265,0.30265
06/18/2019,1669984.08563,0.00091,1366.53066,0.00000,0.58627,0.58627
06/17/2019,1660101.06532,0.00059,1508.01214,0.00000,-0.02232,-0.02232
06/14/2019,1660338.56484,0.00000,1641.47449,0.00000,-0.34330,-0.34330
06/13/2019,1666063.80557,-0.00002,1641.47449,0.00000,0.16373,0.16373
06/12/2019,1663454.28392,0.00000,1524.91204,0.00000,0.02138,0.02138
06/11/2019,1663210.96032,0.00009,1412.31966,0.00000,-0.00929,-0.00929
06/10/2019,1663231.83631,0.00000,1546.10964,0.00000,0.21565,0.21565
06/07/2019,1659649.43158,0.00009,1546.10964,0.00000,0.77849,0.77849
06/06/2019,1645514.11839,0.00000,2849.15840,0.00000,0.24462,0.24462
06/05/2019,1641998.01330,0.00014,2342.90092,0.00000,0.52091,0.52091
06/04/2019,1633802.91616,0.00000,2016.79483,0.00000,0.69592,0.69592
06/03/2019,1622497.58631,0.00008,2016.79483,0.00000,-0.03877,-0.03877
05/31/2019,1624208.86608,0.00000,935.55678,0.00000,-0.36532,-0.36532
05/30/2019,1630268.90325,0.00000,834.22782,0.00000,0.21018,0.21018
05/29/2019,1626989.35059,0.00000,692.74634,0.00000,-0.04576,-0.04576
05/28/2019,1627734.45305,0.00000,692.74634,0.00000,-0.34059,-0.34059
