Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scook_SMDG
Folio Number:  9A1549800104
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1787417.81066,0.00000,0.00000,0.00000,0.42773,0.42773
07/01/2020,1779805.06122,-0.00010,0.00000,0.00000,0.24036,0.24036
06/30/2020,1775288.98534,-0.00016,248.32007,0.00000,0.60614,0.60614
06/29/2020,1763900.57264,-0.00035,939.40484,0.00000,0.49355,0.49355
06/26/2020,1754926.44540,0.00003,1246.01827,0.00000,-0.83570,-0.83570
06/25/2020,1768710.58510,0.00039,2261.88628,0.00000,0.90662,0.90662
06/24/2020,1752563.24721,0.00000,2497.45286,0.00000,-1.13707,-1.13707
06/23/2020,1772748.98900,0.00205,2497.45286,0.00000,0.16323,0.16323
06/22/2020,1770617.08396,0.00000,1736.37793,0.00000,0.53917,0.53917
06/19/2020,1761112.41463,0.00000,1736.37793,0.00000,-0.17372,-0.17372
06/18/2020,1764180.21068,-0.00068,1736.37793,0.00000,0.12090,0.12090
06/17/2020,1761894.90228,0.00000,1889.30309,0.00000,-0.11350,-0.11350
06/16/2020,1763899.00714,0.00000,1889.30309,0.00000,0.82448,0.82448
06/15/2020,1749459.56506,0.00071,1889.30309,0.00000,0.62836,0.62836
06/12/2020,1738408.27107,0.00000,2004.51995,0.00000,0.68921,0.68921
06/11/2020,1726858.05329,-0.00042,1641.70791,0.00000,-3.03794,-3.03794
06/10/2020,1781108.05134,0.00000,1547.78544,0.00000,0.04518,0.04518
06/09/2020,1780303.07622,-0.00020,1547.78544,0.00000,-0.43693,-0.43693
06/08/2020,1787987.05140,0.00000,1683.48222,0.00000,0.54795,0.54795
06/05/2020,1778411.41964,-0.00033,1506.03690,0.00000,1.22582,1.22582
06/04/2020,1756677.16703,0.00014,1685.90101,0.00000,-0.29352,-0.29352
06/03/2020,1762337.65109,0.00000,1201.83418,0.00000,0.55017,0.55017
06/02/2020,1752923.92606,0.00000,966.26760,0.00000,0.48235,0.48235
06/01/2020,1744504.58697,-0.00004,966.26760,0.00000,0.11878,0.11878
