Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS
Folio Number:  9A1549900T01
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,2530085.05709,0.00000,0.00000,0.00000,0.01787,0.01787
06/07/2019,2529633.03247,0.00012,0.00000,0.00000,0.88868,0.88868
06/06/2019,2506534.69952,3222.78042,816.02454,0.00000,0.44845,0.44845
06/05/2019,2488902.20400,0.00000,4038.80466,0.00000,0.59470,0.59470
06/04/2019,2474164.29594,0.00000,4038.80466,0.00000,1.57097,1.57097
06/03/2019,2435834.52878,-3222.78006,4038.80466,0.00000,0.23761,0.23761
05/31/2019,2431918.03515,0.00000,5390.70701,0.00000,-1.03933,-1.03933
05/30/2019,2457515.78244,0.00000,5390.70701,0.00000,0.73595,0.73595
05/29/2019,2439522.41562,0.00000,5390.70701,0.00000,-0.94559,-0.94559
05/28/2019,2462861.86081,0.00000,5390.70701,0.00000,-0.49902,-0.49902
05/24/2019,2475240.81610,-0.00083,5390.70701,0.00000,-0.06075,-0.06075
05/23/2019,2476574.72355,0.00000,5564.61244,0.00000,-0.72365,-0.72365
05/22/2019,2497890.35074,0.00000,2341.83232,0.00000,-0.09997,-0.09997
05/21/2019,2500392.23938,0.00000,2341.83232,0.00000,0.36896,0.36896
05/20/2019,2491192.19711,0.00000,2341.83232,0.00000,-0.60912,-0.60912
05/17/2019,2506473.88383,0.00000,2341.83232,0.00000,-0.09457,-0.09457
05/16/2019,2508848.59658,0.00060,2341.83232,0.00000,0.68331,0.68331
05/15/2019,2491590.76281,0.00000,2556.94526,0.00000,0.70390,0.70390
05/14/2019,2474973.10164,0.00000,1740.92072,0.00000,0.66876,0.66876
05/13/2019,2458519.88776,0.00000,1740.92072,0.00000,-1.47193,-1.47193
05/10/2019,2495274.20853,0.00000,1740.92072,0.00000,0.70357,0.70357
05/09/2019,2478043.82744,0.00000,1525.80778,0.00000,-0.25368,-0.25368
05/08/2019,2484524.01629,0.00000,1351.90235,0.00000,-0.08737,-0.08737
05/07/2019,2486697.81519,0.00000,1351.90235,0.00000,-0.89535,-0.89535
05/06/2019,2509175.86301,0.00000,1351.90235,0.00000,-0.34736,-0.34736
05/03/2019,2517926.82443,0.00000,1351.90235,0.00000,0.74827,0.74827
05/02/2019,2499215.85258,0.00000,1351.90235,0.00000,-0.26949,-0.26949
05/01/2019,2505972.79199,0.00000,1351.90235,0.00000,-0.63968,-0.63968
04/30/2019,2522114.88808,0.00000,1351.90235,0.00000,0.04998,0.04998
04/29/2019,2520854.20115,0.00000,1351.90235,0.00000,-0.04927,-0.04927
04/26/2019,2522097.45748,-0.00030,1351.90235,0.00000,1.00269,1.00269
04/25/2019,2496713.81130,0.00000,1684.37591,0.00000,-0.03603,-0.03603
04/24/2019,2497614.29953,0.00000,1684.37591,0.00000,0.09316,0.09316
04/23/2019,2495288.13760,0.00000,1684.37591,0.00000,0.70513,0.70513
04/22/2019,2479156.46408,0.00000,332.47356,0.00000,-0.33729,-0.33729
04/18/2019,2487547.72890,0.00000,332.47356,0.00000,0.55031,0.55031
04/17/2019,2473931.66368,0.00000,332.47356,0.00000,0.53298,0.53298
04/16/2019,2460814.20400,0.00000,332.47356,0.00000,0.08444,0.08444
04/15/2019,2458737.85226,-0.00033,332.47356,0.00000,0.32792,0.32792
04/12/2019,2450068.17605,0.00000,964.82225,0.00000,0.96842,0.96842
04/11/2019,2426559.61772,0.00000,964.82225,0.00000,0.12672,0.12672
04/10/2019,2423487.45756,0.00000,964.82225,0.00000,0.27358,0.27358
04/09/2019,2416872.62716,0.00000,964.82225,0.00000,-0.22461,-0.22461
04/08/2019,2422315.59371,0.00000,964.82225,0.00000,0.29314,0.29314
04/05/2019,2415232.78083,0.00000,964.82225,0.00000,0.25081,0.25081
04/04/2019,2409187.97924,0.00000,964.82225,0.00000,0.49786,0.49786
04/03/2019,2397580.63379,0.00000,632.34869,0.00000,0.35914,0.35914
04/02/2019,2388998.56218,0.00000,632.34869,0.00000,-0.26920,-0.26920
04/01/2019,2395448.84219,0.00023,632.34869,0.00000,0.59806,0.59806
03/29/2019,2380168.46207,0.00061,1667.95748,0.00000,0.38719,0.38719
03/28/2019,2370165.98289,0.00009,2483.83474,0.00000,0.38976,0.38976
03/27/2019,2361343.79659,0.00000,2094.22679,0.00000,-0.16359,-0.16359
03/26/2019,2365216.48818,0.00000,2094.22679,0.00000,0.99506,0.99506
03/25/2019,2341892.40841,0.00000,2094.22679,0.00000,0.06662,0.06662
03/22/2019,2340331.87659,0.00000,2094.22679,0.00000,-1.51738,-1.51738
03/21/2019,2376423.05145,0.00000,2094.22679,0.00000,0.94509,0.94509
03/20/2019,2354154.39327,0.00000,2094.22679,0.00000,-0.34190,-0.34190
03/19/2019,2362238.09876,0.00000,2094.22679,0.00000,-0.33260,-0.33260
03/18/2019,2370128.07567,0.00000,2094.22679,0.00000,0.33734,0.33734
03/15/2019,2362152.45899,0.00032,2094.22679,0.00000,0.56611,0.56611
03/14/2019,2348127.93060,0.00030,2809.80785,0.00000,0.02238,0.02238
03/13/2019,2347080.03971,0.00000,3331.73977,0.00000,0.18411,0.18411
03/12/2019,2343003.32530,0.00000,3088.99903,0.00000,0.03029,0.03029
03/11/2019,2342293.01022,0.00000,3088.99903,0.00000,1.19522,1.19522
03/08/2019,2314591.59143,0.00039,3088.99903,0.00000,-0.19323,-0.19323
