Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS
Folio Number:  9A1549900T01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2544591.53151,0.00000,0.00000,0.00000,0.24711,0.24711
07/01/2020,2538319.10751,-0.00023,0.00000,0.00000,0.55171,0.55171
06/30/2020,2523126.20884,-0.00020,1265.64832,0.00000,1.03577,1.03577
06/29/2020,2496314.17066,0.00000,2198.77056,0.00000,1.30529,1.30529
06/26/2020,2464121.47169,0.00000,2198.77056,0.00000,-2.49481,-2.49481
06/25/2020,2527225.84731,0.00000,2198.77056,0.00000,0.48444,0.48444
06/24/2020,2515031.47187,0.00000,2198.77056,0.00000,-1.77321,-1.77321
06/23/2020,2560473.08957,0.00000,2198.77056,0.00000,0.74121,0.74121
06/22/2020,2541618.07993,0.00000,2198.77056,0.00000,1.16233,1.16233
06/19/2020,2512390.16452,0.00000,2198.77056,0.00000,-1.30560,-1.30560
06/18/2020,2545654.83148,0.00006,2198.77056,0.00000,0.47706,0.47706
06/17/2020,2533280.98228,0.00000,2475.56556,0.00000,-0.22654,-0.22654
06/16/2020,2539038.50538,0.00000,2475.56556,0.00000,1.11733,1.11733
06/15/2020,2510955.19324,0.00006,2475.56556,0.00000,0.98675,0.98675
06/12/2020,2485600.07212,-0.00040,3271.80250,0.00000,0.80148,0.80148
06/11/2020,2465410.82678,0.00081,3671.76494,0.00000,-4.27716,-4.27716
06/10/2020,2575147.26722,0.00000,4260.82067,0.00000,-0.58728,-0.58728
06/09/2020,2590385.19761,0.00000,4260.82067,0.00000,-0.96086,-0.96086
06/08/2020,2615558.03493,0.00000,4260.82067,0.00000,1.49606,1.49606
06/05/2020,2576941.75047,0.00000,4260.82067,0.00000,2.01195,2.01195
06/04/2020,2526033.58352,0.00000,4260.82067,0.00000,-0.25712,-0.25712
06/03/2020,2533489.26111,0.00000,3327.69843,0.00000,1.56598,1.56598
06/02/2020,2494652.44763,0.00000,3050.90343,0.00000,0.51644,0.51644
06/01/2020,2481819.57241,0.00000,3050.90343,0.00000,0.98106,0.98106
