Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSEN
Folio Number:  9A1549900T02
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,631893.28168,0.00000,0.00000,0.00000,-0.24900,-0.24900
03/06/2020,633470.64445,0.00000,0.00000,0.00000,-0.21353,-0.21353
03/05/2020,634826.19058,0.00000,0.00000,0.00000,-0.17440,-0.17440
03/04/2020,635935.27378,0.00000,0.00000,0.00000,0.00775,0.00775
03/03/2020,635885.98119,0.00000,0.00000,0.00000,-0.10454,-0.10454
03/02/2020,636551.43111,0.00000,0.00000,0.00000,0.09301,0.09301
02/28/2020,635959.92007,0.00000,0.00000,0.00000,-0.00775,-0.00775
02/27/2020,636009.21266,0.00000,0.00000,0.00000,-0.21654,-0.21654
02/26/2020,637389.40508,0.00000,0.00000,0.00000,-0.33144,-0.33144
02/25/2020,639508.98631,0.00000,0.00000,0.00000,-0.11164,-0.11164
02/24/2020,640223.72881,0.00000,0.00000,0.00000,-0.12304,-0.12304
02/21/2020,641012.41020,0.00000,0.00000,0.00000,-0.09603,-0.09603
02/20/2020,641628.56753,0.00000,0.00000,0.00000,-0.08060,-0.08060
02/19/2020,642146.13969,0.00000,0.00000,0.00000,-0.02302,-0.02302
02/18/2020,642294.01745,0.00000,0.00000,0.00000,-0.05369,-0.05369
02/14/2020,642639.06556,0.00000,0.00000,0.00000,0.04220,0.04220
02/13/2020,642367.95633,0.00000,0.00000,0.00000,0.00384,0.00384
02/12/2020,642343.31004,0.00000,0.00000,0.00000,0.00000,0.00000
02/11/2020,642343.31004,0.00000,0.00000,0.00000,-0.06902,-0.06902
02/10/2020,642786.94332,0.00000,0.00000,0.00000,0.04603,0.04603
02/07/2020,642491.18780,0.00000,0.00000,0.00000,0.19987,0.19987
02/06/2020,641209.58055,0.00000,0.00000,0.00000,0.00384,0.00384
02/05/2020,641184.93425,0.00000,0.00000,0.00000,-0.03458,-0.03458
02/04/2020,641406.75089,0.00000,0.00000,0.00000,0.13082,0.13082
02/03/2020,640568.77692,0.00000,0.00000,0.00000,-0.04231,-0.04231
01/31/2020,640839.88615,0.00000,0.00000,0.00000,-0.13826,-0.13826
01/30/2020,641727.15271,0.00000,0.00000,0.00000,0.01152,0.01152
01/29/2020,641653.21383,0.00000,0.00000,0.00000,0.00000,0.00000
01/28/2020,641653.21383,0.00000,0.00000,0.00000,0.01152,0.01152
01/27/2020,641579.27495,0.00000,0.00000,0.00000,-0.02688,-0.02688
01/24/2020,641751.79900,0.00000,0.00000,0.00000,-0.08442,-0.08442
01/23/2020,642294.01745,0.00000,0.00000,0.00000,-0.04603,-0.04603
01/22/2020,642589.77297,0.00000,0.00000,0.00000,-0.05750,-0.05750
01/21/2020,642959.46737,0.00000,0.00000,0.00000,-0.06895,-0.06895
01/17/2020,643403.10065,0.00000,0.00000,0.00000,-0.11479,-0.11479
01/16/2020,644142.48945,0.00000,0.00000,0.00000,0.03445,0.03445
01/15/2020,643920.67281,0.00000,0.00000,0.00000,-0.07649,-0.07649
01/14/2020,644413.59868,0.00000,0.00000,0.00000,0.13021,0.13021
01/13/2020,643575.62470,0.00000,0.00000,0.00000,0.12654,0.12654
01/10/2020,642762.29702,0.00000,0.00000,0.00000,-0.03450,-0.03450
01/09/2020,642984.11366,0.00000,0.00000,0.00000,-0.08043,-0.08043
01/08/2020,643501.68582,0.00000,0.00000,0.00000,-0.02680,-0.02680
01/07/2020,643674.20988,0.00000,0.00000,0.00000,0.06130,0.06130
01/06/2020,643279.86918,0.00000,0.00000,0.00000,0.08052,0.08052
01/03/2020,642762.29702,0.00000,0.00000,0.00000,-0.03833,-0.03833
01/02/2020,643008.75996,0.00000,0.00000,0.00000,0.05753,0.05753
12/31/2019,642639.06556,0.00000,0.00000,0.00000,0.17288,0.17288
12/30/2019,641529.98236,0.00000,0.00000,0.00000,-0.05759,-0.05759
12/27/2019,641899.67676,0.00000,0.00000,0.00000,-0.04989,-0.04989
12/26/2019,642220.07857,0.00000,0.00000,0.00000,0.00000,0.00000
12/24/2019,642220.07857,0.00000,0.00000,0.00000,-0.14562,-0.14562
12/23/2019,643156.63772,0.00000,0.00000,0.00000,0.31908,0.31908
12/20/2019,641110.99537,0.00000,0.00000,0.00000,0.16944,0.16944
12/19/2019,640026.55847,0.00000,0.00000,0.00000,0.05394,0.05394
12/18/2019,639681.51036,0.00000,0.00000,0.00000,-0.05391,-0.05391
12/17/2019,640026.55847,0.00000,0.00000,0.00000,-0.00385,-0.00385
12/16/2019,640051.20476,0.00000,0.00000,0.00000,-0.02695,-0.02695
12/13/2019,640223.72881,0.00000,0.00000,0.00000,-0.12688,-0.12688
12/12/2019,641037.05649,0.00000,0.00000,0.00000,0.25054,0.25054
12/11/2019,639435.04743,0.00000,0.00000,0.00000,0.02313,0.02313
12/10/2019,639287.16967,0.00000,0.00000,0.00000,-0.10398,-0.10398
12/09/2019,639952.61959,0.00000,0.00000,0.00000,0.02697,0.02697
12/06/2019,639780.09553,0.00000,0.00000,0.00000,0.01541,0.01541
