Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSEN
Folio Number:  9A1549900T02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,635269.82386,0.00000,0.00000,0.00000,-0.03490,-0.03490
07/01/2020,635491.64050,0.00000,0.00000,0.00000,0.13593,0.13593
06/30/2020,634629.02024,0.00000,0.00000,0.00000,0.00000,0.00000
06/29/2020,634629.02024,0.00000,0.00000,0.00000,0.11275,0.11275
06/26/2020,633914.27773,0.00000,0.00000,0.00000,-0.08546,-0.08546
06/25/2020,634456.49618,0.00000,0.00000,0.00000,-0.02719,-0.02719
06/24/2020,634629.02024,0.00000,0.00000,0.00000,-0.04658,-0.04658
06/23/2020,634924.77575,0.00000,0.00000,0.00000,-0.05432,-0.05432
06/22/2020,635269.82386,0.00000,0.00000,0.00000,0.02716,0.02716
06/19/2020,635097.29981,0.00000,0.00000,0.00000,0.00388,0.00388
06/18/2020,635072.65351,0.00000,0.00000,0.00000,0.07379,0.07379
06/17/2020,634604.37394,0.00000,0.00000,0.00000,0.01165,0.01165
06/16/2020,634530.43506,0.00000,0.00000,0.00000,0.05830,0.05830
06/15/2020,634160.74066,0.00000,0.00000,0.00000,-0.12033,-0.12033
06/12/2020,634924.77575,0.00000,0.00000,0.00000,0.04272,0.04272
06/11/2020,634653.66653,0.00000,0.00000,0.00000,-0.15897,-0.15897
06/10/2020,635664.16455,0.00000,0.00000,0.00000,-0.17804,-0.17804
06/09/2020,636797.89405,0.00000,0.00000,0.00000,-0.25479,-0.25479
06/08/2020,638424.54940,0.00000,0.00000,0.00000,-0.00386,-0.00386
06/05/2020,638449.19570,0.00000,0.00000,0.00000,0.15852,0.15852
06/04/2020,637438.69767,0.00000,0.00000,0.00000,0.00000,0.00000
06/03/2020,637438.69767,0.00000,0.00000,0.00000,0.05029,0.05029
06/02/2020,637118.29586,0.00000,0.00000,0.00000,0.05806,0.05806
06/01/2020,636748.60146,0.00000,0.00000,0.00000,0.11625,0.11625
