Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS10
Folio Number:  9A1549900T03
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,2006889.80509,0.00000,0.00000,0.00000,0.02786,0.02786
06/07/2019,2006330.75436,0.00000,0.00000,0.00000,0.27215,0.27215
06/06/2019,2000885.43692,0.00000,0.00000,0.00000,0.21715,0.21715
06/05/2019,1996549.91222,0.00000,0.00000,0.00000,-0.32158,-0.32158
06/04/2019,2002991.06462,0.00000,0.00000,0.00000,1.10460,1.10460
06/03/2019,1981107.80815,-0.00022,0.00000,0.00000,-0.01844,-0.01844
05/31/2019,1981183.60494,-0.00004,289.62380,0.00000,-0.50647,-0.50647
05/30/2019,1990583.95687,-0.00052,975.85457,0.00000,0.00458,0.00458
05/29/2019,1989903.42377,0.00000,1565.13593,0.00000,-0.30535,-0.30535
05/28/2019,1996003.00796,0.00000,1565.13593,0.00000,-0.17273,-0.17273
05/24/2019,1999459.40770,0.00000,1565.13593,0.00000,-0.12536,-0.12536
05/23/2019,2001971.11434,0.00007,1565.13593,0.00000,-0.85975,-0.85975
05/22/2019,2019125.67981,0.00000,1785.34149,0.00000,-0.22361,-0.22361
05/21/2019,2023654.73785,0.00000,1785.34149,0.00000,0.69786,0.69786
05/20/2019,2010207.28797,0.00000,1196.06013,0.00000,-0.72175,-0.72175
05/17/2019,2024830.10549,0.00000,1196.06013,0.00000,-0.10948,-0.10948
05/16/2019,2027050.66208,0.00000,1196.06013,0.00000,-0.05241,-0.05241
05/15/2019,2028114.19960,0.00000,1196.06013,0.00000,0.36785,0.36785
05/14/2019,2021652.66259,0.00000,220.20556,0.00000,0.53659,0.53659
05/13/2019,2010861.33526,0.00000,220.20556,0.00000,-1.56213,-1.56213
05/10/2019,2042775.52362,0.00000,220.20556,0.00000,0.00061,0.00061
05/09/2019,2042983.26748,0.00000,0.00000,0.00000,0.04971,0.04971
05/08/2019,2041968.10884,0.00000,0.00000,0.00000,-0.19701,-0.19701
05/07/2019,2045998.83533,0.00000,0.00000,0.00000,-0.66176,-0.66176
05/06/2019,2059628.53040,0.00000,0.00000,0.00000,-0.21588,-0.21588
05/03/2019,2064084.41919,0.00000,0.00000,0.00000,0.77142,0.77142
05/02/2019,2048283.61404,0.00000,0.00000,0.00000,0.09293,0.09293
05/01/2019,2046381.88745,-0.00006,0.00000,0.00000,-0.20662,-0.20662
04/30/2019,2049802.76840,0.00000,816.07303,0.00000,-0.12584,-0.12584
04/29/2019,2052386.47994,0.00000,816.07303,0.00000,-0.01684,-0.01684
04/26/2019,2052732.30221,0.00000,816.07303,0.00000,1.00297,1.00297
04/25/2019,2032340.38227,0.00000,816.07303,0.00000,-0.86366,-0.86366
04/24/2019,2050052.92080,0.00000,816.07303,0.00000,0.15286,0.15286
04/23/2019,2046922.83414,0.00000,816.07303,0.00000,0.26133,0.26133
04/22/2019,2041585.38852,0.00000,816.07303,0.00000,-0.56388,-0.56388
04/18/2019,2053167.39332,0.00000,816.07303,0.00000,-0.05085,-0.05085
04/17/2019,2054212.46592,0.00000,816.07303,0.00000,0.34161,0.34161
04/16/2019,2047216.18716,0.00000,816.07303,0.00000,0.50925,0.50925
04/15/2019,2036839.43098,0.00000,816.07303,0.00000,-0.09582,-0.09582
04/12/2019,2038793.75783,0.00000,816.07303,0.00000,0.47452,0.47452
04/11/2019,2029161.09124,0.00000,816.07303,0.00000,0.28148,0.28148
04/10/2019,2023463.07121,0.00000,816.07303,0.00000,0.31953,0.31953
04/09/2019,2017015.50628,0.00013,816.07303,0.00000,-0.26962,-0.26962
04/08/2019,2022634.62204,0.00000,652.20518,0.00000,0.37825,0.37825
04/05/2019,2015010.38189,0.00000,652.20518,0.00000,0.52160,0.52160
04/04/2019,2004551.27663,0.00000,652.20518,0.00000,0.24804,0.24804
04/03/2019,1999589.91993,0.00000,652.20518,0.00000,0.19280,0.19280
04/02/2019,1995740.94538,0.00000,652.20518,0.00000,-0.16681,-0.16681
04/01/2019,1999076.70359,0.00000,652.20518,0.00000,0.61450,0.61450
03/29/2019,1986863.43785,0.00000,652.20518,0.00000,-0.16432,-0.16432
03/28/2019,1990134.62561,0.00000,652.20518,0.00000,-0.10387,-0.10387
03/27/2019,1992204.67427,0.00000,652.20518,0.00000,0.03430,0.03430
03/26/2019,1991521.38360,0.00000,652.20518,0.00000,0.19066,0.19066
03/25/2019,1987730.36671,0.00000,652.20518,0.00000,-0.35128,-0.35128
03/22/2019,1994739.68012,-0.00018,652.20518,0.00000,-1.02519,-1.02519
03/21/2019,2014282.76547,0.00000,1777.58257,0.00000,0.42767,0.42767
03/20/2019,2005697.29952,2079.88400,1777.58257,0.00000,-0.15858,-0.15858
03/19/2019,2006804.26886,-0.00002,1777.58257,0.00000,0.09941,0.09941
03/18/2019,2004138.70798,0.00000,2448.36179,0.00000,0.14752,0.14752
03/15/2019,2001182.94543,-0.00069,2448.36179,0.00000,0.19805,0.19805
03/14/2019,1995581.21415,0.00000,4089.76882,0.00000,0.23093,0.23093
03/13/2019,1990974.00585,0.00000,4089.76882,0.00000,0.47280,0.47280
03/12/2019,1981585.82291,0.00000,4089.76882,0.00000,0.03399,0.03399
03/11/2019,1980911.06649,0.00000,4089.76882,0.00000,0.61339,0.61339
03/08/2019,1968809.56805,-2079.88417,4089.76882,0.00000,0.06397,0.06397
