Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_INTL1
Folio Number:  9A1549900T04
Download Date:  01/20/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/17/2020,2175061.44756,-0.00006,0.00000,0.00000,-0.02736,-0.02736
01/16/2020,2175542.24284,0.00001,114.40140,0.00000,0.52724,0.52724
01/15/2020,2161327.52301,0.00000,2918.44912,0.00000,0.27110,0.27110
01/14/2020,2155476.17194,0.00000,2918.44912,0.00000,0.10120,0.10120
01/13/2020,2153272.05745,0.00000,2940.43649,0.00000,1.07026,1.07026
01/10/2020,2130439.25558,0.00000,2940.43649,0.00000,0.22854,0.22854
01/09/2020,2125574.74561,0.00000,2940.43649,0.00000,0.72508,0.72508
01/08/2020,2110252.36289,0.00000,2940.43649,0.00000,0.67568,0.67568
01/07/2020,2096069.67782,0.00000,2940.43649,0.00000,0.09672,0.09672
01/06/2020,2094041.49538,0.00000,2940.43649,0.00000,-0.10348,-0.10348
01/03/2020,2096213.74271,0.00000,2940.43649,0.00000,-0.79117,-0.79117
01/02/2020,2112954.10204,0.00000,2940.43649,0.00000,1.81372,1.81372
12/31/2019,2075375.73045,-0.00033,2826.03509,0.00000,0.39581,0.39581
12/30/2019,2066255.55253,0.00000,3752.81017,0.00000,-0.36240,-0.36240
12/27/2019,2073806.59675,0.00000,3730.82280,0.00000,-0.07492,-0.07492
12/26/2019,2075364.21760,-0.00033,3730.82280,0.00000,0.90892,0.90892
12/24/2019,2056099.87155,0.00000,4268.00151,0.00000,0.16834,0.16834
12/23/2019,2052637.37826,0.00000,4268.00151,0.00000,0.27202,0.27202
12/20/2019,2047057.36451,0.00000,4268.00151,0.00000,-0.03446,-0.03446
12/19/2019,2047764.44053,0.00000,4268.00151,0.00000,-0.06183,-0.06183
12/18/2019,2049033.99452,0.00015,4268.00151,0.00000,0.21776,0.21776
12/17/2019,2044210.51798,0.00000,4629.98697,0.00000,-0.11551,-0.11551
12/16/2019,2046579.95224,-0.00009,4629.98697,0.00000,0.96013,0.96013
12/13/2019,2027378.21353,0.00000,4324.64555,0.00000,0.50728,0.50728
12/12/2019,2020854.55640,0.00000,593.82275,0.00000,1.27847,1.27847
12/11/2019,1995337.23607,0.00000,593.82275,0.00000,0.87037,0.87037
12/10/2019,1978115.21748,0.00007,593.82275,0.00000,0.25719,0.25719
12/09/2019,1972462.53377,0.00000,1170.58968,0.00000,-0.66437,-0.66437
12/06/2019,1985894.20696,0.00000,938.75239,0.00000,0.85314,0.85314
12/05/2019,1969087.10438,0.00000,938.75239,0.00000,0.20413,0.20413
12/04/2019,1965073.80297,0.00000,938.75239,0.00000,0.45094,0.45094
12/03/2019,1956248.06583,0.00000,938.75239,0.00000,-1.11715,-1.11715
12/02/2019,1978359.79432,0.00000,938.75239,0.00000,-0.67750,-0.67750
11/29/2019,1991861.04706,0.00000,938.75239,0.00000,-0.45877,-0.45877
11/27/2019,2001045.59270,0.00000,938.75239,0.00000,0.62141,0.62141
11/26/2019,1988681.95964,0.00000,938.75239,0.00000,-0.02677,-0.02677
11/25/2019,1989576.70948,0.00000,576.76693,0.00000,1.22435,1.22435
11/22/2019,1965505.07716,0.00058,576.76693,0.00000,0.40228,0.40228
11/21/2019,1956374.24206,0.00000,1830.16634,0.00000,-0.18088,-0.18088
11/20/2019,1959922.65780,0.00000,1830.16634,0.00000,-0.79539,-0.79539
11/19/2019,1975651.41139,0.00000,1830.16634,0.00000,0.25757,0.25757
11/18/2019,1970571.15450,0.00000,1830.16634,0.00000,0.81317,0.81317
11/15/2019,1954661.46776,0.00000,1830.16634,0.00000,-0.01628,-0.01628
11/14/2019,1954980.12198,-0.00031,1830.16634,0.00000,-0.38557,-0.38557
11/13/2019,1960995.58202,0.00000,3388.70927,0.00000,1.80836,1.80836
11/12/2019,1927356.79048,0.00000,2135.30986,0.00000,-0.00297,-0.00297
11/11/2019,1927414.05625,0.00000,2135.30986,0.00000,-0.31786,-0.31786
11/08/2019,1933566.96446,0.00000,2135.30986,0.00000,0.63465,0.63465
11/07/2019,1921936.35386,0.00000,1558.54293,0.00000,1.11773,1.11773
11/06/2019,1902233.16012,0.00000,0.00000,0.00000,0.22385,0.22385
11/05/2019,1897984.55111,0.00000,0.00000,0.00000,-0.14104,-0.14104
11/04/2019,1900665.22689,0.00000,0.00000,0.00000,0.68687,0.68687
11/01/2019,1887699.19636,0.00000,0.00000,0.00000,1.46921,1.46921
10/31/2019,1860366.57926,0.00000,0.00000,0.00000,0.21001,0.21001
10/30/2019,1856467.75961,0.00000,0.00000,0.00000,-0.99819,-0.99819
10/29/2019,1875185.76757,0.00000,0.00000,0.00000,-1.06234,-1.06234
10/28/2019,1895320.56753,0.00000,0.00000,0.00000,0.61221,0.61221
10/25/2019,1883787.83041,0.00000,0.00000,0.00000,1.02545,1.02545
10/24/2019,1864666.67632,0.00000,0.00000,0.00000,0.00528,0.00528
10/23/2019,1864568.16048,0.00000,0.00000,0.00000,0.26513,0.26513
10/22/2019,1859637.72041,0.00000,0.00000,0.00000,0.37565,0.37565
10/21/2019,1852678.13755,0.00000,0.00000,0.00000,0.67226,0.67226
10/18/2019,1840306.41456,0.00003,0.00000,0.00000,-0.14943,-0.14943
10/17/2019,1842946.77760,0.00000,113.78279,0.00000,0.55452,0.55452
10/16/2019,1832782.99826,0.00000,113.78279,0.00000,0.16910,0.16910
10/15/2019,1829688.74757,0.00000,113.78279,0.00000,0.07275,0.07275
10/14/2019,1828336.69386,0.00000,135.71191,0.00000,-0.18226,-0.18226
10/11/2019,1831675.39680,0.00000,135.71191,0.00000,1.62634,1.62634
10/10/2019,1802360.59700,0.00000,135.71191,0.00000,0.89698,0.89698
10/09/2019,1786336.35026,0.00000,135.71191,0.00000,0.71068,0.71068
10/08/2019,1773729.75927,0.00000,135.71191,0.00000,-1.33284,-1.33284
10/07/2019,1797691.86902,0.00000,135.71191,0.00000,-0.16395,-0.16395
10/04/2019,1800644.27409,0.00000,135.71191,0.00000,1.35168,1.35168
10/03/2019,1776628.17404,0.00000,135.71191,0.00000,0.14044,0.14044
10/02/2019,1774250.12734,0.00000,21.92912,0.00000,-1.11305,-1.11305
10/01/2019,1794220.88390,0.00000,21.92912,0.00000,-0.20893,-0.20893
09/30/2019,1797977.36188,-0.00007,21.92912,0.00000,1.01147,1.01147
09/27/2019,1779069.99121,0.00000,925.20497,0.00000,-0.51974,-0.51974
09/26/2019,1788391.66417,-0.00018,903.27585,0.00000,-0.74573,-0.74573
09/25/2019,1801305.39422,0.00000,1433.15311,0.00000,0.74585,0.74585
09/24/2019,1787959.18113,0.00000,1433.15311,0.00000,-0.45263,-0.45263
09/23/2019,1796095.26248,0.00000,1433.15311,0.00000,0.04629,0.04629
09/20/2019,1795263.59492,0.00000,1433.15311,0.00000,-0.72029,-0.72029
09/19/2019,1808298.98057,0.00000,1433.15311,0.00000,-1.28033,-1.28033
09/18/2019,1831770.00098,0.00000,1433.15311,0.00000,0.24322,0.24322
09/17/2019,1826961.76543,0.00000,1793.53561,0.00000,0.33290,0.33290
09/16/2019,1821423.83598,0.00009,1263.65835,0.00000,-0.36551,-0.36551
09/13/2019,1827879.59878,0.00000,1494.48495,0.00000,-0.27631,-0.27631
09/12/2019,1832948.35690,0.00000,1494.48495,0.00000,0.18748,0.18748
09/11/2019,1829515.62180,0.00000,1494.48495,0.00000,0.94408,0.94408
09/10/2019,1812391.04157,0.00029,1494.48495,0.00000,0.40312,0.40312
09/09/2019,1804538.40772,0.00000,2064.37242,0.00000,0.16382,0.16382
09/06/2019,1801814.50326,0.00000,1833.54582,0.00000,0.22931,0.22931
09/05/2019,1797688.02805,0.00000,1833.54582,0.00000,1.25225,1.25225
09/04/2019,1776335.48188,0.00000,930.26997,0.00000,1.27617,1.27617
09/03/2019,1753940.27597,0.00000,930.26997,0.00000,-1.48258,-1.48258
08/30/2019,1780349.23670,0.00000,930.26997,0.00000,0.36338,0.36338
08/29/2019,1773899.86705,0.00000,930.26997,0.00000,1.17707,1.17707
08/28/2019,1753251.87030,0.00000,930.26997,0.00000,0.79031,0.79031
08/27/2019,1739497.10674,0.00018,930.26997,0.00000,-0.53572,-0.53572
08/26/2019,1747990.01223,0.00000,1811.36677,0.00000,1.27770,1.27770
08/23/2019,1725914.78843,0.00000,1811.36677,0.00000,-2.73979,-2.73979
08/22/2019,1774584.24167,0.00000,1811.36677,0.00000,-0.42838,-0.42838
08/21/2019,1782226.68898,0.00000,1811.36677,0.00000,0.41443,0.41443
08/20/2019,1774863.62524,0.00000,1811.36677,0.00000,0.15810,0.15810
08/19/2019,1772059.09856,0.00000,1811.36677,0.00000,1.12872,1.12872
08/16/2019,1752260.50036,0.00000,1811.36677,0.00000,1.54310,1.54310
08/15/2019,1725604.80591,0.00039,1811.36677,0.00000,-0.03356,-0.03356
08/14/2019,1725873.63482,0.00000,2122.50438,0.00000,-2.57862,-2.57862
08/13/2019,1771611.43962,0.00001,2122.50438,0.00000,1.51141,1.51141
08/12/2019,1745079.43283,0.00000,2245.21760,0.00000,-0.97556,-0.97556
08/09/2019,1762863.39666,0.00000,1675.33013,0.00000,-0.31904,-0.31904
08/08/2019,1770063.67921,0.00000,122.71322,0.00000,1.80974,1.80974
08/07/2019,1738597.37526,0.00000,122.71322,0.00000,-1.02116,-1.02116
08/06/2019,1756535.61060,0.00000,122.71322,0.00000,1.32880,1.32880
08/05/2019,1733499.27263,0.00000,122.71322,0.00000,-2.93112,-2.93112
08/02/2019,1785848.28750,0.00000,122.71322,0.00000,-1.04315,-1.04315
08/01/2019,1804674.98598,0.00000,122.71322,0.00000,-1.71719,-1.71719
07/31/2019,1836208.23950,0.00000,122.71322,0.00000,-0.80121,-0.80121
07/30/2019,1851039.96648,0.00000,122.71322,0.00000,-0.52178,-0.52178
07/29/2019,1860749.59848,0.00000,122.71322,0.00000,0.65024,0.65024
07/26/2019,1848850.35839,0.00000,0.00000,0.00000,0.49615,0.49615
07/25/2019,1839722.66033,0.00002,0.00000,0.00000,-0.20903,-0.20903
07/24/2019,1840789.28914,0.00000,2786.92257,0.00000,0.46105,0.46105
07/23/2019,1832328.47938,0.00000,2786.92257,0.00000,0.50666,0.50666
07/22/2019,1823077.54792,0.00000,2786.92257,0.00000,0.31433,0.31433
07/19/2019,1817356.21953,-0.00009,2786.92257,0.00000,-0.62410,-0.62410
07/18/2019,1828673.94809,0.00000,2900.09099,0.00000,-0.00923,-0.00923
07/17/2019,1828842.94115,0.00000,2900.09099,0.00000,-1.05871,-1.05871
07/16/2019,1848443.30180,0.00000,2900.09099,0.00000,0.00597,0.00597
07/15/2019,1848332.75129,0.00000,2900.09099,0.00000,0.75844,0.75844
07/12/2019,1834397.99920,0.00000,2900.09099,0.00000,0.93913,0.93913
07/11/2019,1817293.03685,0.00000,2911.03793,0.00000,-0.08680,-0.08680
07/10/2019,1818874.30410,0.00000,2911.03793,0.00000,0.21174,0.21174
07/09/2019,1815025.00100,0.00000,2911.03793,0.00000,0.15865,0.15865
07/08/2019,1812145.47869,0.00000,2911.03793,0.00000,-0.78012,-0.78012
07/05/2019,1826416.48531,0.00000,2911.03793,0.00000,0.00010,0.00010
07/03/2019,1829201.62453,0.00000,124.11536,0.00000,0.57339,0.57339
07/02/2019,1818885.39292,0.00000,10.94694,0.00000,0.35035,0.35035
07/01/2019,1812535.11131,0.00000,10.94694,0.00000,1.47438,1.47438
06/28/2019,1786199.64359,-0.00011,10.94694,0.00000,-0.47753,-0.47753
06/27/2019,1793872.35499,-0.00017,908.90001,0.00000,0.09742,0.09742
06/26/2019,1791613.42670,0.00000,1420.97885,0.00000,0.76094,0.76094
06/25/2019,1778072.60056,0.00000,1420.97885,0.00000,-0.73679,-0.73679
06/24/2019,1791281.08859,0.00000,1420.97885,0.00000,-0.29440,-0.29440
06/21/2019,1796574.44097,0.00000,1420.97885,0.00000,-0.68022,-0.68022
06/20/2019,1808888.46393,0.00000,1420.97885,0.00000,0.73800,0.73800
06/19/2019,1795626.21620,0.00016,1420.97885,0.00000,0.23328,0.23328
06/18/2019,1791120.76588,0.00000,1743.96027,0.00000,1.08883,1.08883
06/17/2019,1772332.74147,-0.00076,1220.93449,0.00000,-0.13538,-0.13538
06/14/2019,1770002.72061,-0.00008,5955.16679,0.00000,-0.36040,-0.36040
06/13/2019,1776196.63129,0.00000,6184.91360,0.00000,1.52376,1.52376
06/12/2019,1749444.99779,0.00000,6184.91360,0.00000,-0.12128,-0.12128
06/11/2019,1751576.73143,-0.00001,6184.91360,0.00000,0.26486,0.26486
06/10/2019,1746811.46037,0.00013,6306.90447,0.00000,1.14817,1.14817
06/07/2019,1726347.77549,0.00000,6870.24929,0.00000,1.04638,1.04638
06/06/2019,1708629.21207,0.00000,6640.50248,0.00000,0.49483,0.49483
06/05/2019,1701081.34086,0.00000,5742.54941,0.00000,0.75249,0.75249
06/04/2019,1688333.59037,0.00000,5742.54941,0.00000,2.66609,2.66609
06/03/2019,1649075.11205,0.00000,1008.31711,0.00000,-0.74361,-0.74361
05/31/2019,1661437.24601,0.00000,1008.31711,0.00000,-0.80677,-0.80677
