Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_INTL1
Folio Number:  9A1549900T04
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1914793.96910,0.00000,0.00000,0.00000,0.23302,0.23302
07/01/2020,1910342.40336,0.00000,0.00000,0.00000,0.16297,0.16297
06/30/2020,1907234.09220,-0.00011,0.00000,0.00000,0.65629,0.65629
06/29/2020,1893858.22095,0.00000,940.42985,0.00000,2.10599,2.10599
06/26/2020,1854776.99817,0.00000,940.42985,0.00000,-2.34530,-2.34530
06/25/2020,1899344.42473,0.00000,940.42985,0.00000,0.09051,0.09051
06/24/2020,1897626.03610,0.00000,940.42985,0.00000,-2.44527,-2.44527
06/23/2020,1945214.78991,0.00000,940.42985,0.00000,1.31810,1.31810
06/22/2020,1919896.29207,0.00000,940.42985,0.00000,0.85184,0.85184
06/19/2020,1903672.03654,0.00000,940.42985,0.00000,-1.19290,-1.19290
06/18/2020,1926666.42638,0.00000,940.42985,0.00000,-0.20677,-0.20677
06/17/2020,1930660.30823,0.00014,940.42985,0.00000,-0.50708,-0.50708
06/16/2020,1940140.09051,0.00000,1305.37224,0.00000,1.28804,1.28804
06/15/2020,1915451.55517,0.00008,1305.37224,0.00000,0.76385,0.76385
06/12/2020,1900916.82061,0.00000,1309.91374,0.00000,1.41502,1.41502
06/11/2020,1874375.42486,0.00000,1309.91374,0.00000,-5.50516,-5.50516
06/10/2020,1983650.77853,-0.00003,1309.91374,0.00000,-0.55193,-0.55193
06/09/2020,1994071.36604,0.00000,1905.65150,0.00000,-0.63006,-0.63006
06/08/2020,2006731.58150,0.00000,1901.11000,0.00000,1.87184,1.87184
06/05/2020,1969824.06407,0.00000,1901.11000,0.00000,2.14119,2.14119
06/04/2020,1928490.73743,0.00000,1901.11000,0.00000,0.28717,0.28717
06/03/2020,1923903.48358,0.00000,960.68015,0.00000,2.37399,2.37399
06/02/2020,1879267.11393,0.00000,960.68015,0.00000,0.51738,0.51738
06/01/2020,1869589.26173,0.00000,960.68015,0.00000,1.56803,1.56803
