Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_LUX1
Folio Number:  9A1549900T05
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1859322.43323,0.00028,0.00000,0.00000,0.61744,0.61744
06/27/2019,1846969.03346,0.00007,943.67860,0.00000,0.33111,0.33111
06/26/2019,1839743.32204,0.00000,2070.98428,0.00000,0.44435,0.44435
06/25/2019,1831595.37057,0.00000,2070.98428,0.00000,-0.93568,-0.93568
06/24/2019,1848914.61334,0.00000,2070.98428,0.00000,0.15920,0.15920
06/21/2019,1845972.60063,0.00000,2070.98428,0.00000,-0.35195,-0.35195
06/20/2019,1852499.71923,0.00000,2070.98428,0.00000,1.07257,1.07257
06/19/2019,1832819.27476,0.00000,2070.98428,0.00000,0.11804,0.11804
06/18/2019,1830656.00189,0.00000,2070.98428,0.00000,1.15375,1.15375
06/17/2019,1810879.38928,-0.00005,943.67860,0.00000,0.03520,0.03520
06/14/2019,1809138.42140,-0.00001,2047.04695,0.00000,-0.27668,-0.27668
06/13/2019,1813922.65001,0.00000,2287.83362,0.00000,0.40549,0.40549
06/12/2019,1806587.90528,0.00000,2287.83362,0.00000,-0.71128,-0.71128
06/11/2019,1819546.16066,0.00000,2287.83362,0.00000,0.24332,0.24332
06/10/2019,1815124.09432,0.00000,2287.83362,0.00000,0.93598,0.93598
06/07/2019,1798271.19008,0.00000,2287.83362,0.00000,1.10468,1.10468
06/06/2019,1778838.86550,0.00042,2047.04695,0.00000,0.44095,0.44095
06/05/2019,1770936.91955,0.00000,2130.58695,0.00000,-0.09522,-0.09522
06/04/2019,1772626.77300,0.00000,2130.58695,0.00000,2.51404,2.51404
06/03/2019,1729102.90863,0.00000,2130.58695,0.00000,0.20996,0.20996
05/31/2019,1725475.58926,0.00000,2130.58695,0.00000,-0.96365,-0.96365
05/30/2019,1742285.56864,0.00024,2130.58695,0.00000,-0.05246,-0.05246
05/29/2019,1743726.88965,0.00000,1604.84139,0.00000,-0.47022,-0.47022
05/28/2019,1751972.59105,0.00000,1604.84139,0.00000,-0.31321,-0.31321
