Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_LUX1
Folio Number:  9A1549900T05
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1693935.54976,0.00000,0.00000,0.00000,0.76061,0.76061
07/01/2020,1681148.59239,0.00000,0.00000,0.00000,0.03695,0.03695
06/30/2020,1680527.55544,0.00000,0.00000,0.00000,0.59786,0.59786
06/29/2020,1670539.99372,0.00000,0.00000,0.00000,1.82637,1.82637
06/26/2020,1640576.97374,0.00000,0.00000,0.00000,-1.47938,-1.47938
06/25/2020,1665211.83259,0.00000,0.00000,0.00000,-0.46050,-0.46050
06/24/2020,1672915.53134,0.00000,0.00000,0.00000,-2.66326,-2.66326
06/23/2020,1718688.59836,0.00000,0.00000,0.00000,0.54149,0.54149
06/22/2020,1709432.14686,0.00000,0.00000,0.00000,0.32119,0.32119
06/19/2020,1703959.27293,0.00000,0.00000,0.00000,-1.60086,-1.60086
06/18/2020,1731681.00558,0.00000,0.00000,0.00000,0.10668,0.10668
06/17/2020,1729835.69919,0.00000,0.00000,0.00000,-0.80076,-0.80076
06/16/2020,1743799.28310,0.00000,0.00000,0.00000,1.35595,1.35595
06/15/2020,1720470.62771,0.00007,0.00000,0.00000,-0.20674,-0.20674
06/12/2020,1724030.19404,0.00000,4.75973,0.00000,0.83607,0.83607
06/11/2020,1709735.64411,0.00000,4.75973,0.00000,-4.40460,-4.40460
06/10/2020,1788512.76860,0.00000,4.75973,0.00000,-1.66294,-1.66294
06/09/2020,1818757.75423,0.00000,4.75973,0.00000,-1.98806,-1.98806
06/08/2020,1855654.11448,0.00000,0.00000,0.00000,1.34944,1.34944
06/05/2020,1830946.62129,0.00000,0.00000,0.00000,2.14001,2.14001
06/04/2020,1792585.13312,0.00000,0.00000,0.00000,0.63494,0.63494
06/03/2020,1781275.08851,0.00000,0.00000,0.00000,1.70852,1.70852
06/02/2020,1751352.88677,0.00000,0.00000,0.00000,-0.54406,-0.54406
06/01/2020,1760933.38778,0.00000,0.00000,0.00000,1.66523,1.66523
