Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SPORT
Folio Number:  9A1549900T06
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,2261776.39148,0.00039,0.00000,0.00000,1.00050,1.00050
03/29/2019,2239371.51757,0.00011,0.00000,0.00000,-0.04407,-0.04407
03/28/2019,2239290.48465,-0.00027,1068.33290,0.00000,0.92215,0.92215
03/27/2019,2217604.00587,0.00000,2284.18700,0.00000,0.58353,0.58353
03/26/2019,2204725.39727,0.00000,2284.18700,0.00000,0.77683,0.77683
03/25/2019,2187712.86059,0.00000,2284.18700,0.00000,0.55584,0.55584
03/22/2019,2175607.22759,-0.00001,2284.18700,0.00000,-2.66958,-2.66958
03/21/2019,2234915.62471,0.00000,2711.02605,0.00000,0.99606,0.99606
03/20/2019,2212847.34640,0.00000,2711.02605,0.00000,-1.25673,-1.25673
03/19/2019,2241045.20487,0.00000,2711.02605,0.00000,-0.67223,-0.67223
03/18/2019,2256230.45170,0.00000,2711.02605,0.00000,0.58680,0.58680
03/15/2019,2243052.27598,-0.00007,2711.02605,0.00000,-0.32731,-0.32731
03/14/2019,2250288.03431,0.00000,2849.97166,0.00000,-0.07354,-0.07354
03/13/2019,2253014.47604,0.00000,1781.63876,0.00000,0.27746,0.27746
03/12/2019,2247991.43406,0.00000,565.78466,0.00000,-0.35080,-0.35080
03/11/2019,2255907.17343,0.00000,565.78466,0.00000,1.14272,1.14272
03/08/2019,2230413.38507,0.00000,565.78466,0.00000,-0.54758,-0.54758
03/07/2019,2242697.06415,0.00004,565.78466,0.00000,-0.31616,-0.31616
03/06/2019,2250220.97216,0.00000,156.72445,0.00000,-0.80904,-0.80904
03/05/2019,2268575.82695,0.00000,156.72445,0.00000,-0.37429,-0.37429
03/04/2019,2277099.38241,0.00000,156.72445,0.00000,-1.47411,-1.47411
03/01/2019,2311170.81093,0.00000,156.72445,0.00000,0.96503,0.96503
