Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SPORT
Folio Number:  9A1549900T06
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2447398.04181,0.00000,0.00000,0.00000,0.12495,0.12495
07/01/2020,2444343.84261,0.00023,0.00000,0.00000,0.18458,0.18458
06/30/2020,2437845.75295,0.00018,1994.58034,0.00000,1.57177,1.57177
06/29/2020,2399809.10064,0.00000,2275.86896,0.00000,2.21161,2.21161
06/26/2020,2347833.80750,0.00000,2275.86896,0.00000,-2.06085,-2.06085
06/25/2020,2397285.08818,0.00000,2275.86896,0.00000,0.45975,0.45975
06/24/2020,2386303.59839,0.00000,2275.86896,0.00000,-1.85414,-1.85414
06/23/2020,2431427.96462,0.00000,2275.86896,0.00000,0.39789,0.39789
06/22/2020,2421782.75692,0.00000,2275.86896,0.00000,1.50790,1.50790
06/19/2020,2385773.45508,0.00000,2275.86896,0.00000,-1.24604,-1.24604
06/18/2020,2416186.30485,0.00000,1994.58034,0.00000,0.59386,0.59386
06/17/2020,2401910.45058,-0.00008,1994.58034,0.00000,0.07506,0.07506
06/16/2020,2400089.59365,0.00000,2012.41114,0.00000,1.56655,1.56655
06/15/2020,2363039.88824,0.00000,2012.41114,0.00000,1.72255,1.72255
06/12/2020,2322990.47911,0.00000,2012.41114,0.00000,0.80696,0.80696
06/11/2020,2305434.71739,0.00000,956.54547,0.00000,-4.47949,-4.47949
06/10/2020,2413594.34711,0.00000,956.54547,0.00000,-0.80152,-0.80152
06/09/2020,2433103.72032,0.00000,956.54547,0.00000,-0.76733,-0.76733
06/08/2020,2451925.34797,0.00000,956.54547,0.00000,1.51107,1.51107
06/05/2020,2415412.35074,0.00000,956.54547,0.00000,0.70242,0.70242
06/04/2020,2398557.62016,0.00000,956.54547,0.00000,-0.76929,-0.76929
06/03/2020,2417159.87333,0.00000,956.54547,0.00000,1.49704,1.49704
06/02/2020,2381493.57266,0.00000,956.54547,0.00000,0.65796,0.65796
06/01/2020,2365920.35305,-0.00003,956.54547,0.00000,1.79783,1.79783
