Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSEC
Folio Number:  9A1549900T07
Download Date:  05/07/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,998579.40236,0.00000,0.00000,0.00000,0.09164,0.09164
05/02/2019,997665.11943,0.00000,0.00000,0.00000,-0.15476,-0.15476
05/01/2019,999211.50066,0.00000,0.00000,0.00000,-0.16507,-0.16507
04/30/2019,1000863.63256,0.00000,0.00000,0.00000,-0.22253,-0.22253
04/29/2019,1003095.78725,0.00000,0.00000,0.00000,-0.07400,-0.07400
04/26/2019,1003838.62326,0.00000,0.00000,0.00000,0.17509,0.17509
04/25/2019,1002084.05535,0.00000,0.00000,0.00000,0.06562,0.06562
04/24/2019,1001426.89220,0.00000,0.00000,0.00000,0.08438,0.08438
04/23/2019,1000582.58598,0.00000,0.00000,0.00000,0.05927,0.05927
04/22/2019,999989.90827,0.00000,0.00000,0.00000,-0.14140,-0.14140
04/18/2019,1001405.86281,0.00000,0.00000,0.00000,0.05860,0.05860
04/17/2019,1000819.38296,0.00000,0.00000,0.00000,0.05273,0.05273
04/16/2019,1000291.92570,0.00000,0.00000,0.00000,-0.11620,-0.11620
04/15/2019,1001455.63211,0.00000,0.00000,0.00000,-0.01751,-0.01751
04/12/2019,1001630.98487,0.00000,0.00000,0.00000,0.59446,0.59446
04/11/2019,995711.84723,0.00000,0.00000,0.00000,0.03473,0.03473
04/10/2019,995366.15718,0.00000,0.00000,0.00000,0.10438,0.10438
04/09/2019,994328.25081,0.00000,0.00000,0.00000,0.08454,0.08454
04/08/2019,993488.32623,0.00000,0.00000,0.00000,0.04668,0.04668
04/05/2019,993024.73480,0.00000,0.00000,0.00000,0.04424,0.04424
04/04/2019,992585.60281,0.00000,0.00000,0.00000,0.15551,0.15551
04/03/2019,991044.45363,0.00000,0.00000,0.00000,0.10300,0.10300
04/02/2019,990024.67925,0.00000,0.00000,0.00000,-0.05351,-0.05351
