Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSEC
Folio Number:  9A1549900T07
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,973371.78757,0.00000,0.00000,0.00000,-0.06548,-0.06548
07/01/2020,974009.57844,0.00000,0.00000,0.00000,0.16096,0.16096
06/30/2020,972444.33314,0.00000,0.00000,0.00000,-0.00054,-0.00054
06/29/2020,972449.62927,0.00000,0.00000,0.00000,0.19787,0.19787
06/26/2020,970529.28228,0.00000,0.00000,0.00000,-0.17295,-0.17295
06/25/2020,972210.72594,0.00000,0.00000,0.00000,-0.05450,-0.05450
06/24/2020,972740.91609,0.00000,0.00000,0.00000,-0.27252,-0.27252
06/23/2020,975399.04758,0.00000,0.00000,0.00000,0.00477,0.00477
06/22/2020,975352.53795,0.00000,0.00000,0.00000,0.10116,0.10116
06/19/2020,974366.88114,0.00000,0.00000,0.00000,-0.21578,-0.21578
06/18/2020,976473.89937,0.00000,0.00000,0.00000,0.08197,0.08197
06/17/2020,975674.12966,0.00000,0.00000,0.00000,-0.03610,-0.03610
06/16/2020,976026.45260,0.00000,0.00000,0.00000,0.10776,0.10776
06/15/2020,974975.82543,0.00000,0.00000,0.00000,0.01635,0.01635
06/12/2020,974816.47394,0.00000,0.00000,0.00000,0.18001,0.18001
06/11/2020,973064.81878,0.00000,0.00000,0.00000,-0.60831,-0.60831
06/10/2020,979020.28949,0.00000,0.00000,0.00000,-0.19560,-0.19560
06/09/2020,980939.01322,0.00000,0.00000,0.00000,-0.33011,-0.33011
06/08/2020,984187.95817,0.00000,0.00000,0.00000,0.13031,0.13031
06/05/2020,982907.13529,0.00000,0.00000,0.00000,0.15299,0.15299
06/04/2020,981405.70486,0.00000,0.00000,0.00000,0.08155,0.08155
06/03/2020,980605.99013,0.00000,0.00000,0.00000,0.21491,0.21491
06/02/2020,978503.11254,0.00000,0.00000,0.00000,0.03269,0.03269
06/01/2020,978183.35049,0.00000,0.00000,0.00000,0.14735,0.14735
