Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_MMSS
Folio Number:  9A1549900T08
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,2879361.06358,0.00000,0.00000,0.00000,-4.49892,-4.49892
03/06/2020,3015003.78788,-0.00006,0.00000,0.00000,-0.30861,-0.30861
03/05/2020,3023553.31990,0.00000,783.74207,0.00000,-2.66364,-2.66364
03/04/2020,3106315.19384,0.00000,783.74207,0.00000,1.74862,1.74862
03/03/2020,3052917.53355,0.00000,783.74207,0.00000,-1.64659,-1.64659
03/02/2020,3104041.18169,0.00000,783.74207,0.00000,1.79106,1.79106
02/28/2020,3049410.33994,0.00000,783.74207,0.00000,-0.74539,-0.74539
02/27/2020,3072317.04913,0.00000,783.74207,0.00000,-3.04519,-3.04519
02/26/2020,3168837.91664,0.00000,783.74207,0.00000,-1.05570,-1.05570
02/25/2020,3202656.53479,0.00000,783.74207,0.00000,-1.65716,-1.65716
02/24/2020,3256637.20367,0.00000,783.74207,0.00000,-2.31945,-2.31945
02/21/2020,3333985.55498,0.00000,783.74207,0.00000,-0.59627,-0.59627
02/20/2020,3353989.11782,0.00000,783.74207,0.00000,4.23640,4.23640
02/19/2020,3218427.33717,0.00000,0.00000,0.00000,0.27364,0.27364
02/18/2020,3209644.43375,0.00000,0.00000,0.00000,-0.41551,-0.41551
02/14/2020,3223036.62151,0.00000,0.00000,0.00000,-0.01854,-0.01854
02/13/2020,3223634.14681,0.00000,0.00000,0.00000,-0.14791,-0.14791
02/12/2020,3228409.35961,0.00000,0.00000,0.00000,0.81246,0.81246
02/11/2020,3202391.31453,0.00000,0.00000,0.00000,0.09414,0.09414
02/10/2020,3199379.32982,0.00000,0.00000,0.00000,0.30323,0.30323
02/07/2020,3189707.30439,0.00000,0.00000,0.00000,-0.93968,-0.93968
02/06/2020,3219964.77977,0.00000,0.00000,0.00000,0.28706,0.28706
02/05/2020,3210748.08855,0.00000,0.00000,0.00000,0.13219,0.13219
02/04/2020,3206509.55597,0.00000,0.00000,0.00000,1.82305,1.82305
02/03/2020,3149099.94939,0.00018,0.00000,0.00000,-0.35539,-0.35539
01/31/2020,3159062.56579,0.00000,1268.96253,0.00000,-1.02985,-1.02985
01/30/2020,3191947.75008,0.00000,1268.96253,0.00000,0.19456,0.19456
01/29/2020,3185746.95465,0.00000,1268.96253,0.00000,0.09826,0.09826
01/28/2020,3182618.35891,0.00000,1268.96253,0.00000,0.48147,0.48147
01/27/2020,3167362.32181,0.00000,1268.96253,0.00000,-1.30839,-1.30839
01/24/2020,3209370.05450,0.00000,1268.96253,0.00000,-0.69791,-0.69791
01/23/2020,3231935.04006,0.00000,1268.96253,0.00000,-0.19503,-0.19503
01/22/2020,3238253.19694,-0.00015,1268.96253,0.00000,0.04540,0.04540
01/21/2020,3235880.37772,0.00000,2171.85116,0.00000,-0.51564,-0.51564
01/17/2020,3252663.64879,0.00000,2171.85116,0.00000,0.11439,0.11439
01/16/2020,3248944.68026,0.00062,2171.85116,0.00000,0.63122,0.63122
01/15/2020,3226620.55040,-0.00057,4102.95361,0.00000,-0.05235,-0.05235
01/14/2020,3227878.79462,0.00000,4536.99029,0.00000,0.19652,0.19652
01/13/2020,3221538.99767,0.00000,4536.99029,0.00000,0.05022,0.05022
01/10/2020,3219919.65924,-0.00029,4536.99029,0.00000,-0.21036,-0.21036
01/09/2020,3225623.26924,0.00000,5630.54347,0.00000,-0.25278,-0.25278
01/08/2020,3235080.80744,0.00000,4361.58094,0.00000,0.12929,0.12929
01/07/2020,3230897.97245,0.00000,4361.58094,0.00000,-0.25855,-0.25855
01/06/2020,3239284.28541,0.00000,4361.58094,0.00000,0.26040,0.26040
01/03/2020,3230859.74393,0.00000,4361.58094,0.00000,-0.25429,-0.25429
01/02/2020,3239107.61556,0.00000,4361.58094,0.00000,0.67641,0.67641
12/31/2019,3218218.85859,0.00000,3458.69231,0.00000,0.25049,0.25049
12/30/2019,3210169.11688,0.00000,3458.69231,0.00000,-0.15918,-0.15918
12/27/2019,3215292.60735,-0.00073,3458.69231,0.00000,-0.15773,-0.15773
12/26/2019,3219236.64698,0.00000,4599.69589,0.00000,0.38548,0.38548
12/24/2019,3207950.51908,0.00000,3506.14271,0.00000,0.06353,0.06353
12/23/2019,3205911.50721,0.00000,3506.14271,0.00000,-0.28842,-0.28842
12/20/2019,3215194.87928,-0.00025,3506.14271,0.00000,0.12721,0.12721
12/19/2019,3210365.68332,0.00005,4246.09157,0.00000,0.09817,0.09817
12/18/2019,3207171.94191,0.00000,4287.25744,0.00000,-0.23761,-0.23761
12/17/2019,3214820.96262,0.00000,4287.25744,0.00000,0.03593,0.03593
12/16/2019,3213664.69958,0.00000,4287.25744,0.00000,0.38827,0.38827
12/13/2019,3201218.70246,0.00000,4287.25744,0.00000,-0.24275,-0.24275
12/12/2019,3210950.20460,0.00000,2356.15499,0.00000,1.07434,1.07434
12/11/2019,3178370.30455,0.00000,781.11473,0.00000,0.57600,0.57600
12/10/2019,3160163.21108,0.00000,781.11473,0.00000,0.06466,0.06466
12/09/2019,3158120.73312,0.00000,781.11473,0.00000,-0.01359,-0.01359
12/06/2019,3159290.18892,-0.00006,41.16587,0.00000,0.19386,0.19386
