Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_MMSS
Folio Number:  9A1549900T08
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2877492.29915,0.00000,0.00000,0.00000,-0.19191,-0.19191
07/01/2020,2883025.13817,0.00000,0.00000,0.00000,0.28808,0.28808
06/30/2020,2874743.71366,0.00070,0.00000,0.00000,0.10267,0.10267
06/29/2020,2870419.79651,0.00000,1375.33576,0.00000,1.44277,1.44277
06/26/2020,2829575.70762,0.00000,1375.33576,0.00000,-1.62195,-1.62195
06/25/2020,2876249.24572,0.00000,1375.33576,0.00000,0.13161,0.13161
06/24/2020,2872466.87678,0.00000,1375.33576,0.00000,-1.74161,-1.74161
06/23/2020,2923405.02184,0.00000,1375.33576,0.00000,0.02281,0.02281
06/22/2020,2922737.97145,-0.00008,1375.33576,0.00000,0.82404,0.82404
06/19/2020,2898196.31067,0.00000,2017.98366,0.00000,-1.17893,-1.17893
06/18/2020,2932795.79680,0.00000,2017.98366,0.00000,-0.16526,-0.16526
06/17/2020,2937653.87820,0.00000,2017.98366,0.00000,-0.08726,-0.08726
06/16/2020,2940221.34603,0.00000,2017.98366,0.00000,0.65000,0.65000
06/15/2020,2921220.20595,0.00000,2017.98366,0.00000,0.42221,0.42221
06/12/2020,2908929.85207,0.00000,2017.98366,0.00000,0.90114,0.90114
06/11/2020,2884307.88834,0.00000,642.64790,0.00000,-4.26355,-4.26355
06/10/2020,3012786.93007,0.00000,642.64790,0.00000,-0.45584,-0.45584
06/09/2020,3026586.18931,0.00000,642.64790,0.00000,-1.45957,-1.45957
06/08/2020,3072067.69742,0.00000,0.00000,0.00000,1.04053,1.04053
06/05/2020,3040431.17950,0.00000,0.00000,0.00000,1.33255,1.33255
06/04/2020,3000448.83531,0.00000,0.00000,0.00000,0.08012,0.08012
06/03/2020,2998046.92443,0.00000,0.00000,0.00000,2.60934,2.60934
06/02/2020,2921807.07659,0.00000,0.00000,0.00000,0.68138,0.68138
06/01/2020,2902033.06612,0.00000,0.00000,0.00000,0.68191,0.68191
