Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS3
Folio Number:  9A1549900T09
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2723572.55862,0.00000,0.00000,0.00000,-0.13701,-0.13701
07/01/2020,2727309.15088,0.00002,0.00000,0.00000,0.81191,0.81191
06/30/2020,2704570.58225,0.00000,773.54544,0.00000,0.46964,0.46964
06/29/2020,2691924.64908,0.00000,773.54544,0.00000,1.83743,1.83743
06/26/2020,2643340.83827,0.00000,773.54544,0.00000,-1.65844,-1.65844
06/25/2020,2687931.52428,0.00000,773.54544,0.00000,-0.21306,-0.21306
06/24/2020,2693672.44373,0.00000,773.54544,0.00000,-2.38382,-2.38382
06/23/2020,2759471.83431,0.00000,773.54544,0.00000,0.60134,0.60134
06/22/2020,2742972.68543,0.00000,773.54544,0.00000,0.51493,0.51493
06/19/2020,2728916.76272,0.00000,773.54544,0.00000,-1.67756,-1.67756
06/18/2020,2775490.28894,-0.00083,773.54544,0.00000,0.37926,0.37926
06/17/2020,2764657.74283,0.00000,1116.55892,0.00000,-0.56295,-0.56295
06/16/2020,2780315.88459,0.00000,1116.55892,0.00000,0.77875,0.77875
06/15/2020,2758822.85884,0.00000,1116.55892,0.00000,0.83811,0.83811
06/12/2020,2735883.91358,0.00008,1116.55892,0.00000,1.12095,1.12095
06/11/2020,2705355.54776,0.00000,1304.61898,0.00000,-4.97816,-4.97816
06/10/2020,2847156.41101,0.00000,1304.61898,0.00000,-1.08935,-1.08935
06/09/2020,2878527.81825,0.00000,1304.61898,0.00000,-1.99663,-1.99663
06/08/2020,2937198.73817,0.00000,1304.61898,0.00000,1.86150,1.86150
06/05/2020,2883498.13033,0.00000,1304.61898,0.00000,1.43942,1.43942
06/04/2020,2842562.93268,0.00000,1304.61898,0.00000,0.78167,0.78167
06/03/2020,2820505.64898,0.00022,1304.61898,0.00000,2.24079,2.24079
06/02/2020,2758425.43746,0.00000,1539.79063,0.00000,0.43469,0.43469
06/01/2020,2746479.99251,-0.00007,1539.79063,0.00000,1.21950,1.21950
