Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SMM
Folio Number:  9A1549900T0A
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,2314996.23009,-0.00017,0.00000,0.00000,-0.83261,-0.83261
09/30/2019,2334432.85993,0.00000,0.00000,0.00000,0.76119,0.76119
09/27/2019,2316797.57880,0.00000,0.00000,0.00000,-0.53156,-0.53156
09/26/2019,2329178.51358,0.00000,0.00000,0.00000,-0.56289,-0.56289
09/25/2019,2342363.43752,0.00000,0.00000,0.00000,0.55557,0.55557
09/24/2019,2329421.85826,0.00205,0.00000,0.00000,-0.60837,-0.60837
09/23/2019,2343538.53008,0.00000,141.51172,0.00000,0.07657,0.07657
09/20/2019,2341745.36034,0.00000,141.51172,0.00000,-0.44029,-0.44029
09/19/2019,2352102.14677,0.00010,141.51172,0.00000,-0.45625,-0.45625
09/18/2019,2361934.00852,0.00000,1091.01548,0.00000,0.00757,0.00757
09/17/2019,2361755.07566,0.00000,1091.01548,0.00000,-0.31585,-0.31585
09/16/2019,2369241.77941,0.00000,1091.01548,0.00000,-0.25857,-0.25857
09/13/2019,2375386.58376,0.00000,1091.01548,0.00000,0.05601,0.05601
09/12/2019,2374056.16578,0.00000,1091.01548,0.00000,0.05503,0.05503
09/11/2019,2372749.79647,0.00000,1091.01548,0.00000,0.35464,0.35464
09/10/2019,2364360.95734,0.00000,1091.01548,0.00000,0.20836,0.20836
09/09/2019,2359442.62897,-0.00005,1091.01548,0.00000,0.19050,0.19050
09/06/2019,2353640.29823,0.00092,2405.18150,0.00000,-0.33323,-0.33323
09/05/2019,2360897.72679,0.00000,3025.02486,0.00000,1.20225,1.20225
09/04/2019,2332815.08391,0.00000,3025.02486,0.00000,1.45228,1.45228
09/03/2019,2300468.77205,0.00000,1934.00938,0.00000,-1.03629,-1.03629
08/30/2019,2324578.17103,0.00000,1934.00938,0.00000,0.10733,0.10733
08/29/2019,2322083.72032,-0.00012,1934.00938,0.00000,1.45150,1.45150
08/28/2019,2288139.91215,0.00000,2627.43024,0.00000,1.13781,1.13781
08/27/2019,2262368.55155,0.00000,2627.43024,0.00000,-0.06948,-0.06948
08/26/2019,2263943.25332,0.00000,2627.43024,0.00000,1.38109,1.38109
08/23/2019,2233066.20510,0.00000,2627.43024,0.00000,-2.76284,-2.76284
08/22/2019,2296589.89694,0.00000,2627.43024,0.00000,0.64316,0.64316
08/21/2019,2281896.78464,0.00000,2627.43024,0.00000,0.81900,0.81900
08/20/2019,2263338.49952,0.00000,2627.43024,0.00000,0.06891,0.06891
08/19/2019,2261778.13814,0.00000,2627.43024,0.00000,1.42089,1.42089
08/16/2019,2230054.23068,0.00000,2627.43024,0.00000,1.17401,1.17401
08/15/2019,2204146.39752,-0.00034,2627.43024,0.00000,-0.16091,-0.16091
08/14/2019,2207624.01917,0.00000,2706.46610,0.00000,-3.13976,-3.13976
08/13/2019,2279966.02463,0.00000,2013.04524,0.00000,1.07496,1.07496
08/12/2019,2255696.57317,0.00000,2013.04524,0.00000,-1.69576,-1.69576
08/09/2019,2294642.42032,0.00000,2013.04524,0.00000,-0.92657,-0.92657
08/08/2019,2316121.67213,0.00000,2013.04524,0.00000,2.29982,2.29982
08/07/2019,2265941.37379,0.00000,79.03586,0.00000,0.02780,0.02780
08/06/2019,2265311.70110,0.00000,79.03586,0.00000,-2.26896,-2.26896
08/05/2019,2317905.90273,0.00000,79.03586,0.00000,-2.78514,-2.78514
08/02/2019,2384314.52087,0.00000,79.03586,0.00000,-0.85962,-0.85962
08/01/2019,2405068.06155,-0.00009,0.00000,0.00000,-0.16200,-0.16200
07/31/2019,2408084.10429,0.00015,886.46428,0.00000,-0.92096,-0.92096
07/30/2019,2430336.09148,0.00000,1026.35781,0.00000,0.15044,0.15044
07/29/2019,2426683.78627,0.00000,1026.35781,0.00000,0.09609,0.09609
07/26/2019,2424353.20020,0.00000,1026.35781,0.00000,0.72863,0.72863
07/25/2019,2406808.91233,-0.00067,1026.35781,0.00000,0.03194,0.03194
07/24/2019,2405089.98799,0.00008,1976.50675,0.00000,1.04446,1.04446
07/23/2019,2379486.26170,0.00000,2699.23447,0.00000,0.76360,0.76360
07/22/2019,2361433.68393,0.00000,2699.23447,0.00000,-0.41209,-0.41209
07/19/2019,2371216.27869,0.00000,2699.23447,0.00000,-0.52897,-0.52897
07/18/2019,2383840.27721,0.00000,2699.23447,0.00000,-0.46457,-0.46457
07/17/2019,2394979.12339,0.00000,2699.23447,0.00000,-0.70769,-0.70769
07/16/2019,2412068.09270,0.00000,2699.23447,0.00000,-0.09847,-0.09847
07/15/2019,2414448.17540,-0.00003,2699.23447,0.00000,-0.28687,-0.28687
07/12/2019,2421154.71197,0.00000,2946.73256,0.00000,0.87908,0.87908
07/11/2019,2400030.68340,0.00000,2946.73256,0.00000,0.13363,0.13363
07/10/2019,2396823.88875,0.00000,2946.73256,0.00000,0.66255,0.66255
07/09/2019,2381028.74971,0.00000,2946.73256,0.00000,0.12323,0.12323
07/08/2019,2378981.08773,0.00000,2060.26828,0.00000,-0.59358,-0.59358
07/05/2019,2393198.89433,0.00000,2060.26828,0.00000,0.14183,0.14183
07/03/2019,2390756.65623,0.00000,1110.11934,0.00000,0.88138,0.88138
07/02/2019,2369999.23171,0.00000,970.22581,0.00000,0.46156,0.46156
07/01/2019,2359828.84786,0.00021,247.49809,0.00000,0.50066,0.50066
06/28/2019,2347686.20081,0.00000,633.00279,0.00000,1.11999,1.11999
