Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SMM
Folio Number:  9A1549900T0A
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2208607.60093,0.00000,0.00000,0.00000,-0.02930,-0.02930
07/01/2020,2209254.95815,0.00009,0.00000,0.00000,0.00157,0.00157
06/30/2020,2208689.18118,0.00000,531.02139,0.00000,0.00899,0.00899
06/29/2020,2208490.62825,0.00000,531.02139,0.00000,2.50236,2.50236
06/26/2020,2154562.50481,0.00000,531.02139,0.00000,-2.02824,-2.02824
06/25/2020,2199177.80200,0.00000,531.02139,0.00000,0.13560,0.13560
06/24/2020,2196199.08416,0.00000,531.02139,0.00000,-2.98029,-2.98029
06/23/2020,2263679.17543,0.00098,531.02139,0.00000,1.53762,1.53762
06/22/2020,2229231.78260,0.00000,690.63205,0.00000,0.24557,0.24557
06/19/2020,2223769.23083,0.00000,690.63205,0.00000,-1.18645,-1.18645
06/18/2020,2250478.22720,0.00023,690.63205,0.00000,-0.17111,-0.17111
06/17/2020,2253268.65866,0.00000,1758.77332,0.00000,-0.88221,-0.88221
06/16/2020,2273339.84247,0.00000,1758.77332,0.00000,1.53752,1.53752
06/15/2020,2238889.53559,0.00000,1758.77332,0.00000,1.27347,1.27347
06/12/2020,2210714.43760,0.00000,1758.77332,0.00000,1.49631,1.49631
06/11/2020,2178628.15112,0.00000,1227.75193,0.00000,-6.38589,-6.38589
06/10/2020,2327327.16372,0.00000,1227.75193,0.00000,-1.84846,-1.84846
06/09/2020,2371180.07366,0.00000,1227.75193,0.00000,-2.21879,-2.21879
06/08/2020,2425013.33175,0.00000,1227.75193,0.00000,3.19836,3.19836
06/05/2020,2349818.38502,0.00000,1227.75193,0.00000,2.85759,2.85759
06/04/2020,2284501.65460,0.00000,1227.75193,0.00000,-0.28165,-0.28165
06/03/2020,2291117.14820,0.00000,1068.14127,0.00000,2.13329,2.13329
06/02/2020,2244307.77391,-0.00002,0.00000,0.00000,0.53076,0.53076
06/01/2020,2231759.57477,0.00000,699.25659,0.00000,1.12639,1.12639
