Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS4
Folio Number:  9A1549900T0B
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,3148111.48476,0.00000,0.00000,0.00000,-0.02055,-0.02055
06/07/2019,3148758.51220,0.00000,0.00000,0.00000,0.52104,0.52104
06/06/2019,3132437.30852,0.00000,0.00000,0.00000,0.67912,0.67912
06/05/2019,3111307.88595,0.00000,0.00000,0.00000,0.35851,0.35851
06/04/2019,3100193.40485,0.00000,0.00000,0.00000,1.33840,1.33840
06/03/2019,3059248.40913,0.00003,0.00000,0.00000,0.07324,0.07324
05/31/2019,3057009.53384,0.00091,0.00000,0.00000,-0.74059,-0.74059
05/30/2019,3079783.34561,-0.00032,35.09867,0.00000,0.35889,0.35889
05/29/2019,3068150.51114,-0.00006,654.41467,0.00000,-0.36804,-0.36804
05/28/2019,3078872.64571,0.00000,1268.49533,0.00000,-0.33317,-0.33317
05/24/2019,3089169.19457,-0.00007,1268.49533,0.00000,-0.17013,-0.17013
05/23/2019,3093727.76593,0.00000,1976.75819,0.00000,-0.69270,-0.69270
05/22/2019,3115321.24761,0.00000,1976.75819,0.00000,-0.22837,-0.22837
05/21/2019,3122456.44462,0.00000,1976.75819,0.00000,0.53777,0.53777
05/20/2019,3106363.47399,0.00000,1357.44219,0.00000,-0.60503,-0.60503
05/17/2019,3125280.46645,0.00000,1357.44219,0.00000,-0.34589,-0.34589
05/16/2019,3136132.67696,0.00056,1357.44219,0.00000,0.37599,0.37599
05/15/2019,3123990.82891,0.00000,1746.78970,0.00000,0.48911,0.48911
05/14/2019,3109391.06671,0.00000,1132.70904,0.00000,0.50021,0.50021
05/13/2019,3093909.31817,0.00000,1132.70904,0.00000,-1.24289,-1.24289
05/10/2019,3132861.47933,0.00000,1132.70904,0.00000,0.01452,0.01452
05/09/2019,3132831.08729,0.00000,708.26286,0.00000,-0.36561,-0.36561
05/08/2019,3144329.73243,0.00000,708.26286,0.00000,0.03332,0.03332
05/07/2019,3143990.40794,0.00000,0.00000,0.00000,-0.82810,-0.82810
05/06/2019,3170243.19246,0.00000,0.00000,0.00000,-0.22242,-0.22242
05/03/2019,3177310.05036,0.00000,0.00000,0.00000,0.62803,0.62803
05/02/2019,3157480.24538,0.00000,0.00000,0.00000,-0.07681,-0.07681
05/01/2019,3159907.37403,0.00000,0.00000,0.00000,-0.22013,-0.22013
04/30/2019,3166878.67198,0.00000,0.00000,0.00000,-0.39839,-0.39839
04/29/2019,3179545.61892,0.00000,0.00000,0.00000,-0.15280,-0.15280
04/26/2019,3184411.45949,0.00009,0.00000,0.00000,0.03095,0.03095
04/25/2019,3182886.01454,-0.00103,540.07513,0.00000,0.12999,0.12999
04/24/2019,3178753.13533,0.00000,540.07513,0.00000,0.42712,0.42712
04/23/2019,3165231.40798,0.00000,540.07513,0.00000,0.54736,0.54736
04/22/2019,3147997.71540,0.00000,540.07513,0.00000,-0.32082,-0.32082
04/18/2019,3158131.37227,0.00000,540.07513,0.00000,0.49943,0.49943
04/17/2019,3142434.46544,0.00000,540.07513,0.00000,0.36123,0.36123
04/16/2019,3131121.83017,0.00000,540.07513,0.00000,-0.03759,-0.03759
04/15/2019,3132299.55956,0.00000,540.07513,0.00000,0.18908,0.18908
04/12/2019,3126387.08898,0.00000,540.07513,0.00000,1.91163,1.91163
04/11/2019,3067733.04442,0.00000,540.07513,0.00000,-0.00286,-0.00286
04/10/2019,3067820.71640,0.00000,540.07513,0.00000,0.27557,0.27557
04/09/2019,3059388.47998,0.00000,540.07513,0.00000,-0.07218,-0.07218
04/08/2019,3061598.59333,0.00000,540.07513,0.00000,0.12553,0.12553
04/05/2019,3057759.38309,0.00000,540.07513,0.00000,0.21915,0.21915
04/04/2019,3051071.81316,0.00000,540.07513,0.00000,0.39834,0.39834
04/03/2019,3039504.41089,0.00000,0.00000,0.00000,0.35080,0.35080
04/02/2019,3028879.12495,0.00000,0.00000,0.00000,-0.02661,-0.02661
04/01/2019,3029685.21277,0.00035,0.00000,0.00000,0.45050,0.45050
03/29/2019,3015894.13504,0.00000,203.49821,0.00000,0.30176,0.30176
03/28/2019,3006820.23575,0.00068,203.49821,0.00000,0.45674,0.45674
03/27/2019,2993051.18229,0.00000,300.59538,0.00000,-0.02094,-0.02094
03/26/2019,2993678.04322,0.00000,300.59538,0.00000,0.63744,0.63744
03/25/2019,2974714.21437,0.00000,300.59538,0.00000,-0.00810,-0.00810
03/22/2019,2974955.19245,0.00000,300.59538,0.00000,-1.01308,-1.01308
03/21/2019,3005405.34476,0.00000,300.59538,0.00000,0.47869,0.47869
03/20/2019,2991086.00422,1654.42401,300.59538,0.00000,-0.09339,-0.09339
03/19/2019,2992226.98305,0.00015,300.59538,0.00000,-0.52274,-0.52274
03/18/2019,3007342.63992,0.00000,910.28595,0.00000,-0.13221,-0.13221
03/15/2019,3011324.97112,-0.00020,910.28595,0.00000,0.32897,0.32897
03/14/2019,2999515.76663,0.00000,2842.74485,0.00000,0.12129,0.12129
03/13/2019,2995878.73928,0.00000,2842.74485,0.00000,0.19270,0.19270
03/12/2019,2990208.29112,0.00000,2745.64768,0.00000,0.11559,0.11559
03/11/2019,2986752.81539,0.00000,2745.64768,0.00000,0.60954,0.60954
03/08/2019,2968641.07595,-1654.42323,2745.64768,0.00000,-0.14113,-0.14113
