Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS4
Folio Number:  9A1549900T0B
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3117185.01567,0.00000,0.00000,0.00000,0.11204,0.11204
07/01/2020,3113696.38873,-0.00037,0.00000,0.00000,0.04288,0.04288
06/30/2020,3112132.17237,0.00000,229.58191,0.00000,0.53020,0.53020
06/29/2020,3095717.37744,0.00000,229.58191,0.00000,1.40106,1.40106
06/26/2020,3052940.77899,0.00000,229.58191,0.00000,-1.71635,-1.71635
06/25/2020,3106258.95897,0.00000,229.58191,0.00000,-0.15905,-0.15905
06/24/2020,3111207.80493,0.00000,229.58191,0.00000,-2.03164,-2.03164
06/23/2020,3175731.84142,0.00000,229.58191,0.00000,0.63934,0.63934
06/22/2020,3155555.71676,0.00000,229.58191,0.00000,0.48843,0.48843
06/19/2020,3140216.79431,0.00000,229.58191,0.00000,-1.36105,-1.36105
06/18/2020,3183549.62661,0.00001,229.58191,0.00000,0.07201,0.07201
06/17/2020,3181147.98867,0.00000,340.30092,0.00000,-0.33269,-0.33269
06/16/2020,3191767.73150,0.00000,340.30092,0.00000,0.84413,0.84413
06/15/2020,3165047.61872,0.00021,340.30092,0.00000,0.57224,0.57224
06/12/2020,3145284.77419,0.00000,2092.49205,0.00000,1.09777,1.09777
06/11/2020,3111108.92277,0.00000,2092.49205,0.00000,-3.99257,-3.99257
06/10/2020,3240574.72454,0.00000,2092.49205,0.00000,-0.99061,-0.99061
06/09/2020,3273018.33545,0.00000,2092.49205,0.00000,-1.23983,-1.23983
06/08/2020,3314133.75276,0.00000,2092.49205,0.00000,1.16490,1.16490
06/05/2020,3275947.82265,0.00208,2092.49205,0.00000,1.82053,1.82053
06/04/2020,3217295.04349,0.00000,2134.50794,0.00000,0.09419,0.09419
06/03/2020,3214265.47108,0.00000,2134.50794,0.00000,1.93112,1.93112
06/02/2020,3153440.29327,0.00000,2023.78893,0.00000,0.18205,0.18205
06/01/2020,3147706.33695,0.00025,2023.78893,0.00000,0.51956,0.51956
