Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SRS
Folio Number:  9A1549900T0C
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,2012401.95052,0.00000,0.00000,0.00000,-0.04905,-0.04905
03/29/2019,2013389.43782,0.00000,0.00000,0.00000,-0.40706,-0.40706
03/28/2019,2021618.65823,-0.00013,0.00000,0.00000,1.14854,1.14854
03/27/2019,1997839.19228,0.00000,824.07546,0.00000,0.15650,0.15650
03/26/2019,1994716.24157,0.00000,824.07546,0.00000,0.15939,0.15939
03/25/2019,1991540.57257,0.00000,824.07546,0.00000,0.30423,0.30423
03/22/2019,1985497.59473,0.00000,824.07546,0.00000,-0.78324,-0.78324
03/21/2019,2001178.04041,0.00008,824.07546,0.00000,0.95871,0.95871
03/20/2019,1981615.11371,1460.94225,1375.92610,0.00000,-0.45163,-0.45163
03/19/2019,1989147.26151,0.00000,1375.92610,0.00000,-0.38827,-0.38827
03/18/2019,1996463.47236,0.00000,1818.53136,0.00000,0.55852,0.55852
03/15/2019,1985364.61534,0.00001,1818.53136,0.00000,-0.22116,-0.22116
03/14/2019,1989070.53197,0.00000,2517.26406,0.00000,0.12253,0.12253
03/13/2019,1986633.13252,0.00000,2517.26406,0.00000,0.58248,0.58248
03/12/2019,1975113.84476,0.00000,2517.26406,0.00000,0.25302,0.25302
03/11/2019,1970122.68542,0.00000,2517.26406,0.00000,0.65307,0.65307
03/08/2019,1957323.48169,-1460.94224,2517.26406,0.00000,-0.06637,-0.06637
03/07/2019,1960086.49695,0.00000,2517.26406,0.00000,-0.01989,-0.01989
03/06/2019,1961301.01105,0.00000,1693.18860,0.00000,-0.77779,-0.77779
03/05/2019,1977240.59231,0.00000,1141.33796,0.00000,0.06112,0.06112
03/04/2019,1976032.19966,0.00000,1141.33796,0.00000,-0.35744,-0.35744
03/01/2019,1983124.82919,0.00000,1141.33796,0.00000,0.84811,0.84811
