Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_SRS
Folio Number:  9A1549900T0C
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1767767.82581,0.00000,0.00000,0.00000,-0.60956,-0.60956
07/01/2020,1778609.47137,0.00000,0.00000,0.00000,0.44677,0.44677
06/30/2020,1770698.43732,0.00000,0.00000,0.00000,0.08177,0.08177
06/29/2020,1769251.76110,0.00000,0.00000,0.00000,1.54776,1.54776
06/26/2020,1742285.34728,0.00000,0.00000,0.00000,-1.11376,-1.11376
06/25/2020,1761908.72760,0.00000,0.00000,0.00000,-0.32606,-0.32606
06/24/2020,1767672.40564,0.00000,0.00000,0.00000,-1.43821,-1.43821
06/23/2020,1793466.27022,0.00000,0.00000,0.00000,0.56431,0.56431
06/22/2020,1783402.27104,0.00000,0.00000,0.00000,0.61646,0.61646
06/19/2020,1772475.67014,0.00000,0.00000,0.00000,-1.36880,-1.36880
06/18/2020,1797074.00066,0.00000,0.00000,0.00000,0.18087,0.18087
06/17/2020,1793829.57199,0.00000,0.00000,0.00000,-0.99330,-0.99330
06/16/2020,1811826.50411,0.00000,0.00000,0.00000,0.42602,0.42602
06/15/2020,1804140.45634,0.00000,0.00000,0.00000,1.20699,1.20699
06/12/2020,1782624.31528,0.00000,0.00000,0.00000,1.01948,1.01948
06/11/2020,1764634.14338,0.00000,0.00000,0.00000,-3.08561,-3.08561
06/10/2020,1820817.51093,0.00000,0.00000,0.00000,-1.54161,-1.54161
06/09/2020,1849326.89501,0.00000,0.00000,0.00000,-1.49250,-1.49250
06/08/2020,1877346.30783,0.00000,0.00000,0.00000,1.60319,1.60319
06/05/2020,1847723.80054,0.00000,0.00000,0.00000,2.15501,2.15501
06/04/2020,1808745.13768,0.00000,0.00000,0.00000,0.32899,0.32899
06/03/2020,1802813.97483,0.00000,0.00000,0.00000,1.11044,1.11044
06/02/2020,1783014.63054,0.00000,0.00000,0.00000,-0.36374,-0.36374
06/01/2020,1789523.81859,0.00000,0.00000,0.00000,1.48579,1.48579
