Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_INDS
Folio Number:  9A1549900T0D
Download Date:  05/07/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,2118992.67208,0.00000,0.00000,0.00000,0.91235,0.91235
05/02/2019,2099834.80969,0.00000,0.00000,0.00000,-0.62453,-0.62453
05/01/2019,2113031.32876,-0.00013,0.00000,0.00000,-0.61842,-0.61842
04/30/2019,2125434.27602,-0.00039,745.82663,0.00000,-0.09650,-0.09650
04/29/2019,2127445.86014,0.00000,788.04388,0.00000,0.01950,0.01950
04/26/2019,2127030.85701,-0.00001,788.04388,0.00000,0.74508,0.74508
04/25/2019,2110931.89455,0.00000,1150.21218,0.00000,-0.57448,-0.57448
04/24/2019,2123135.38660,0.00000,1150.21218,0.00000,-0.36985,-0.36985
04/23/2019,2131021.16258,0.00000,1150.21218,0.00000,0.43434,0.43434
04/22/2019,2121800.33051,0.00000,1150.21218,0.00000,-0.34621,-0.34621
04/18/2019,2129175.68619,0.00000,1150.21218,0.00000,0.12556,0.12556
04/17/2019,2126504.14658,0.00000,1150.21218,0.00000,0.97241,0.97241
04/16/2019,2106013.95720,0.00000,1150.21218,0.00000,0.39449,0.39449
04/15/2019,2097734.13255,0.00036,1150.21218,0.00000,-0.67669,-0.67669
04/12/2019,2111871.40273,-0.00002,1312.60911,0.00000,1.44747,1.44747
04/11/2019,2081326.38251,0.00000,1706.29745,0.00000,0.07569,0.07569
04/10/2019,2079750.83393,0.00000,1706.29745,0.00000,0.56662,0.56662
04/09/2019,2068023.37579,0.00000,1706.29745,0.00000,-0.21430,-0.21430
04/08/2019,2073214.13872,0.00000,960.47082,0.00000,0.43157,0.43157
04/05/2019,2064300.99639,0.00000,960.47082,0.00000,0.35044,0.35044
04/04/2019,2057088.79215,0.00000,960.47082,0.00000,0.59497,0.59497
04/03/2019,2045278.69778,0.00000,598.30252,0.00000,1.50573,1.50573
04/02/2019,2014930.24538,-0.00001,598.30252,0.00000,-1.67947,-1.67947
