Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_INDS
Folio Number:  9A1549900T0D
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1736360.82858,0.00000,0.00000,0.00000,0.39284,0.39284
07/01/2020,1729566.37136,-0.00011,0.00000,0.00000,-0.51793,-0.51793
06/30/2020,1738039.67193,0.00000,531.22053,0.00000,1.17610,1.17610
06/29/2020,1717830.07523,0.00000,531.22053,0.00000,1.69261,1.69261
06/26/2020,1689229.08444,0.00000,531.22053,0.00000,-1.79850,-1.79850
06/25/2020,1720176.09076,0.00000,531.22053,0.00000,0.44495,0.44495
06/24/2020,1712553.65647,0.00000,531.22053,0.00000,-2.50475,-2.50475
06/23/2020,1756564.57326,0.00000,531.22053,0.00000,0.57939,0.57939
06/22/2020,1746442.70769,0.00000,531.22053,0.00000,0.84268,0.84268
06/19/2020,1731844.27302,0.00000,531.22053,0.00000,-1.36519,-1.36519
06/18/2020,1755821.82468,0.00000,531.22053,0.00000,0.70363,0.70363
06/17/2020,1743549.86350,0.00000,531.22053,0.00000,-1.09756,-1.09756
06/16/2020,1762904.65166,0.00000,531.22053,0.00000,1.36206,1.36206
06/15/2020,1739208.41604,-0.00030,531.22053,0.00000,0.60622,0.60622
06/12/2020,1727849.29091,-0.00030,1407.25635,0.00000,1.37729,1.37729
06/11/2020,1703599.02025,0.00029,2164.24500,0.00000,-5.43149,-5.43149
06/10/2020,1800693.22365,0.00000,3039.61687,0.00000,-0.97532,-0.97532
06/09/2020,1818458.64003,0.00000,3039.61687,0.00000,-1.82054,-1.82054
06/08/2020,1852234.63890,0.00000,3039.61687,0.00000,1.31280,1.31280
06/05/2020,1828194.27341,0.00000,3039.61687,0.00000,2.47812,2.47812
06/04/2020,1783911.50119,0.00000,3039.61687,0.00000,0.32624,0.32624
06/03/2020,1778100.75534,-0.00025,3039.61687,0.00000,1.94745,1.94745
06/02/2020,1743083.34191,0.00000,4032.77378,0.00000,1.02159,1.02159
06/01/2020,1725415.41023,-0.00037,4032.77378,0.00000,0.57485,0.57485
