Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS5
Folio Number:  9A1549900T0E
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,3739444.43849,0.00000,0.00000,0.00000,0.09696,0.09696
06/07/2019,3735822.34042,0.00000,0.00000,0.00000,0.22005,0.22005
06/06/2019,3727619.87490,0.00000,0.00000,0.00000,0.15429,0.15429
06/05/2019,3721877.52706,0.00000,0.00000,0.00000,0.18204,0.18204
06/04/2019,3715114.44169,0.00000,0.00000,0.00000,0.54412,0.54412
06/03/2019,3695009.04671,0.00012,0.00000,0.00000,-0.04549,-0.04549
05/31/2019,3696690.65290,0.00000,0.00000,0.00000,-0.28300,-0.28300
05/30/2019,3707181.96741,0.00000,0.00000,0.00000,0.06304,0.06304
05/29/2019,3704846.40279,0.00000,0.00000,0.00000,-0.14184,-0.14184
05/28/2019,3710108.72442,0.00000,0.00000,0.00000,-0.13835,-0.13835
05/24/2019,3715248.65573,-0.00015,0.00000,0.00000,0.01134,0.01134
05/23/2019,3714160.71944,0.00000,666.56853,0.00000,-0.24032,-0.24032
05/22/2019,3723109.62278,0.00000,666.56853,0.00000,-0.06652,-0.06652
05/21/2019,3725588.22850,0.00000,666.56853,0.00000,0.17321,0.17321
05/20/2019,3719145.20553,0.00000,666.56853,0.00000,-0.28363,-0.28363
05/17/2019,3729725.55567,0.00000,666.56853,0.00000,-0.13849,-0.13849
05/16/2019,3734898.88772,0.00012,666.56853,0.00000,0.17428,0.17428
05/15/2019,3728135.15208,0.00000,931.35936,0.00000,0.11106,0.11106
05/14/2019,3723998.15661,0.00000,931.35936,0.00000,0.19189,0.19189
05/13/2019,3716864.07824,0.00000,931.35936,0.00000,-0.57720,-0.57720
05/10/2019,3738447.86290,0.00000,931.35936,0.00000,0.03473,0.03473
05/09/2019,3737414.44382,0.00000,666.56853,0.00000,-0.14789,-0.14789
05/08/2019,3742950.93941,0.00000,666.56853,0.00000,-0.04881,-0.04881
05/07/2019,3745445.57966,0.00000,0.00000,0.00000,-0.24251,-0.24251
05/06/2019,3754550.62031,0.00000,0.00000,0.00000,-0.21194,-0.21194
05/03/2019,3762524.75095,0.00000,0.00000,0.00000,0.21557,0.21557
05/02/2019,3754431.43037,0.00000,0.00000,0.00000,-0.06139,-0.06139
05/01/2019,3756737.83617,0.00000,0.00000,0.00000,-0.08898,-0.08898
04/30/2019,3760083.48696,0.00028,0.00000,0.00000,-0.03830,-0.03830
04/29/2019,3761077.41810,0.00000,446.68082,0.00000,-0.06949,-0.06949
04/26/2019,3763693.08023,0.00000,446.68082,0.00000,-0.07186,-0.07186
04/25/2019,3766400.00630,0.00000,446.68082,0.00000,-0.02768,-0.02768
04/24/2019,3767442.84183,0.00000,446.68082,0.00000,-0.02348,-0.02348
04/23/2019,3768327.77003,0.00000,446.68082,0.00000,0.14644,0.14644
04/22/2019,3762816.66526,0.00000,446.68082,0.00000,-0.01569,-0.01569
04/18/2019,3763407.16158,0.00000,446.68082,0.00000,0.03943,0.03943
04/17/2019,3761923.68850,0.00000,446.68082,0.00000,0.16756,0.16756
04/16/2019,3755630.00146,0.00000,446.68082,0.00000,0.08133,0.08133
04/15/2019,3752577.77054,0.00000,446.68082,0.00000,-0.02865,-0.02865
04/12/2019,3753653.34291,0.00000,446.68082,0.00000,0.21733,0.21733
04/11/2019,3745512.20477,0.00000,446.68082,0.00000,0.02806,0.02806
04/10/2019,3744461.37934,0.00000,446.68082,0.00000,0.09824,0.09824
04/09/2019,3740785.87622,0.00000,446.68082,0.00000,-0.09142,-0.09142
04/08/2019,3744209.39997,0.00000,446.68082,0.00000,0.06117,0.06117
04/05/2019,3741920.16189,0.00000,446.68082,0.00000,0.06720,0.06720
04/04/2019,3739406.99899,0.00000,446.68082,0.00000,0.08187,0.08187
04/03/2019,3736794.23726,0.00000,0.00000,0.00000,0.06262,0.06262
04/02/2019,3734455.72685,0.00000,0.00000,0.00000,0.01625,0.01625
04/01/2019,3733848.97781,-0.00011,0.00000,0.00000,0.22593,0.22593
03/29/2019,3724249.80322,0.00000,1182.30704,0.00000,0.08830,0.08830
03/28/2019,3720963.21680,0.00000,1182.30704,0.00000,0.13260,0.13260
03/27/2019,3716034.08901,0.00000,1182.30704,0.00000,-0.05680,-0.05680
03/26/2019,3718146.49893,0.00000,1182.30704,0.00000,0.16349,0.16349
03/25/2019,3712075.72344,0.00000,1182.30704,0.00000,-0.01376,-0.01376
03/22/2019,3712586.57129,0.00000,1182.30704,0.00000,-0.48479,-0.48479
03/21/2019,3730678.23415,0.00000,1182.30704,0.00000,0.14101,0.14101
03/20/2019,3725423.16352,0.00000,1182.30704,0.00000,-0.06484,-0.06484
03/19/2019,3727841.15476,0.00000,1182.30704,0.00000,0.01524,0.01524
03/18/2019,3727273.03481,0.00000,1182.30704,0.00000,0.14376,0.14376
03/15/2019,3721920.87394,0.00000,1182.30704,0.00000,0.09866,0.09866
03/14/2019,3718251.45242,0.00000,1182.30704,0.00000,0.05159,0.05159
03/13/2019,3717264.45069,0.00000,251.42023,0.00000,0.12021,0.12021
03/12/2019,3712800.93926,0.00000,251.42023,0.00000,0.02783,0.02783
03/11/2019,3711767.77501,0.00000,251.42023,0.00000,0.27067,0.27067
03/08/2019,3701747.51869,0.00000,251.42023,0.00000,-0.09357,-0.09357
