Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDS5
Folio Number:  9A1549900T0E
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3845463.87676,0.00000,0.00000,0.00000,0.03448,0.03448
07/01/2020,3844138.34595,0.00027,0.00000,0.00000,0.09496,0.09496
06/30/2020,3839207.71327,0.00000,1283.64385,0.00000,0.32179,0.32179
06/29/2020,3826888.87824,0.00000,1283.64385,0.00000,0.31063,0.31063
06/26/2020,3815034.26519,0.00000,1283.64385,0.00000,-0.79833,-0.79833
06/25/2020,3845746.21151,0.00000,1283.64385,0.00000,0.16889,0.16889
06/24/2020,3839259.84184,0.00000,1283.64385,0.00000,-0.41208,-0.41208
06/23/2020,3855151.35905,0.00000,1283.64385,0.00000,0.24935,0.24935
06/22/2020,3845559.44261,0.00000,1283.64385,0.00000,0.24226,0.24226
06/19/2020,3836262.66185,0.00000,1283.64385,0.00000,-0.17955,-0.17955
06/18/2020,3843165.51059,0.00000,1283.64385,0.00000,-0.06468,-0.06468
06/17/2020,3845653.57680,0.00000,1283.64385,0.00000,-0.04068,-0.04068
06/16/2020,3847219.17398,0.00000,1283.64385,0.00000,0.29261,0.29261
06/15/2020,3835990.74008,0.00000,1283.64385,0.00000,0.25229,0.25229
06/12/2020,3826334.08310,0.00000,1283.64385,0.00000,0.35820,0.35820
06/11/2020,3813672.52073,0.00000,283.64640,0.00000,-1.31817,-1.31817
06/10/2020,3864618.54494,0.00000,283.64640,0.00000,-0.17934,-0.17934
06/09/2020,3871562.26040,0.00000,283.64640,0.00000,-0.03134,-0.03134
06/08/2020,3872776.01016,0.00000,283.64640,0.00000,0.25007,0.25007
06/05/2020,3863114.85421,0.00000,283.64640,0.00000,0.58499,0.58499
06/04/2020,3840645.89830,0.00000,283.64640,0.00000,-0.03373,-0.03373
06/03/2020,3841942.00341,0.00000,283.64640,0.00000,0.40553,0.40553
06/02/2020,3826423.67168,0.00000,283.64640,0.00000,0.05865,0.05865
06/01/2020,3824180.59755,-0.00004,283.64640,0.00000,0.16378,0.16378
