Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSTC
Folio Number:  9A1549900T0F
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,3610380.80574,-0.00002,0.00000,0.00000,0.14320,0.14320
06/27/2019,3605199.22733,-0.00008,18.78900,0.00000,0.06694,0.06694
06/26/2019,3602020.54277,0.00000,785.58934,0.00000,0.39960,0.39960
06/25/2019,3587680.99517,0.00000,785.58934,0.00000,-0.73096,-0.73096
06/24/2019,3614104.24939,0.00000,785.58934,0.00000,0.00989,0.00989
06/21/2019,3613746.85376,0.00000,785.58934,0.00000,-0.35041,-0.35041
06/20/2019,3626457.14653,0.00000,785.58934,0.00000,0.52085,0.52085
06/19/2019,3607662.61379,0.00000,785.58934,0.00000,0.34774,0.34774
06/18/2019,3595158.23479,0.00000,785.58934,0.00000,0.58295,0.58295
06/17/2019,3574317.29229,0.00000,785.58934,0.00000,0.30812,0.30812
06/14/2019,3563335.36378,0.00000,785.58934,0.00000,-0.23655,-0.23655
06/13/2019,3571805.15569,0.00040,766.80034,0.00000,0.86219,0.86219
06/12/2019,3540473.33460,0.00000,1559.62040,0.00000,-0.23529,-0.23529
06/11/2019,3548826.86570,0.00000,1559.62040,0.00000,-0.12470,-0.12470
06/10/2019,3553259.88679,0.00000,1559.62040,0.00000,0.17435,0.17435
06/07/2019,3547072.68013,0.00000,1559.62040,0.00000,1.07456,1.07456
06/06/2019,3509345.91749,0.00036,1559.62040,0.00000,0.56410,0.56410
06/05/2019,3489650.29430,0.00000,1561.33234,0.00000,0.54175,0.54175
06/04/2019,3471605.23109,0.00000,794.53200,0.00000,1.56492,1.56492
06/03/2019,3418102.22253,-0.00009,794.53200,0.00000,-0.65171,-0.65171
05/31/2019,3439760.93277,0.00000,1563.20475,0.00000,-0.87972,-0.87972
05/30/2019,3470303.81235,0.00000,1563.20475,0.00000,0.36106,0.36106
05/29/2019,3457813.31757,0.00000,1563.20475,0.00000,-0.47330,-0.47330
05/28/2019,3474264.55128,0.00000,1563.20475,0.00000,-0.25566,-0.25566
