Client Name:  Marketocracy Capital Management, LLC
Folio Name:  cdstones_CDSTC
Folio Number:  9A1549900T0F
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4176313.37674,0.00000,0.00000,0.00000,0.11609,0.11609
07/01/2020,4171470.90908,0.00000,0.00000,0.00000,0.21071,0.21071
06/30/2020,4162699.72940,0.00000,0.00000,0.00000,0.77730,0.77730
06/29/2020,4130592.48728,0.00000,0.00000,0.00000,1.12743,1.12743
06/26/2020,4084542.32812,0.00000,0.00000,0.00000,-1.63407,-1.63407
06/25/2020,4152395.26459,-0.00042,0.00000,0.00000,0.40936,0.40936
06/24/2020,4134636.01395,0.00000,830.12709,0.00000,-1.38431,-1.38431
06/23/2020,4192687.27065,0.00000,830.12709,0.00000,0.58596,0.58596
06/22/2020,4168258.06255,0.00000,830.12709,0.00000,0.89414,0.89414
06/19/2020,4131311.03541,0.00000,830.12709,0.00000,-0.65813,-0.65813
06/18/2020,4158685.87248,0.00000,830.12709,0.00000,0.19284,0.19284
06/17/2020,4150680.01480,0.00000,830.12709,0.00000,-0.02866,-0.02866
06/16/2020,4151870.29040,0.00000,830.12709,0.00000,1.22463,1.22463
06/15/2020,4101630.33832,0.00000,830.12709,0.00000,0.74218,0.74218
06/12/2020,4071406.90205,0.00000,830.12709,0.00000,0.82991,0.82991
06/11/2020,4037889.05230,0.00083,830.12709,0.00000,-3.91870,-3.91870
06/10/2020,4201717.84607,0.00000,1721.33137,0.00000,0.73967,0.73967
06/09/2020,4170854.60302,0.00000,1721.33137,0.00000,-0.07008,-0.07008
06/08/2020,4173780.88020,0.00000,1721.33137,0.00000,0.84584,0.84584
06/05/2020,4138758.98606,0.00000,1721.33137,0.00000,1.38783,1.38783
06/04/2020,4082082.91418,0.00000,1721.33137,0.00000,-0.13829,-0.13829
06/03/2020,4087738.31308,0.00000,1721.33137,0.00000,0.56570,0.56570
06/02/2020,4065564.59795,0.00000,891.20428,0.00000,0.51093,0.51093
06/01/2020,4044893.45856,-0.00014,891.20428,0.00000,0.24012,0.24012
