Client Name:  Marketocracy Capital Management, LLC
Folio Name:  beezie_BBF
Folio Number:  9A1550000901
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,978748.74184,0.00078,0.00000,0.00000,-0.05073,-0.05073
04/12/2019,979245.51166,0.00007,0.00000,0.00000,0.26089,0.26089
04/11/2019,976695.28808,0.00108,2.11143,0.00000,0.14003,0.14003
04/10/2019,975325.41583,-0.00025,6.19234,0.00000,0.11784,0.11784
04/09/2019,974139.63846,0.00000,44.01488,0.00000,-0.47031,-0.47031
04/08/2019,978742.94214,0.00000,44.01488,0.00000,0.01174,0.01174
04/05/2019,978628.00222,0.00000,44.01488,0.00000,0.13767,0.13767
04/04/2019,977282.54575,0.00000,44.01488,0.00000,0.15728,0.15728
04/03/2019,975747.78577,0.00000,44.01488,0.00000,0.01354,0.01354
04/02/2019,975615.63309,0.00000,44.01488,0.00000,-0.05629,-0.05629
04/01/2019,976165.11694,0.00000,44.01488,0.00000,0.41156,0.41156
03/29/2019,972163.93968,-0.00022,44.01488,0.00000,0.28240,0.28240
03/28/2019,969311.93789,-0.00031,158.19232,0.00000,0.18858,0.18858
03/27/2019,967409.15146,0.00000,236.18568,0.00000,-0.20774,-0.20774
03/26/2019,969423.48087,0.00000,236.18568,0.00000,0.43035,0.43035
03/25/2019,965325.92736,0.00000,178.69561,0.00000,-0.02151,-0.02151
03/22/2019,965533.67886,0.00000,178.69561,0.00000,-0.85695,-0.85695
03/21/2019,973880.92370,0.00027,178.69561,0.00000,0.53435,0.53435
03/20/2019,968664.06734,0.00000,218.37484,0.00000,-0.24982,-0.24982
03/19/2019,971090.62867,0.00000,218.37484,0.00000,-0.00193,-0.00193
03/18/2019,971109.41016,0.00000,218.37484,0.00000,0.18300,0.18300
03/15/2019,969372.97250,0.00038,180.55230,0.00000,0.03082,0.03082
