Client Name:  Marketocracy Capital Management, LLC
Folio Name:  beezie_BBF
Folio Number:  9A1550000901
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1064288.49317,0.00000,0.00000,0.00000,0.47372,0.47372
07/01/2020,1059270.50000,0.00000,0.00000,0.00000,-0.05980,-0.05980
06/30/2020,1059904.37432,0.00000,0.00000,0.00000,0.81937,0.81937
06/29/2020,1051290.40705,-0.00036,0.00000,0.00000,0.72744,0.72744
06/26/2020,1043659.20553,-0.00018,38.94781,0.00000,-1.33209,-1.33209
06/25/2020,1057708.39114,0.00000,80.45962,0.00000,0.74817,0.74817
06/24/2020,1049853.06770,0.00000,80.45962,0.00000,-1.42132,-1.42132
06/23/2020,1064991.13911,0.00000,80.45962,0.00000,0.12858,0.12858
06/22/2020,1063623.37825,0.00000,80.45962,0.00000,0.36657,0.36657
06/19/2020,1059738.35752,0.00000,80.45962,0.00000,-0.07937,-0.07937
06/18/2020,1060580.15816,0.00000,80.45962,0.00000,-0.26054,-0.26054
06/17/2020,1063350.81414,0.00000,80.45962,0.00000,0.03647,0.03647
06/16/2020,1062963.15250,0.00000,80.45962,0.00000,0.37070,0.37070
06/15/2020,1059036.97332,0.00042,80.45962,0.00000,0.96082,0.96082
06/12/2020,1048860.08217,0.00020,177.98813,0.00000,0.55006,0.55006
06/11/2020,1043076.89557,0.00000,222.41789,0.00000,-3.09139,-3.09139
06/10/2020,1076399.66231,-0.00018,180.90608,0.00000,-0.47738,-0.47738
06/09/2020,1081454.44235,0.00000,290.18426,0.00000,-0.09297,-0.09297
06/08/2020,1082461.11200,0.00000,290.18426,0.00000,0.35939,0.35939
06/05/2020,1078583.78960,0.00000,290.18426,0.00000,1.55493,1.55493
06/04/2020,1062064.92570,0.00000,290.18426,0.00000,-0.52572,-0.52572
06/03/2020,1067679.40331,0.00000,290.18426,0.00000,0.53837,0.53837
06/02/2020,1061960.53603,0.00098,290.18426,0.00000,0.25136,0.25136
06/01/2020,1059280.71236,-0.00051,306.62843,0.00000,0.33623,0.33623
