Client Name:  Marketocracy Capital Management, LLC
Folio Name:  raleigh_k_P6OF
Folio Number:  9A1550100101
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,3240038.94070,0.00000,0.00000,0.00000,-1.04206,-1.04206
09/30/2019,3274157.59865,0.00000,0.00000,0.00000,0.14039,0.14039
09/27/2019,3269567.34100,0.00000,0.00000,0.00000,-0.52335,-0.52335
09/26/2019,3286768.71109,-0.00024,0.00000,0.00000,0.03005,0.03005
09/25/2019,3285739.04704,0.00000,42.22826,0.00000,0.15706,0.15706
09/24/2019,3280586.62078,0.00000,42.22826,0.00000,-0.10906,-0.10906
09/23/2019,3284168.29535,0.00000,42.22826,0.00000,0.27595,0.27595
09/20/2019,3275130.37212,0.00000,42.22826,0.00000,-0.57513,-0.57513
09/19/2019,3294075.81968,0.00000,42.22826,0.00000,0.06142,0.06142
09/18/2019,3292053.70674,0.00000,42.22826,0.00000,0.26592,0.26592
09/17/2019,3283322.69829,0.00000,42.22826,0.00000,-0.38537,-0.38537
09/16/2019,3296024.77325,0.00000,42.22826,0.00000,0.08815,0.08815
09/13/2019,3293121.80191,0.00000,42.22826,0.00000,0.16146,0.16146
09/12/2019,3287813.24015,0.00008,42.22826,0.00000,0.43462,0.43462
09/11/2019,3272182.70664,0.00000,1444.89414,0.00000,0.47122,0.47122
09/10/2019,3256829.18110,-0.00016,1444.89414,0.00000,0.36124,0.36124
09/09/2019,3242028.73552,0.00000,4517.41113,0.00000,-0.09997,-0.09997
09/06/2019,3245277.51664,0.00000,4517.41113,0.00000,-0.35631,-0.35631
09/05/2019,3256898.29755,0.00000,4517.41113,0.00000,0.59437,0.59437
09/04/2019,3237628.03188,0.00000,4517.41113,0.00000,0.79512,0.79512
09/03/2019,3212052.57312,0.00000,4517.41113,0.00000,-0.30637,-0.30637
08/30/2019,3221937.41985,-0.00007,4517.41113,0.00000,0.16972,0.16972
08/29/2019,3216112.46562,0.00000,4875.65669,0.00000,0.86835,0.86835
08/28/2019,3188425.99827,0.00000,4833.42843,0.00000,0.68616,0.68616
08/27/2019,3166664.34276,0.00000,4833.42843,0.00000,-0.59580,-0.59580
08/26/2019,3185673.49070,0.00000,4833.42843,0.00000,0.96562,0.96562
08/23/2019,3155159.96799,0.00000,4833.42843,0.00000,-1.62440,-1.62440
08/22/2019,3207338.41069,0.00000,4833.42843,0.00000,-0.06182,-0.06182
08/21/2019,3209325.54111,0.00000,4833.42843,0.00000,0.34957,0.34957
08/20/2019,3199531.75142,0.00000,3430.76255,0.00000,-0.38277,-0.38277
08/19/2019,3211838.79735,3385.01577,3430.76255,0.00000,0.49505,0.49505
08/16/2019,3192623.48096,0.00000,3430.76255,0.00000,1.11226,1.11226
08/15/2019,3157466.06652,0.00000,3430.76255,0.00000,0.27978,0.27978
08/14/2019,3150193.53955,0.00000,1884.54727,0.00000,-1.99404,-1.99404
08/13/2019,3214325.96249,0.00000,1884.54727,0.00000,0.56500,0.56500
08/12/2019,3196256.51083,0.00000,1884.54727,0.00000,-0.83393,-0.83393
08/09/2019,3223151.07613,0.00000,1884.54727,0.00000,-0.71683,-0.71683
08/08/2019,3246435.90237,-3385.01566,1884.54727,0.00000,1.00030,1.00030
08/07/2019,3217633.15617,0.00000,1884.54727,0.00000,-0.21303,-0.21303
08/06/2019,3224506.25207,0.00000,1884.54727,0.00000,0.22852,0.22852
08/05/2019,3217150.18161,0.00000,1884.54727,0.00000,-1.75435,-1.75435
08/02/2019,3274631.84095,0.00000,1884.54727,0.00000,-0.50516,-0.50516
08/01/2019,3293152.16504,-0.00021,0.00000,0.00000,-0.72319,-0.72319
07/31/2019,3316113.18205,0.00000,1028.09502,0.00000,-0.17323,-0.17323
07/30/2019,3321869.54025,0.00000,1028.09502,0.00000,0.06251,0.06251
07/29/2019,3319793.76303,0.00000,1028.09502,0.00000,0.09875,0.09875
07/26/2019,3316517.60992,0.00000,1028.09502,0.00000,0.38626,0.38626
07/25/2019,3303752.60602,0.00000,1028.09502,0.00000,0.43660,0.43660
07/24/2019,3289386.65924,0.00000,1028.09502,0.00000,-0.92681,-0.92681
07/23/2019,3320167.98637,0.00000,1028.09502,0.00000,0.31013,0.31013
07/22/2019,3309899.91029,0.00000,1028.09502,0.00000,-0.10247,-0.10247
07/19/2019,3313296.05691,0.00000,1028.09502,0.00000,-0.48194,-0.48194
07/18/2019,3329346.47856,0.00000,1028.09502,0.00000,0.37908,0.37908
07/17/2019,3316769.20963,0.00000,1028.09502,0.00000,-1.49319,-1.49319
07/16/2019,3367061.11258,0.00000,1028.09502,0.00000,0.09800,0.09800
07/15/2019,3363763.77770,0.00000,1028.09502,0.00000,-0.08576,-0.08576
07/12/2019,3366651.96613,-0.00066,1028.09502,0.00000,0.56872,0.56872
07/11/2019,3345918.98954,0.00000,2716.78988,0.00000,-0.13710,-0.13710
07/10/2019,3350516.24760,0.00000,2716.78988,0.00000,-0.04972,-0.04972
07/09/2019,3352184.37273,0.00000,2716.78988,0.00000,-0.10722,-0.10722
07/08/2019,3355785.21483,-0.00002,2716.78988,0.00000,-0.36285,-0.36285
07/05/2019,3366953.60951,0.00000,3779.12298,0.00000,-0.14646,-0.14646
07/03/2019,3371897.65082,0.00000,3779.12298,0.00000,0.62059,0.62059
07/02/2019,3352105.97067,-0.00019,2751.02796,0.00000,0.46423,0.46423
07/01/2019,3334339.60290,0.00000,5015.11723,0.00000,0.05491,0.05491
06/28/2019,3332507.10030,0.00000,5015.11723,0.00000,0.87822,0.87822
