Client Name:  Marketocracy Capital Management, LLC
Folio Name:  raleigh_k_P6OF
Folio Number:  9A1550100101
Download Date:  01/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/15/2019,3097003.81668,0.00000,0.00000,0.00000,0.56804,0.56804
01/14/2019,3079510.82803,-0.00022,0.00000,0.00000,-0.13966,-0.13966
01/11/2019,3083817.69566,0.00000,0.00000,0.00000,0.72970,0.72970
01/10/2019,3061477.95480,0.00000,0.00000,0.00000,0.49321,0.49321
01/09/2019,3046452.57197,0.00000,0.00000,0.00000,0.25194,0.25194
01/08/2019,3038796.76289,0.00000,0.00000,0.00000,1.40212,1.40212
01/07/2019,2996778.20008,0.00000,0.00000,0.00000,0.98208,0.98208
01/04/2019,2967633.73471,-0.00009,0.00000,0.00000,2.15832,2.15832
01/03/2019,2902339.30611,0.00000,2596.49896,0.00000,-1.42173,-1.42173
01/02/2019,2944235.39618,0.00000,2596.49896,0.00000,-0.01497,-0.01497
12/31/2018,2944676.49604,0.00000,2596.49896,0.00000,0.68759,0.68759
12/28/2018,2924549.71551,0.00000,2596.49896,0.00000,-0.00559,-0.00559
12/27/2018,2924713.46802,-0.00015,2596.49896,0.00000,0.01498,0.01498
12/26/2018,2922054.37785,0.00000,4817.09492,0.00000,2.42655,2.42655
12/24/2018,2852715.04748,0.00000,4817.09492,0.00000,-2.24715,-2.24715
12/21/2018,2918404.35493,-0.00018,4817.09492,0.00000,-1.39502,-1.39502
12/20/2018,2959718.72286,0.00000,4859.27436,0.00000,-1.15579,-1.15579
12/19/2018,2994383.57695,0.00000,4859.27436,0.00000,-0.67815,-0.67815
12/18/2018,3014861.79294,0.00000,4859.27436,0.00000,-0.03300,-0.03300
12/17/2018,3018455.04501,0.00000,2262.77540,0.00000,-1.79930,-1.79930
12/14/2018,3073802.67364,-0.00006,2262.77540,0.00000,-0.85327,-0.85327
