Client Name:  Marketocracy Capital Management, LLC
Folio Name:  raleigh_k_P125
Folio Number:  9A1550100102
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,1404100.77969,0.00001,0.00000,0.00000,-1.77374,-1.77374
09/30/2019,1429455.54080,-0.00001,0.00000,0.00000,0.10691,0.10691
09/27/2019,1427928.91891,0.00006,0.00000,0.00000,-0.80430,-0.80430
09/26/2019,1438880.88925,0.00000,626.01046,0.00000,-0.16879,-0.16879
09/25/2019,1441314.73714,0.00000,626.01046,0.00000,-0.69346,-0.69346
09/24/2019,1451383.86575,0.00000,626.01046,0.00000,0.60217,0.60217
09/23/2019,1442692.63690,0.00000,626.01046,0.00000,-0.70147,-0.70147
09/20/2019,1452888.63764,0.00000,626.01046,0.00000,-0.96849,-0.96849
09/19/2019,1467103.51933,0.00000,626.01046,0.00000,-0.91455,-0.91455
09/18/2019,1480650.60842,0.00000,626.01046,0.00000,-0.11447,-0.11447
09/17/2019,1482348.15411,0.00000,626.01046,0.00000,-0.79282,-0.79282
09/16/2019,1494199.43227,0.00000,626.01046,0.00000,0.35269,0.35269
09/13/2019,1488945.92301,0.00000,626.01046,0.00000,1.74066,1.74066
09/12/2019,1463461.18322,0.00000,626.01046,0.00000,-0.40326,-0.40326
09/11/2019,1469389.21307,0.00000,626.01046,0.00000,1.61989,1.61989
09/10/2019,1445956.12687,0.00000,626.01046,0.00000,1.37211,1.37211
09/09/2019,1427002.13617,0.00000,0.00000,0.00000,0.58929,0.58929
09/06/2019,1418642.26895,0.00000,0.00000,0.00000,0.44304,0.44304
09/05/2019,1412384.87785,0.00000,0.00000,0.00000,2.99582,2.99582
09/04/2019,1371303.06926,0.00000,0.00000,0.00000,-0.71849,-0.71849
09/03/2019,1381226.98477,-0.00010,0.00000,0.00000,-1.59640,-1.59640
08/30/2019,1402275.53068,0.00003,1359.08892,0.00000,0.16982,0.16982
08/29/2019,1399606.93954,0.00000,1648.06796,0.00000,1.98450,1.98450
08/28/2019,1372340.11570,0.00000,1648.06796,0.00000,1.27361,1.27361
08/27/2019,1355060.88373,0.00000,1648.06796,0.00000,-1.91930,-1.91930
08/26/2019,1381609.68451,0.00000,1648.06796,0.00000,0.32132,0.32132
08/23/2019,1377179.22271,0.00000,1648.06796,0.00000,-2.41030,-2.41030
08/22/2019,1411233.86137,0.00000,1648.06796,0.00000,-0.62206,-0.62206
08/21/2019,1420077.88736,0.00000,1648.06796,0.00000,0.46512,0.46512
08/20/2019,1413495.75905,0.00000,1648.06796,0.00000,-0.30068,-0.30068
08/19/2019,1417763.59082,0.00000,1648.06796,0.00000,0.32229,0.32229
08/16/2019,1413492.64394,0.00000,1359.08892,0.00000,1.59908,1.59908
08/15/2019,1391224.10187,0.00000,1359.08892,0.00000,-2.75725,-2.75725
08/14/2019,1430709.85133,0.00000,1359.08892,0.00000,-1.82324,-1.82324
08/13/2019,1457304.84303,0.00000,1359.08892,0.00000,1.97801,1.97801
08/12/2019,1429011.90900,0.00000,1359.08892,0.00000,0.02038,0.02038
08/09/2019,1428720.51281,0.00000,1359.08892,0.00000,-1.46040,-1.46040
08/08/2019,1449914.86967,0.00000,1359.08892,0.00000,1.68250,1.68250
08/07/2019,1425901.27149,0.00000,1359.08892,0.00000,0.01780,0.01780
08/06/2019,1425647.21565,0.00000,1359.08892,0.00000,0.47941,0.47941
08/05/2019,1418838.66875,0.00000,1359.08892,0.00000,-1.97695,-1.97695
08/02/2019,1447481.45340,0.00000,1359.08892,0.00000,-0.21842,-0.21842
08/01/2019,1450652.95249,0.00000,1359.08892,0.00000,-2.00001,-2.00001
07/31/2019,1480285.92900,-0.00010,1359.08892,0.00000,-0.77248,-0.77248
07/30/2019,1491541.76299,0.00000,1637.76386,0.00000,2.37465,2.37465
07/29/2019,1456906.47749,0.00000,1637.76386,0.00000,0.21729,0.21729
07/26/2019,1453744.11753,0.00000,1637.76386,0.00000,0.00601,0.00601
07/25/2019,1453656.60529,0.00000,1637.76386,0.00000,-0.67979,-0.67979
07/24/2019,1463617.31448,0.00000,1637.76386,0.00000,2.41634,2.41634
07/23/2019,1429047.16257,0.00000,1637.76386,0.00000,-1.38135,-1.38135
07/22/2019,1449086.80403,0.00000,1637.76386,0.00000,-0.46527,-0.46527
07/19/2019,1457505.95841,0.00000,0.00000,0.00000,-0.60458,-0.60458
07/18/2019,1466371.27543,0.00000,0.00000,0.00000,-0.33517,-0.33517
07/17/2019,1471302.57292,0.00000,0.00000,0.00000,-1.81980,-1.81980
07/16/2019,1498573.62511,0.00000,0.00000,0.00000,0.38610,0.38610
07/15/2019,1492809.83265,0.00003,0.00000,0.00000,0.06525,0.06525
07/12/2019,1490674.91328,0.00000,1161.52415,0.00000,1.08767,1.08767
07/11/2019,1474623.22629,0.00000,1161.52415,0.00000,0.22071,0.22071
07/10/2019,1471373.18767,0.00000,1161.52415,0.00000,0.77827,0.77827
07/09/2019,1460001.41426,0.00000,1161.52415,0.00000,-0.23839,-0.23839
07/08/2019,1463493.04341,0.00000,1161.52415,0.00000,-0.77748,-0.77748
07/05/2019,1474969.72806,0.00007,1161.52415,0.00000,-0.19609,-0.19609
07/03/2019,1477248.23837,0.00000,1783.25143,0.00000,0.25767,0.25767
07/02/2019,1473447.02813,0.00000,1783.25143,0.00000,-0.67796,-0.67796
07/01/2019,1483516.80952,-0.00002,1783.25143,0.00000,0.00190,0.00190
06/28/2019,1482458.36749,-0.00002,2813.53184,0.00000,1.31815,1.31815
