Client Name:  Marketocracy Capital Management, LLC
Folio Name:  raleigh_k_P125
Folio Number:  9A1550100102
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1402275.53068,0.00003,0.00000,0.00000,0.16998,0.16998
08/29/2019,1399606.93954,0.00000,288.97904,0.00000,1.98647,1.98647
08/28/2019,1372340.11570,0.00000,288.97904,0.00000,1.27489,1.27489
08/27/2019,1355060.88373,0.00000,288.97904,0.00000,-1.92118,-1.92118
08/26/2019,1381609.68451,0.00000,288.97904,0.00000,0.32164,0.32164
08/23/2019,1377179.22271,0.00000,288.97904,0.00000,-2.41262,-2.41262
08/22/2019,1411233.86137,0.00000,288.97904,0.00000,-0.62266,-0.62266
08/21/2019,1420077.88736,0.00000,288.97904,0.00000,0.46557,0.46557
08/20/2019,1413495.75905,0.00000,288.97904,0.00000,-0.30096,-0.30096
08/19/2019,1417763.59082,0.00000,288.97904,0.00000,0.32260,0.32260
08/16/2019,1413492.64394,0.00000,0.00000,0.00000,1.60064,1.60064
08/15/2019,1391224.10187,0.00000,0.00000,0.00000,-2.75987,-2.75987
08/14/2019,1430709.85133,0.00000,0.00000,0.00000,-1.82494,-1.82494
08/13/2019,1457304.84303,0.00000,0.00000,0.00000,1.97989,1.97989
08/12/2019,1429011.90900,0.00000,0.00000,0.00000,0.02040,0.02040
08/09/2019,1428720.51281,0.00000,0.00000,0.00000,-1.46177,-1.46177
08/08/2019,1449914.86967,0.00000,0.00000,0.00000,1.68410,1.68410
08/07/2019,1425901.27149,0.00000,0.00000,0.00000,0.01782,0.01782
08/06/2019,1425647.21565,0.00000,0.00000,0.00000,0.47987,0.47987
08/05/2019,1418838.66875,0.00000,0.00000,0.00000,-1.97880,-1.97880
08/02/2019,1447481.45340,0.00000,0.00000,0.00000,-0.21863,-0.21863
08/01/2019,1450652.95249,0.00000,0.00000,0.00000,-2.00184,-2.00184
07/31/2019,1480285.92900,-0.00010,0.00000,0.00000,-0.77318,-0.77318
07/30/2019,1491541.76299,0.00000,278.67494,0.00000,2.37686,2.37686
