Client Name:  Marketocracy Capital Management, LLC
Folio Name:  raleigh_k_P3FV
Folio Number:  9A1550100103
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,694495.13452,0.00035,0.00000,0.00000,0.06550,0.06550
06/07/2019,694040.53850,0.00000,0.00000,0.00000,-0.06363,-0.06363
06/06/2019,694482.42747,0.00000,0.00000,0.00000,0.12374,0.12374
06/05/2019,693624.11439,0.00000,0.00000,0.00000,-0.09452,-0.09452
06/04/2019,694280.34967,0.00000,0.00000,0.00000,0.17993,0.17993
06/03/2019,693033.36463,0.00000,0.00000,0.00000,0.07640,0.07640
05/31/2019,692504.30739,0.00000,0.00000,0.00000,-0.19698,-0.19698
05/30/2019,693871.06875,0.00000,0.00000,0.00000,-0.08404,-0.08404
05/29/2019,694454.65849,0.00000,0.00000,0.00000,-0.03141,-0.03141
05/28/2019,694672.82736,0.00000,0.00000,0.00000,-0.04901,-0.04901
05/24/2019,695013.44362,0.00000,0.00000,0.00000,-0.00535,-0.00535
05/23/2019,695050.62769,0.00000,0.00000,0.00000,-0.30591,-0.30591
05/22/2019,697183.34965,0.00000,0.00000,0.00000,-0.09079,-0.09079
05/21/2019,697816.87646,0.00000,0.00000,0.00000,0.18081,0.18081
05/20/2019,696557.42310,0.00000,0.00000,0.00000,-0.12009,-0.12009
05/17/2019,697394.90265,0.00000,0.00000,0.00000,-0.16285,-0.16285
05/16/2019,698532.45008,0.00000,0.00000,0.00000,0.06809,0.06809
05/15/2019,698057.14373,0.00001,0.00000,0.00000,-0.02924,-0.02924
05/14/2019,698222.52646,0.00000,38.77479,0.00000,0.17859,0.17859
05/13/2019,696977.70221,0.00000,38.77479,0.00000,-0.45032,-0.45032
05/10/2019,700130.67858,0.00000,38.77479,0.00000,0.07993,0.07993
05/09/2019,699571.46807,0.00000,38.77479,0.00000,-0.12738,-0.12738
05/08/2019,700463.77876,0.00000,38.77479,0.00000,-0.13819,-0.13819
05/07/2019,701433.11032,0.00000,38.77479,0.00000,-0.15947,-0.15947
05/06/2019,702553.52954,0.00000,38.77479,0.00000,-0.08992,-0.08992
05/03/2019,703185.90168,0.00000,38.77479,0.00000,0.24252,0.24252
05/02/2019,701484.59118,0.00000,38.77479,0.00000,-0.00305,-0.00305
05/01/2019,701505.97414,0.00000,38.77479,0.00000,-0.33942,-0.33942
04/30/2019,703895.29434,0.00000,38.77479,0.00000,-0.02961,-0.02961
04/29/2019,704116.77288,0.00006,25.76996,0.00000,0.06699,0.06699
04/26/2019,703619.67374,0.00000,51.46320,0.00000,0.15040,0.15040
04/25/2019,702562.91606,0.00000,51.46320,0.00000,-0.17793,-0.17793
04/24/2019,703815.27687,0.00000,51.46320,0.00000,-0.05824,-0.05824
04/23/2019,704225.47379,0.00000,51.46320,0.00000,0.13473,0.13473
04/22/2019,703277.90846,0.00000,51.46320,0.00000,0.12288,0.12288
04/18/2019,702414.70277,0.00000,51.46320,0.00000,-0.14531,-0.14531
04/17/2019,703436.91478,0.00000,51.46320,0.00000,-0.05926,-0.05926
04/16/2019,703854.03898,0.00000,51.46320,0.00000,0.11168,0.11168
04/15/2019,703068.79769,0.00000,51.46320,0.00000,-0.06687,-0.06687
04/12/2019,703539.26420,0.00000,51.46320,0.00000,0.03875,0.03875
04/11/2019,703302.22865,0.00000,15.95009,0.00000,-0.04775,-0.04775
04/10/2019,703638.19188,0.00000,15.95009,0.00000,0.12464,0.12464
04/09/2019,702762.22088,0.00000,15.95009,0.00000,-0.11495,-0.11495
04/08/2019,703571.01627,0.00000,15.95009,0.00000,-0.01607,-0.01607
04/05/2019,703684.07559,0.00000,15.95009,0.00000,0.11021,0.11021
04/04/2019,702909.41536,0.00000,15.95009,0.00000,0.05440,0.05440
04/03/2019,702527.21477,0.00000,15.95009,0.00000,-0.02150,-0.02150
04/02/2019,702678.26742,0.00000,15.95009,0.00000,-0.09792,-0.09792
04/01/2019,703367.02261,0.00000,15.95009,0.00000,0.05420,0.05420
03/29/2019,702986.01051,0.00000,15.95009,0.00000,0.04166,0.04166
03/28/2019,702693.29607,0.00000,15.95009,0.00000,0.07935,0.07935
03/27/2019,702152.07275,0.00000,0.00000,0.00000,-0.03930,-0.03930
03/26/2019,702428.15707,0.00000,0.00000,0.00000,-0.00344,-0.00344
03/25/2019,702452.29548,0.00000,0.00000,0.00000,0.07485,0.07485
03/22/2019,701926.92649,0.00000,0.00000,0.00000,-0.55697,-0.55697
03/21/2019,705858.36135,0.00000,0.00000,0.00000,0.06519,0.06519
03/20/2019,705398.48732,0.00000,0.00000,0.00000,-0.18013,-0.18013
03/19/2019,706671.42762,0.00000,0.00000,0.00000,0.20967,0.20967
03/18/2019,705192.84417,0.00000,0.00000,0.00000,0.06231,0.06231
03/15/2019,704753.69710,0.00004,0.00000,0.00000,0.09665,0.09665
03/14/2019,703931.52727,0.00000,141.68362,0.00000,-0.15499,-0.15499
03/13/2019,705024.45390,0.00000,141.68362,0.00000,0.04222,0.04222
03/12/2019,704726.85458,0.00000,141.68362,0.00000,0.07414,0.07414
03/11/2019,704204.64041,0.00014,141.68362,0.00000,0.34537,0.34537
03/08/2019,701758.84356,0.00000,163.28312,0.00000,-0.08315,-0.08315
