Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LRF
Folio Number:  9A1550200T01
Download Date:  12/20/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/19/2018,2034728.82544,0.00000,0.00000,0.00000,-1.95678,-1.95678
12/18/2018,2075338.64461,0.00000,0.00000,0.00000,-1.03584,-1.03584
12/17/2018,2097060.90815,0.00000,0.00000,0.00000,-3.70952,-3.70952
12/14/2018,2177848.66727,0.00000,0.00000,0.00000,-0.58992,-0.58992
12/13/2018,2190772.38647,0.00000,0.00000,0.00000,-1.87116,-1.87116
12/12/2018,2232546.83283,0.00000,0.00000,0.00000,1.28760,1.28760
12/11/2018,2204165.94075,0.00000,0.00000,0.00000,-0.39372,-0.39372
12/10/2018,2212878.41822,0.00000,0.00000,0.00000,-0.39217,-0.39217
12/07/2018,2221590.92662,0.00000,0.00000,0.00000,-2.54978,-2.54978
12/06/2018,2279718.82406,0.00000,0.00000,0.00000,3.08731,3.08731
12/05/2018,2211444.72028,0.00000,0.00000,0.00000,0.00000,0.00000
12/04/2018,2211444.72028,0.00000,0.00000,0.00000,-3.06496,-3.06496
12/03/2018,2281367.83504,0.00000,0.00000,0.00000,1.67808,1.67808
11/30/2018,2243716.51647,0.00000,0.00000,0.00000,0.47509,0.47509
11/29/2018,2233107.35619,0.00000,0.00000,0.00000,-0.45215,-0.45215
11/28/2018,2243250.19843,0.00000,0.00000,0.00000,1.82102,1.82102
11/27/2018,2203130.79911,0.00000,0.00000,0.00000,-0.91731,-0.91731
11/26/2018,2223527.33707,0.00000,0.00000,0.00000,2.43259,2.43259
11/23/2018,2170722.65897,0.00000,0.00000,0.00000,0.14700,0.14700
11/21/2018,2167536.38347,0.00000,0.00000,0.00000,1.49747,1.49747
11/20/2018,2135557.03101,0.00000,0.00000,0.00000,-1.32145,-1.32145
11/19/2018,2164155.33068,0.00000,0.00000,0.00000,-3.14014,-3.14014
11/16/2018,2234316.01599,0.00000,0.00000,0.00000,-0.23600,-0.23600
