Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LRF
Folio Number:  9A1550200T01
Download Date:  12/05/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/04/2018,2211444.72028,0.00000,0.00000,0.00000,-3.06496,-3.06496
12/03/2018,2281367.83504,0.00000,0.00000,0.00000,1.67808,1.67808
11/30/2018,2243716.51647,0.00000,0.00000,0.00000,0.47509,0.47509
11/29/2018,2233107.35619,0.00000,0.00000,0.00000,-0.45215,-0.45215
11/28/2018,2243250.19843,0.00000,0.00000,0.00000,1.82102,1.82102
11/27/2018,2203130.79911,0.00000,0.00000,0.00000,-0.91731,-0.91731
11/26/2018,2223527.33707,0.00000,0.00000,0.00000,2.43259,2.43259
11/23/2018,2170722.65897,0.00000,0.00000,0.00000,0.14700,0.14700
11/21/2018,2167536.38347,0.00000,0.00000,0.00000,1.49747,1.49747
11/20/2018,2135557.03101,0.00000,0.00000,0.00000,-1.32145,-1.32145
11/19/2018,2164155.33068,0.00000,0.00000,0.00000,-3.14014,-3.14014
11/16/2018,2234316.01599,0.00000,0.00000,0.00000,-0.23600,-0.23600
11/15/2018,2239601.50786,0.00000,0.00000,0.00000,0.81952,0.81952
11/14/2018,2221396.73502,0.00000,0.00000,0.00000,-0.06753,-0.06753
11/13/2018,2222897.93236,0.00000,0.00000,0.00000,0.53818,0.53818
11/12/2018,2210998.77466,0.00000,0.00000,0.00000,-3.85005,-3.85005
11/09/2018,2299531.90612,0.00000,0.00000,0.00000,-1.43684,-1.43684
11/08/2018,2333054.24251,0.00000,0.00000,0.00000,-0.54657,-0.54657
11/07/2018,2345876.09067,0.00000,0.00000,0.00000,1.50630,1.50630
11/06/2018,2311064.62258,0.00000,0.00000,0.00000,2.89755,2.89755
11/05/2018,2245986.15208,0.00000,0.00000,0.00000,-0.52689,-0.52689
11/02/2018,2257882.80615,0.00000,0.00000,0.00000,-1.78774,-1.78774
11/01/2018,2298982.65507,2263767.99780,0.00000,0.00000,1.55558,1.55558
