Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LRFF
Folio Number:  9A1550200T02
Download Date:  12/05/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/04/2018,1644520.53137,0.00000,0.00000,0.00000,-4.33571,-4.33571
12/03/2018,1719053.73906,0.00000,0.00000,0.00000,2.78999,2.78999
11/30/2018,1672394.03380,0.00000,0.00000,0.00000,0.26784,0.26784
11/29/2018,1667926.71248,0.00000,0.00000,0.00000,-0.71435,-0.71435
11/28/2018,1679927.21567,0.00000,0.00000,0.00000,2.39177,2.39177
11/27/2018,1640685.78950,0.00000,0.00000,0.00000,0.24017,0.24017
11/26/2018,1636754.75844,0.00000,0.00000,0.00000,3.75507,3.75507
11/23/2018,1577517.90386,0.00000,0.00000,0.00000,-0.23545,-0.23545
11/21/2018,1581240.89199,0.00000,0.00000,0.00000,0.61838,0.61838
11/20/2018,1571522.91074,0.00000,0.00000,0.00000,-0.39064,-0.39064
11/19/2018,1577686.01917,0.00000,0.00000,0.00000,-3.65804,-3.65804
11/16/2018,1637589.76033,0.00000,0.00000,0.00000,-0.48905,-0.48905
11/15/2018,1645637.81300,0.00000,0.00000,0.00000,1.50966,1.50966
11/14/2018,1621163.79833,0.00000,0.00000,0.00000,0.17429,0.17429
11/13/2018,1618343.25361,0.00000,0.00000,0.00000,0.95405,0.95405
11/12/2018,1603049.30714,0.00000,0.00000,0.00000,-5.28199,-5.28199
11/09/2018,1692444.00118,0.00000,0.00000,0.00000,-1.31299,-1.31299
11/08/2018,1714961.22666,0.00000,0.00000,0.00000,-1.51648,-1.51648
11/07/2018,1741368.65071,0.00000,0.00000,0.00000,1.50473,1.50473
11/06/2018,1715554.17716,0.00000,0.00000,0.00000,0.84978,0.84978
11/05/2018,1701098.50807,0.00000,0.00000,0.00000,-0.26294,-0.26294
11/02/2018,1705583.12324,0.00000,0.00000,0.00000,-0.98379,-0.98379
11/01/2018,1722529.13890,1693096.99398,0.00000,0.00000,1.73836,1.73836
10/31/2018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
