Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LTFF
Folio Number:  9A1550200T03
Download Date:  01/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2018,1312954.21746,0.00000,0.00000,0.00000,0.50722,0.50722
12/28/2018,1306328.26417,0.00000,0.00000,0.00000,2.55105,2.55105
12/27/2018,1273832.17406,0.00000,0.00000,0.00000,0.47407,0.47407
12/26/2018,1267821.84931,0.00000,0.00000,0.00000,5.27672,5.27672
12/24/2018,1204275.65483,0.00000,0.00000,0.00000,-2.72384,-2.72384
12/21/2018,1237996.69828,-0.00007,0.00000,0.00000,-2.33084,-2.33084
12/20/2018,1264644.57033,0.00000,2896.42730,0.00000,-2.21404,-2.21404
12/19/2018,1293343.90828,0.00000,2896.42730,0.00000,-1.32512,-1.32512
12/18/2018,1310751.33585,0.00000,2896.42730,0.00000,-0.02847,-0.02847
12/17/2018,1311125.40933,0.00000,2896.42730,0.00000,-2.36465,-2.36465
12/14/2018,1342949.96336,0.00000,2896.42730,0.00000,-0.49980,-0.49980
12/13/2018,1349710.29129,0.00000,2896.42730,0.00000,-1.22052,-1.22052
12/12/2018,1366423.08105,0.00000,2896.42730,0.00000,1.16360,1.16360
12/11/2018,1350672.99056,0.00000,2896.42730,0.00000,-0.12592,-0.12592
12/10/2018,1352379.57493,0.00000,2896.42730,0.00000,-0.08247,-0.08247
12/07/2018,1356394.59303,0.00000,0.00000,0.00000,-1.97721,-1.97721
12/06/2018,1383754.28616,0.00000,0.00000,0.00000,3.04253,3.04253
12/05/2018,1342896.23563,0.00000,0.00000,0.00000,0.00000,0.00000
12/04/2018,1342896.23563,0.00000,0.00000,0.00000,-2.88010,-2.88010
12/03/2018,1382719.89468,0.00000,0.00000,0.00000,1.34351,1.34351
11/30/2018,1364389.20044,0.00000,0.00000,0.00000,0.19365,0.19365
