Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LTFF
Folio Number:  9A1550200T03
Download Date:  12/05/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/04/2018,1342896.23563,0.00000,0.00000,0.00000,-2.88010,-2.88010
12/03/2018,1382719.89468,0.00000,0.00000,0.00000,1.34351,1.34351
11/30/2018,1364389.20044,0.00000,0.00000,0.00000,0.19365,0.19365
11/29/2018,1361752.10617,0.00000,0.00000,0.00000,-1.23544,-1.23544
11/28/2018,1378786.20842,0.00000,0.00000,0.00000,0.44121,0.44121
11/27/2018,1372729.65151,0.00000,0.00000,0.00000,-0.89005,-0.89005
11/26/2018,1385057.37099,0.00000,0.00000,0.00000,1.44820,1.44820
11/23/2018,1365285.26762,0.00000,0.00000,0.00000,-0.59547,-0.59547
11/21/2018,1373463.86118,0.00000,0.00000,0.00000,1.74859,1.74859
11/20/2018,1349860.30916,0.00000,0.00000,0.00000,-2.25033,-2.25033
11/19/2018,1380935.90941,0.00000,0.00000,0.00000,-1.76747,-1.76747
11/16/2018,1405782.65811,0.00000,0.00000,0.00000,-0.17917,-0.17917
11/15/2018,1408305.90651,0.00000,0.00000,0.00000,0.54783,0.54783
11/14/2018,1400632.79804,0.00000,0.00000,0.00000,-0.29537,-0.29537
11/13/2018,1404782.11335,0.00000,0.00000,0.00000,1.32228,1.32228
11/12/2018,1386449.41582,0.00000,0.00000,0.00000,-4.05661,-4.05661
11/09/2018,1445070.24369,0.00000,0.00000,0.00000,-0.96405,-0.96405
11/08/2018,1459136.99259,0.00000,0.00000,0.00000,0.70300,0.70300
11/07/2018,1448950.84109,0.00000,0.00000,0.00000,0.21069,0.21069
11/06/2018,1445904.51693,0.00000,0.00000,0.00000,4.86586,4.86586
11/05/2018,1378813.40087,0.00000,0.00000,0.00000,-1.18221,-1.18221
11/02/2018,1395308.82554,0.00000,0.00000,0.00000,-0.20729,-0.20729
11/01/2018,1398207.16137,1376032.00165,0.00000,0.00000,1.61153,1.61153
