Client Name:  Marketocracy Capital Management, LLC
Folio Name:  hquan_HQMF
Folio Number:  9A1550300L01
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,854118.04649,0.00000,0.00000,0.00000,0.13011,0.13011
02/04/2019,853008.20543,0.00000,0.00000,0.00000,0.80861,0.80861
02/01/2019,846165.98853,0.00000,0.00000,0.00000,0.71373,0.71373
01/31/2019,840169.46548,-0.00044,0.00000,0.00000,0.35618,0.35618
01/30/2019,837014.12872,0.00000,173.42608,0.00000,2.01336,2.01336
01/29/2019,820491.17261,0.00000,173.42608,0.00000,-0.07705,-0.07705
01/28/2019,821123.97262,0.00000,173.42608,0.00000,-0.76813,-0.76813
01/25/2019,827481.45036,0.00000,173.42608,0.00000,1.84441,1.84441
01/24/2019,812492.54492,0.00000,173.42608,0.00000,1.94815,1.94815
01/23/2019,796963.16352,0.00003,173.42608,0.00000,0.09517,0.09517
01/22/2019,796057.70850,0.00000,320.94731,0.00000,-1.85317,-1.85317
01/18/2019,811094.64075,0.00000,320.94731,0.00000,1.11010,1.11010
01/17/2019,802186.02157,0.00000,320.94731,0.00000,0.53802,0.53802
01/16/2019,797891.49140,0.00000,320.94731,0.00000,0.11312,0.11312
01/15/2019,796989.57298,0.00009,320.94731,0.00000,1.26320,1.26320
01/14/2019,787030.90811,0.00000,333.63500,0.00000,-0.86444,-0.86444
01/11/2019,793896.56941,0.00001,333.63500,0.00000,0.13870,0.13870
01/10/2019,792795.13036,0.00000,335.02614,0.00000,0.18724,0.18724
01/09/2019,791312.86351,0.00000,335.02614,0.00000,1.43169,1.43169
01/08/2019,780138.92310,0.00000,335.02614,0.00000,1.02576,1.02576
01/07/2019,772214.39518,0.00000,335.02614,0.00000,0.51400,0.51400
01/04/2019,768263.79058,0.00000,335.02614,0.00000,3.63418,3.63418
