Client Name:  Marketocracy Capital Management, LLC
Folio Name:  hquan_HQMF
Folio Number:  9A1550300L01
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,852563.92311,0.00000,0.00000,0.00000,0.17843,0.17843
08/29/2019,851045.37606,0.00000,0.00000,0.00000,1.48554,1.48554
08/28/2019,838587.79271,0.00000,0.00000,0.00000,0.80173,0.80173
08/27/2019,831918.03607,0.00000,0.00000,0.00000,-0.55200,-0.55200
08/26/2019,836535.70053,-0.00017,0.00000,0.00000,0.72578,0.72578
08/23/2019,830453.35312,0.00000,54.66707,0.00000,-2.80893,-2.80893
08/22/2019,854455.96743,0.00005,54.66707,0.00000,-0.11985,-0.11985
08/21/2019,855426.08141,0.00000,109.87320,0.00000,0.56610,0.56610
08/20/2019,850610.14842,0.00000,109.87320,0.00000,-0.43462,-0.43462
08/19/2019,854323.65103,0.00000,109.87320,0.00000,1.08425,1.08425
08/16/2019,845158.82312,0.00000,109.87320,0.00000,1.76542,1.76542
08/15/2019,830495.19532,-0.00081,109.87320,0.00000,0.03119,0.03119
08/14/2019,829791.95078,0.00007,554.13576,0.00000,-2.47823,-2.47823
08/13/2019,850648.41933,2035.62562,798.49323,0.00000,1.94376,1.94376
08/12/2019,832397.65603,0.00000,798.49323,0.00000,-1.12051,-1.12051
08/09/2019,841839.52257,0.00000,798.49323,0.00000,-1.28129,-1.28129
08/08/2019,853275.21054,0.00000,299.56360,0.00000,1.82390,1.82390
08/07/2019,837985.71078,0.00000,299.56360,0.00000,-0.12899,-0.12899
08/06/2019,839068.37545,0.00000,299.56360,0.00000,0.63889,0.63889
08/05/2019,833739.82260,0.00000,299.56360,0.00000,-3.56256,-3.56256
08/02/2019,864550.59925,0.00000,299.56360,0.00000,-1.34059,-1.34059
08/01/2019,876302.22962,-2035.62580,299.56360,0.00000,-1.20672,-1.20672
07/31/2019,889057.58806,-0.00050,299.56360,0.00000,-0.99581,-0.99581
07/30/2019,897827.02862,0.00000,475.53494,0.00000,-0.20101,-0.20101
