Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scottblasczyk_Scf
Folio Number:  9A1551100X01
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,1248094.65136,0.00000,0.00000,0.00000,-0.70864,-0.70864
03/29/2019,1257002.22810,-0.00002,0.00000,0.00000,-0.85086,-0.85086
03/28/2019,1267763.32792,-0.00209,26.04675,0.00000,-1.81124,-1.81124
03/27/2019,1290881.86410,0.00000,293.79889,0.00000,-0.71574,-0.71574
03/26/2019,1300189.91206,-0.00002,293.79889,0.00000,-1.05527,-1.05527
03/25/2019,1313841.52076,0.00000,512.12856,0.00000,0.43787,0.43787
03/22/2019,1308111.42694,0.00116,512.12856,0.00000,1.05685,1.05685
03/21/2019,1294425.86262,0.00000,512.12856,0.00000,0.50674,0.50674
03/20/2019,1287897.03575,-0.00088,512.12856,0.00000,0.94911,0.94911
03/19/2019,1275783.59645,0.00035,512.12856,0.00000,0.76658,0.76658
03/18/2019,1266292.53345,0.00040,293.79889,0.00000,0.16381,0.16381
03/15/2019,1264221.10754,-0.00059,293.79889,0.00000,0.48058,0.48058
03/14/2019,1258081.81037,0.00000,385.14531,0.00000,-0.78327,-0.78327
03/13/2019,1268042.81661,0.00053,359.09856,0.00000,0.84370,0.84370
03/12/2019,1257484.58986,-0.00027,305.39578,0.00000,1.38190,1.38190
03/11/2019,1240340.10963,0.00000,305.39578,0.00000,1.70762,1.70762
03/08/2019,1219510.30005,0.00000,305.39578,0.00000,1.21860,1.21860
03/07/2019,1204824.58973,0.00000,305.39578,0.00000,-0.09365,-0.09365
03/06/2019,1205954.31116,0.00000,305.39578,0.00000,-2.61283,-2.61283
03/05/2019,1238531.47210,0.00000,91.34642,0.00000,0.66343,0.66343
03/04/2019,1230368.26599,0.00000,91.34642,0.00000,-1.32314,-1.32314
03/01/2019,1246867.27486,0.00000,91.34642,0.00000,-0.37872,-0.37872
