Client Name:  Marketocracy Capital Management, LLC
Folio Name:  scottblasczyk_Scf
Folio Number:  9A1551100X01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1629589.47660,0.00037,0.00000,0.00000,0.33740,0.33740
07/01/2020,1623931.69850,0.00061,178.08028,0.00000,0.08988,0.08988
06/30/2020,1622473.18546,0.00004,178.08028,0.00000,0.16864,0.16864
06/29/2020,1619685.69235,0.00000,233.66518,0.00000,-1.32771,-1.32771
06/26/2020,1641482.91982,0.00000,233.66518,0.00000,1.13938,1.13938
06/25/2020,1622988.29442,-0.00005,233.66518,0.00000,-0.47889,-0.47889
06/24/2020,1630576.46910,0.00000,456.28176,0.00000,0.45702,0.45702
06/23/2020,1623156.29036,0.00000,456.28176,0.00000,-0.87680,-0.87680
06/22/2020,1637517.97630,0.00000,456.28176,0.00000,-0.09887,-0.09887
06/19/2020,1639139.08817,-0.00060,456.28176,0.00000,1.68111,1.68111
06/18/2020,1611862.01876,-0.00243,625.68786,0.00000,-0.52439,-0.52439
06/17/2020,1620362.25391,0.00000,625.68786,0.00000,0.65543,0.65543
06/16/2020,1609807.00874,0.00000,625.68786,0.00000,-1.00007,-1.00007
06/15/2020,1626075.21132,-0.00032,625.68786,0.00000,1.19843,1.19843
06/12/2020,1606232.17671,0.00000,1204.68698,0.00000,-2.69368,-2.69368
06/11/2020,1650729.99633,0.00000,1204.68698,0.00000,4.61543,4.61543
06/10/2020,1577849.86563,0.00000,1204.68698,0.00000,1.94670,1.94670
06/09/2020,1547765.71178,0.00000,1136.37559,0.00000,1.47343,1.47343
06/08/2020,1525275.06951,0.00000,1136.37559,0.00000,1.37177,1.37177
06/05/2020,1504619.53215,0.00000,1136.37559,0.00000,-2.07858,-2.07858
06/04/2020,1536582.31393,0.00004,1136.37559,0.00000,-0.78713,-0.78713
06/03/2020,1548911.48291,0.00000,1007.00456,0.00000,-2.31985,-2.31985
06/02/2020,1585875.42541,0.00000,852.69937,0.00000,-1.72499,-1.72499
06/01/2020,1613726.84114,-0.00048,852.69937,0.00000,1.60275,1.60275
