Client Name:  Marketocracy Capital Management, LLC
Folio Name:  vmuzikman_VMF
Folio Number:  9A1551200P01
Download Date:  12/20/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/19/2018,1257118.86007,0.00000,0.00000,0.00000,-1.93244,-1.93244
12/18/2018,1281890.61886,0.00000,0.00000,0.00000,0.63649,0.63649
12/17/2018,1273783.15423,0.00000,0.00000,0.00000,-2.40143,-2.40143
12/14/2018,1305124.75194,0.00000,0.00000,0.00000,-1.60473,-1.60473
12/13/2018,1326410.00771,0.00000,0.00000,0.00000,-0.48457,-0.48457
12/12/2018,1332868.67862,0.00000,0.00000,0.00000,0.49792,0.49792
12/11/2018,1326264.89748,0.00000,0.00000,0.00000,-0.31227,-0.31227
12/10/2018,1330419.40821,0.00000,0.00000,0.00000,0.65073,0.65073
12/07/2018,1321817.93347,0.00000,0.00000,0.00000,-2.49712,-2.49712
12/06/2018,1355670.61783,0.00000,0.00000,0.00000,-0.05058,-0.05058
12/05/2018,1356356.65392,0.00000,0.00000,0.00000,0.00000,0.00000
12/04/2018,1356356.65392,0.00000,0.00000,0.00000,-4.26291,-4.26291
12/03/2018,1416751.55373,0.00000,0.00000,0.00000,1.92826,1.92826
11/30/2018,1389949.65230,0.00000,0.00000,0.00000,0.32151,0.32151
11/29/2018,1385495.15175,0.00000,0.00000,0.00000,0.72376,0.72376
11/28/2018,1375539.56335,0.00000,0.00000,0.00000,2.83279,2.83279
11/27/2018,1337646.85876,0.00000,0.00000,0.00000,-0.40684,-0.40684
11/26/2018,1343111.20921,0.00000,0.00000,0.00000,1.83894,1.83894
11/23/2018,1318858.24846,0.00000,0.00000,0.00000,-0.31301,-0.31301
11/21/2018,1322999.40800,0.00000,0.00000,0.00000,0.46591,0.46591
11/20/2018,1316863.94970,1319117.00080,0.00000,0.00000,-0.17080,-0.17080
11/19/2018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
