Client Name:  Marketocracy Capital Management, LLC
Folio Name:  vmuzikman_VMF
Folio Number:  9A1551200P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2031953.37727,0.00000,0.00000,0.00000,0.42638,0.42638
07/01/2020,2023326.31645,0.00000,0.00000,0.00000,0.47535,0.47535
06/30/2020,2013753.86499,-0.00178,0.00000,0.00000,-0.05369,-0.05369
06/29/2020,2014399.55460,0.00000,435.98162,0.00000,3.08777,3.08777
06/26/2020,1954049.60630,-0.00076,435.98162,0.00000,-2.16939,-2.16939
06/25/2020,1997285.52671,0.00000,540.62403,0.00000,1.00530,1.00530
06/24/2020,1977401.20571,0.00000,540.62403,0.00000,-3.88217,-3.88217
06/23/2020,2057289.61411,0.00000,540.62403,0.00000,0.99095,0.99095
06/22/2020,2037097.54137,0.00000,540.62403,0.00000,1.63469,1.63469
06/19/2020,2004324.22336,0.00000,540.62403,0.00000,-0.83016,-0.83016
06/18/2020,2021107.06994,0.00000,540.62403,0.00000,0.20791,0.20791
06/17/2020,2016912.51423,0.00000,540.62403,0.00000,-0.43795,-0.43795
06/16/2020,2025786.86073,0.00000,540.62403,0.00000,1.76312,1.76312
06/15/2020,1990679.31643,0.00000,540.62403,0.00000,1.39355,1.39355
06/12/2020,1963312.09007,0.00000,540.62403,0.00000,2.39056,2.39056
06/11/2020,1917897.12260,0.00000,104.64241,0.00000,-6.59128,-6.59128
06/10/2020,2053238.66321,0.00000,104.64241,0.00000,-0.59451,-0.59451
06/09/2020,2065519.03102,0.00000,104.64241,0.00000,-0.73388,-0.73388
06/08/2020,2080790.37578,0.00000,104.64241,0.00000,2.36858,2.36858
06/05/2020,2032643.05441,0.00000,104.64241,0.00000,5.25596,5.25596
06/04/2020,1931137.72364,0.00000,104.64241,0.00000,0.42554,0.42554
06/03/2020,1923058.99266,0.00000,0.00000,0.00000,2.31330,2.31330
06/02/2020,1879578.71401,0.00000,0.00000,0.00000,1.03931,1.03931
06/01/2020,1860244.99063,0.00000,0.00000,0.00000,0.93970,0.93970
