Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAI
Folio Number:  9A1551300H01
Download Date:  12/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/29/2019,9368012.50189,0.00000,0.00000,0.00000,-0.64796,-0.64796
11/27/2019,9429109.31257,0.00000,0.00000,0.00000,0.52160,0.52160
11/26/2019,9380182.60812,0.00000,0.00000,0.00000,0.85158,0.85158
11/25/2019,9300977.24323,0.00000,0.00000,0.00000,0.39869,0.39869
11/22/2019,9264042.48612,0.00000,0.00000,0.00000,-0.01635,-0.01635
11/21/2019,9265557.35513,0.00038,0.00000,0.00000,-0.79449,-0.79449
11/20/2019,9336819.81428,-0.00180,2940.77359,0.00000,-0.29015,-0.29015
11/19/2019,9363468.01041,0.00000,3470.92020,0.00000,0.77074,0.77074
11/18/2019,9291825.10502,1659.42499,3470.92020,0.00000,0.46493,0.46493
11/15/2019,9247152.97529,-1659.42473,3470.92020,0.00000,0.20153,0.20153
11/14/2019,9228546.29247,0.00000,5130.34493,0.00000,0.50207,0.50207
11/13/2019,9182418.02149,0.00000,5130.34493,0.00000,0.40355,0.40355
11/12/2019,9145490.53890,0.00000,5130.34493,0.00000,0.28895,0.28895
11/11/2019,9119125.62857,0.00000,5130.34493,0.00000,0.56327,0.56327
11/08/2019,9068019.51335,-0.00026,5130.34493,0.00000,-0.07018,-0.07018
11/07/2019,9073980.04221,0.00000,5541.48169,0.00000,0.58292,0.58292
11/06/2019,9021360.50793,0.00000,5541.48169,0.00000,0.53412,0.53412
11/05/2019,8972896.53570,0.00000,6047.35021,0.00000,-0.76957,-0.76957
11/04/2019,9043062.11295,0.00000,5517.20360,0.00000,-0.70641,-0.70641
11/01/2019,9107436.91224,0.00000,5517.20360,0.00000,0.20699,0.20699
10/31/2019,9088612.87657,-0.00388,5517.20360,0.00000,0.04577,0.04577
10/30/2019,9084957.48907,0.00000,5012.40208,0.00000,0.24178,0.24178
10/29/2019,9063032.71523,0.00000,5012.40208,0.00000,0.35588,0.35588
10/28/2019,9030876.07959,0.00000,5012.40208,0.00000,0.26716,0.26716
10/25/2019,9006799.77702,0.00000,5012.40208,0.00000,0.09683,0.09683
10/24/2019,8998081.87852,0.00000,5012.40208,0.00000,0.15839,0.15839
10/23/2019,8983844.28067,0.00000,5012.40208,0.00000,0.29297,0.29297
10/22/2019,8957586.63524,0.00131,5012.40208,0.00000,-1.41217,-1.41217
10/21/2019,9086472.82077,-0.00213,4506.53356,0.00000,0.45624,0.45624
10/18/2019,9045184.55091,0.00000,4506.53356,0.00000,-0.00730,-0.00730
10/17/2019,9045845.49813,0.00000,4506.53356,0.00000,0.48413,0.48413
10/16/2019,9003530.39393,0.00000,3217.14588,0.00000,-0.13408,-0.13408
10/15/2019,9017282.69212,-0.00012,1557.72115,0.00000,0.88446,0.88446
10/14/2019,8937688.44960,0.00000,2083.52883,0.00000,-0.11454,-0.11454
10/11/2019,8946759.44626,0.00000,3263.61287,0.00000,0.45939,0.45939
10/10/2019,8905832.15025,0.00000,3263.61287,0.00000,0.34928,0.34928
10/09/2019,8874822.56377,0.00000,3263.61287,0.00000,-0.10291,-0.10291
10/08/2019,8883968.83306,0.00000,3263.61287,0.00000,-1.57447,-1.57447
10/07/2019,9026545.09603,0.00000,2852.47611,0.00000,-0.98132,-0.98132
10/04/2019,9116030.96138,0.00000,2852.47611,0.00000,1.57806,1.57806
10/03/2019,8974365.11838,-0.00002,2852.47611,0.00000,0.79923,0.79923
10/02/2019,8902576.98746,0.00000,3460.70828,0.00000,-1.49345,-1.49345
10/01/2019,9037600.61215,-0.00006,3460.70828,0.00000,-1.44386,-1.44386
09/30/2019,9167524.00255,-0.00013,5990.42706,0.00000,0.39590,0.39590
09/27/2019,9128309.15093,0.00000,9030.93212,0.00000,-0.64505,-0.64505
09/26/2019,9190485.04810,0.00000,6178.45601,0.00000,-0.36377,-0.36377
09/25/2019,9224061.92351,0.00000,6178.45601,0.00000,0.48246,0.48246
09/24/2019,9179743.11886,0.00000,6178.45601,0.00000,-0.87361,-0.87361
09/23/2019,9260699.07623,0.00000,6178.45601,0.00000,-0.06422,-0.06422
09/20/2019,9266654.00968,0.00000,6178.45601,0.00000,-0.39277,-0.39277
09/19/2019,9303218.07731,0.00005,6178.45601,0.00000,-0.13799,-0.13799
09/18/2019,9315572.05962,0.00000,6688.72363,0.00000,-0.07993,-0.07993
09/17/2019,9323637.74009,0.00000,6080.49146,0.00000,0.48241,0.48241
09/16/2019,9278846.44097,0.00000,6080.49146,0.00000,-0.27822,-0.27822
09/13/2019,9304750.71704,0.00000,6080.49146,0.00000,-0.27421,-0.27421
09/12/2019,9333392.51859,0.00000,3039.98640,0.00000,0.65686,0.65686
09/11/2019,9272465.00627,0.00000,3039.98640,0.00000,0.24480,0.24480
09/10/2019,9249813.58927,0.00014,3039.98640,0.00000,-1.17065,-1.17065
09/09/2019,9358278.72830,0.00025,4176.65034,0.00000,-1.18674,-1.18674
09/06/2019,9466437.62653,0.00000,8460.33950,0.00000,0.52428,0.52428
09/05/2019,9417021.97088,0.00000,8460.33950,0.00000,1.36495,1.36495
09/04/2019,9292631.06718,0.00000,5930.62072,0.00000,1.09602,1.09602
09/03/2019,9191821.57671,0.00080,5930.62072,0.00000,-1.08208,-1.08208
08/30/2019,9290024.24241,0.00000,8344.13015,0.00000,-0.27791,-0.27791
08/29/2019,9315937.10110,0.00630,8344.13015,0.00000,1.41567,1.41567
