Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAI
Folio Number:  9A1551300H01
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,8961226.66242,0.00030,0.00000,0.00000,-0.26179,-0.26179
04/12/2019,8984747.70408,0.00000,0.00000,0.00000,0.67338,0.67338
04/11/2019,8924650.96507,0.00000,0.00000,0.00000,0.26050,0.26050
04/10/2019,8901462.21250,0.00000,0.00000,0.00000,0.70610,0.70610
04/09/2019,8839049.31589,0.00000,0.00000,0.00000,-0.71105,-0.71105
04/08/2019,8902349.39735,0.00000,0.00000,0.00000,0.10610,0.10610
04/05/2019,8892914.14842,0.00000,0.00000,0.00000,0.62932,0.62932
04/04/2019,8837299.17933,0.00000,0.00000,0.00000,0.41008,0.41008
04/03/2019,8801206.92638,0.00000,0.00000,0.00000,-0.31521,-0.31521
04/02/2019,8829037.30379,0.00000,0.00000,0.00000,-0.81608,-0.81608
04/01/2019,8901681.78514,-0.00015,0.00000,0.00000,1.02447,1.02447
03/29/2019,8808482.81506,0.00011,2929.06359,0.00000,0.60581,0.60581
03/28/2019,8748842.38996,0.00000,9510.28268,0.00000,0.36764,0.36764
03/27/2019,8716760.72698,0.00000,9510.28268,0.00000,0.62914,0.62914
03/26/2019,8662203.51337,0.00000,9510.28268,0.00000,0.81100,0.81100
03/25/2019,8592441.74875,0.00000,9510.28268,0.00000,0.50000,0.50000
03/22/2019,8549645.66155,0.00000,9510.28268,0.00000,-2.44943,-2.44943
03/21/2019,8764560.00983,0.00000,9510.28268,0.00000,0.94671,0.94671
03/20/2019,8682273.73792,0.00000,9510.28268,0.00000,-0.47542,-0.47542
03/19/2019,8723793.56261,0.00000,9510.28268,0.00000,-0.36341,-0.36341
03/18/2019,8755647.35607,-0.00165,9510.28268,0.00000,0.54864,0.54864
03/15/2019,8707820.66645,-0.00013,9510.28268,0.00000,0.13439,0.13439
