Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KAI
Folio Number:  9A1551300H01
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,7609330.08189,0.00000,0.00000,0.00000,1.97916,1.97916
03/24/2020,7461652.17243,0.00000,0.00000,0.00000,11.50529,11.50529
03/23/2020,6691747.54351,0.00000,0.00000,0.00000,-4.12725,-4.12725
03/20/2020,6979821.96370,0.00000,0.00000,0.00000,-5.21063,-5.21063
03/19/2020,7363507.33955,0.00000,0.00000,0.00000,1.42010,1.42010
03/18/2020,7260402.04308,0.00000,0.00000,0.00000,-5.52348,-5.52348
03/17/2020,7684874.29762,0.00000,0.00000,0.00000,4.96290,4.96290
03/16/2020,7321514.49405,0.00000,0.00000,0.00000,-12.39852,-12.39852
03/13/2020,8357751.76222,0.00000,0.00000,0.00000,7.50627,7.50627
03/12/2020,7774199.22312,0.00000,0.00000,0.00000,-8.80264,-8.80264
03/11/2020,8524587.66826,0.00036,0.00000,0.00000,-4.47396,-4.47396
03/10/2020,8922884.99159,0.00013,951.92620,0.00000,3.91412,3.91412
03/09/2020,8584689.24787,0.01436,3014.29125,0.00000,-6.17378,-6.17378
03/06/2020,9149761.11368,0.00039,3014.29125,0.00000,-1.47878,-1.47878
03/05/2020,9284947.32951,0.00000,5209.30944,0.00000,-2.93616,-2.93616
03/04/2020,9565972.43803,0.00000,5209.30944,0.00000,4.63668,4.63668
03/03/2020,9141852.69545,-0.00048,5209.30944,0.00000,-2.16964,-2.16964
03/02/2020,9344124.76528,0.00037,5796.57331,0.00000,4.59738,4.59738
02/28/2020,8932050.97015,0.00000,6912.63288,0.00000,-1.09816,-1.09816
02/27/2020,9031305.03662,0.00000,6912.63288,0.00000,-3.33993,-3.33993
02/26/2020,9343605.86022,0.00006,6912.63288,0.00000,-1.20964,-1.20964
02/25/2020,9457458.25288,0.00000,7552.53880,0.00000,-3.54075,-3.54075
02/24/2020,9805844.25081,0.00000,6600.61260,0.00000,-2.63464,-2.63464
02/21/2020,10071362.09952,0.00000,6600.61260,0.00000,-1.21150,-1.21150
