Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_K11
Folio Number:  9A1551300H02
Download Date:  12/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/29/2019,1489046.59697,0.00000,0.00000,0.00000,-0.62198,-0.62198
11/27/2019,1498366.18951,0.00000,0.00000,0.00000,0.61251,0.61251
11/26/2019,1489244.36272,0.00000,0.00000,0.00000,0.78748,0.78748
11/25/2019,1477608.53308,0.00000,0.00000,0.00000,0.46528,0.46528
11/22/2019,1470765.28718,0.00000,0.00000,0.00000,-0.30776,-0.30776
11/21/2019,1475305.70556,0.00000,0.00000,0.00000,-1.00429,-1.00429
11/20/2019,1490272.34402,0.00000,0.00000,0.00000,-0.61968,-0.61968
11/19/2019,1499564.85041,1627.02472,0.00000,0.00000,-0.22471,-0.22471
11/18/2019,1501313.23601,0.00000,0.00000,0.00000,0.16162,0.16162
11/15/2019,1498890.67162,0.00000,0.00000,0.00000,0.55626,0.55626
11/14/2019,1490599.06765,0.00000,0.00000,0.00000,0.44687,0.44687
11/13/2019,1483967.58846,0.00000,0.00000,0.00000,0.41382,0.41382
11/12/2019,1477851.93147,0.00000,0.00000,0.00000,0.16461,0.16461
11/11/2019,1475423.19354,0.00000,0.00000,0.00000,0.05480,0.05480
11/08/2019,1474615.09107,0.00000,0.00000,0.00000,0.67851,0.67851
11/07/2019,1464677.10963,-0.00280,0.00000,0.00000,1.14621,1.14621
11/06/2019,1448079.09031,-0.00008,0.00000,0.00000,-0.17579,-0.17579
11/05/2019,1450349.08247,0.00000,280.11097,0.00000,-0.58116,-0.58116
11/04/2019,1458828.84873,0.00000,280.11097,0.00000,-1.06175,-1.06175
11/01/2019,1474487.18454,0.00000,280.11097,0.00000,0.94254,0.94254
10/31/2019,1460716.70321,-0.00018,280.11097,0.00000,-0.04038,-0.04038
10/30/2019,1460977.88709,-0.00296,609.06807,0.00000,0.33484,0.33484
10/29/2019,1456100.17876,0.00000,609.06807,0.00000,-0.11256,-0.11256
10/28/2019,1457741.71853,0.00000,609.06807,0.00000,-0.01764,-0.01764
10/25/2019,1457998.98865,0.00000,609.06807,0.00000,1.78157,1.78157
10/24/2019,1432467.77875,0.00000,609.06807,0.00000,1.25090,1.25090
10/23/2019,1414762.92539,0.00000,609.06807,0.00000,-0.25614,-0.25614
10/22/2019,1418397.58923,0.00000,609.06807,0.00000,-0.90781,-0.90781
10/21/2019,1431677.55668,0.00000,328.95710,0.00000,0.15045,0.15045
10/18/2019,1429526.26819,0.00000,328.95710,0.00000,-0.58554,-0.58554
10/17/2019,1437947.98819,0.00000,328.95710,0.00000,0.57854,0.57854
10/16/2019,1430003.86892,0.00000,0.00000,0.00000,-0.22514,-0.22514
10/15/2019,1433230.57311,0.00000,0.00000,0.00000,0.69407,0.69407
10/14/2019,1423351.56828,0.00000,0.00000,0.00000,-0.14477,-0.14477
10/11/2019,1425415.11632,0.00000,0.00000,0.00000,0.78269,0.78269
10/10/2019,1414345.16642,0.00000,0.00000,0.00000,0.21430,0.21430
10/09/2019,1411320.74065,0.00000,0.00000,0.00000,0.80389,0.80389
10/08/2019,1400065.78554,0.00000,0.00000,0.00000,-1.52970,-1.52970
10/07/2019,1421815.30698,0.00000,0.00000,0.00000,-0.71632,-0.71632
10/04/2019,1432073.47294,0.00000,0.00000,0.00000,1.42541,1.42541
10/03/2019,1411947.46041,0.00000,0.00000,0.00000,0.90576,0.90576
10/02/2019,1399273.37268,0.00000,0.00000,0.00000,-1.33017,-1.33017
10/01/2019,1418136.99992,0.00000,0.00000,0.00000,-1.21332,-1.21332
09/30/2019,1435554.80591,0.00000,0.00000,0.00000,0.37067,0.37067
09/27/2019,1430253.31620,0.00000,0.00000,0.00000,-0.82204,-0.82204
09/26/2019,1442107.96626,0.00000,0.00000,0.00000,-0.76246,-0.76246
09/25/2019,1453187.88784,0.00000,0.00000,0.00000,0.64770,0.64770
09/24/2019,1443836.15538,0.00000,0.00000,0.00000,-0.77272,-0.77272
09/23/2019,1455079.82934,0.00000,0.00000,0.00000,0.58445,0.58445
09/20/2019,1446625.04947,0.00000,0.00000,0.00000,-0.77052,-0.77052
09/19/2019,1457858.13493,0.00075,0.00000,0.00000,0.07616,0.07616
09/18/2019,1455734.13816,0.00035,1014.47624,0.00000,-0.68435,-0.68435
09/17/2019,1465547.03160,0.00000,1239.58836,0.00000,-0.12267,-0.12267
09/16/2019,1467348.56544,0.00000,1239.58836,0.00000,-0.02889,-0.02889
09/13/2019,1467772.97206,0.00000,1239.58836,0.00000,-0.17651,-0.17651
09/12/2019,1470370.55301,0.00000,1239.58836,0.00000,1.47225,1.47225
09/11/2019,1449019.15157,0.00000,1239.58836,0.00000,0.89688,0.89688
09/10/2019,1436127.70297,0.00000,1239.58836,0.00000,-1.02549,-1.02549
09/09/2019,1451020.41167,0.00000,1239.58836,0.00000,-1.67385,-1.67385
09/06/2019,1475742.82633,0.00000,1239.58836,0.00000,-0.54268,-0.54268
09/05/2019,1483801.82882,0.00000,1239.58836,0.00000,1.96436,1.96436
09/04/2019,1455192.21848,0.00000,1239.58836,0.00000,0.95188,0.95188
09/03/2019,1442473.99195,0.00000,225.11212,0.00000,-1.29411,-1.29411
08/30/2019,1461388.86167,0.00000,225.11212,0.00000,-0.31738,-0.31738
08/29/2019,1466042.51348,0.00272,225.11212,0.00000,0.83254,0.83254
