Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_K11
Folio Number:  9A1551300H02
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,1246400.87306,0.00000,0.00000,0.00000,2.05962,2.05962
03/24/2020,1221247.83366,0.00000,0.00000,0.00000,8.10402,8.10402
03/23/2020,1129696.97522,0.00000,0.00000,0.00000,-0.03269,-0.03269
03/20/2020,1130066.34424,0.00000,0.00000,0.00000,-1.33537,-1.33537
03/19/2020,1145361.19548,0.00000,0.00000,0.00000,1.00051,1.00051
03/18/2020,1134015.26964,0.00000,0.00000,0.00000,-5.96350,-5.96350
03/17/2020,1205931.02458,0.00000,0.00000,0.00000,5.35803,5.35803
03/16/2020,1144602.85758,-0.00001,0.00000,0.00000,-11.04942,-11.04942
03/13/2020,1286268.46462,0.00000,516.73812,0.00000,5.18754,5.18754
03/12/2020,1222807.97885,0.00000,516.73812,0.00000,-7.90992,-7.90992
03/11/2020,1327883.38260,0.00000,516.73812,0.00000,-4.10090,-4.10090
03/10/2020,1384689.30570,0.00000,516.73812,0.00000,3.39866,3.39866
03/09/2020,1339158.32079,0.00000,516.73812,0.00000,-8.10988,-8.10988
03/06/2020,1457393.04789,0.00000,516.73812,0.00000,-3.01188,-3.01188
03/05/2020,1502667.18206,0.00000,516.73812,0.00000,-2.89772,-2.89772
03/04/2020,1547525.16934,0.00000,516.73812,0.00000,4.34574,4.34574
03/03/2020,1483053.07968,0.00000,516.73812,0.00000,-1.28299,-1.28299
03/02/2020,1502334.46490,0.00000,516.73812,0.00000,4.10566,4.10566
02/28/2020,1443065.88340,0.00000,516.73812,0.00000,-1.28205,-1.28205
02/27/2020,1461813.61781,0.00000,516.73812,0.00000,-2.66740,-2.66740
02/26/2020,1501888.85392,-0.00241,516.73812,0.00000,-2.52427,-2.52427
02/25/2020,1540795.74645,0.00000,516.73812,0.00000,-3.25835,-3.25835
02/24/2020,1592708.62184,0.00000,516.73812,0.00000,-2.24561,-2.24561
02/21/2020,1629308.19540,0.00000,516.73812,0.00000,-1.05807,-1.05807
