Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KMID
Folio Number:  9A1551300H03
Download Date:  05/07/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,1199895.51897,0.00043,0.00000,0.00000,0.94872,0.94872
05/02/2019,1188618.89632,-0.00069,0.00000,0.00000,-0.03251,-0.03251
05/01/2019,1189005.43987,0.00243,0.00000,0.00000,-1.22692,-1.22692
04/30/2019,1203711.01972,-0.00353,63.77614,0.00000,-0.03679,-0.03679
04/29/2019,1203955.06080,-0.00217,262.80138,0.00000,0.17387,0.17387
04/26/2019,1201864.96017,0.00000,262.80138,0.00000,0.85989,0.85989
04/25/2019,1191616.13208,0.00145,262.80138,0.00000,-0.03869,-0.03869
04/24/2019,1192077.50577,0.00222,262.80138,0.00000,-0.07926,-0.07926
04/23/2019,1193023.29574,0.00215,262.80138,0.00000,1.63273,1.63273
04/22/2019,1173853.19226,0.00000,262.80138,0.00000,0.03624,0.03624
04/18/2019,1173427.89975,0.00000,262.80138,0.00000,-0.29690,-0.29690
04/17/2019,1176922.94200,-0.00079,262.80138,0.00000,-0.47056,-0.47056
04/16/2019,1182519.76183,0.00000,231.50740,0.00000,0.13091,0.13091
04/15/2019,1181037.19323,0.00067,167.73126,0.00000,-0.15534,-0.15534
04/12/2019,1182156.15159,0.00000,886.47369,0.00000,0.97435,0.97435
04/11/2019,1170740.44905,0.00000,886.47369,0.00000,0.47167,0.47167
04/10/2019,1165240.15778,0.00156,886.47369,0.00000,1.11666,1.11666
04/09/2019,1152233.16258,0.00000,1015.54954,0.00000,-0.86450,-0.86450
04/08/2019,1162289.89683,0.00000,1015.54954,0.00000,0.12131,0.12131
04/05/2019,1161048.09219,0.00000,847.81828,0.00000,0.55585,0.55585
04/04/2019,1154625.42120,0.00000,847.81828,0.00000,0.21306,0.21306
04/03/2019,1152168.74667,0.00166,847.81828,0.00000,0.62874,0.62874
04/02/2019,1144783.98629,0.00000,1028.43307,0.00000,-0.63532,-0.63532
