Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ahknaten_KMID
Folio Number:  9A1551300H03
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,1112575.10487,0.00038,0.00000,0.00000,0.76589,0.76589
02/14/2019,1103662.88058,563.30430,455.88825,0.00000,-0.15717,-0.15717
02/13/2019,1104837.26347,-0.00118,455.88825,0.00000,0.81087,0.81087
02/12/2019,1095946.86755,0.00117,455.88825,0.00000,0.88960,0.88960
02/11/2019,1086279.27322,0.00000,455.88825,0.00000,0.05255,0.05255
02/08/2019,1085708.49287,0.00000,455.88825,0.00000,-0.55373,-0.55373
02/07/2019,1091756.36564,0.00000,455.88825,0.00000,-0.02269,-0.02269
02/06/2019,1092004.21692,-0.00212,455.88825,0.00000,0.02978,0.02978
02/05/2019,1091618.58212,0.00000,516.33936,0.00000,0.24092,0.24092
02/04/2019,1088993.70787,0.00000,516.33936,0.00000,0.56980,0.56980
02/01/2019,1082820.88506,-563.30432,516.33936,0.00000,0.56018,0.56018
01/31/2019,1077287.61905,-0.00019,576.54775,0.00000,0.35037,0.35037
01/30/2019,1073805.32209,0.00105,295.51871,0.00000,0.11234,0.11234
01/29/2019,1072572.74377,0.00000,322.79512,0.00000,-0.08648,-0.08648
01/28/2019,1073501.41752,0.00032,322.79512,0.00000,0.04426,0.04426
01/25/2019,1073026.30182,0.00000,322.79512,0.00000,0.56631,0.56631
01/24/2019,1066982.08858,0.00000,322.79512,0.00000,0.30452,0.30452
01/23/2019,1063741.77666,-0.00003,322.79512,0.00000,0.30642,0.30642
01/22/2019,1060263.66423,0.00000,550.37483,0.00000,-1.33947,-1.33947
01/18/2019,1074726.27092,0.00000,489.92372,0.00000,1.10736,1.10736
01/17/2019,1062950.18306,0.00000,489.92372,0.00000,0.44540,0.44540
01/16/2019,1058261.89682,0.00000,462.64731,0.00000,0.75190,0.75190
01/15/2019,1050360.75508,0.00000,462.64731,0.00000,0.87546,0.87546
